Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-DEVELOPMENT AGREEMENT,Document Name,CO-DEVELOPMENT AGREEMENT
"PhaseBio Pharmaceuticals Inc., ""PB"", SFJ Pharmaceuticals X, Ltd., ""SFJ"", each, a ""Party"" and collectively, the ""Parties"")., ""SFJ"", SFJ Pharmaceuticals X, Ltd., ""PB"", PhaseBio Pharmaceuticals Inc.",Parties,"PhaseBio Pharmaceuticals Inc. (""PB""); SFJ Pharmaceuticals X, Ltd. (""SFJ"")(""party"" and collectively, the ""Parties"")"
"January 9, 2020",Agreement Date,01/09/2020,Effective Date,01/09/2020
"The term of this Agreement (the ""Term"") will commence on the Effective Date and will expire upon the earliest of (i) termination of this Agreement in accordance with Section 14.2, or (ii) the date of payment of the last Approval Payment due based on all applicable Regulatory Approvals which have been received.",Expiration Date,(None entered)
"The construction and validity of this Agreement and the provisions hereof, and the rights and obligations of the Parties hereunder, will be governed by the internal laws of the State of Delaware, USA, and, to the extent applicable to Patents and Trademarks, the applicable federal laws of the USA, in each instance without regard to conflict of laws principles.",Governing Law,Delaware
"During the applicable Exclusive Period, SFJ shall not, and shall cause its Affiliates not to, either by itself or through a Third Party, conduct human clinical trials of, or sell, offer for sale or have sold: 3.19.1 any Competing Product (other than Product) alone or in combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients_ 3.19.2 any combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients of the Product and a Competing Product_ 3.19.3 any agent that is intended as an antidote to, or is intended to neutralize, abrogate or reverse the antiplatelet activity of, (i) any Brilinta Competing Product alone or in combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients or (ii) both the Ticagrelor Compound and a Brilinta Competing Product_ 3.19.4 without limitation to the foregoing, any agent with dual activity as (i) an antidote to, or for use as an agent to neutralize, abrogate or reverse the antiplatelet activity of, the Ticagrelor Compound and (ii) an antidote to, or for use as an agent to neutralize, abrogate or reverse the antiplatelet activity of, any Brilinta Competing Product_ or 3.19.5 any Brilinta Competing Product.",Exclusivity,Yes
"SFJ shall use commercially reasonable efforts to obtain from each Third Party contractor that SFJ or its Affiliate proposes to engage to conduct activities under or in connection with this Agreement on behalf of SFJ or its Affiliates (i) an assignment, (ii) an exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers, or (iii) a non_exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers ((i) through (iii) in order of preference), to PB of any Trial Invention that such Third Party contractor conceives, discovers, develops or otherwise makes in connection with activities conducted relating to this Agreement.",Exclusivity,Yes
"During the Term and for a period of [***] thereafter, neither Party shall solicit an employee of the other Party who is or has been involved in the performance or oversight of any of the development activities hereunder to terminate his or her employment and accept employment or work as a consultant with the soliciting Party.",No-Solicit of Employees,Yes
"Notwithstanding the foregoing, nothing herein shall restrict or preclude the PartiesÕ right to make generalized searches for employees by way of a general solicitation for employment placed in a trade journal, newspaper or website.",No-Solicit of Employees,Yes
PB may terminate this Agreement at any time after SFJ has paid or incurred a total of $60 million of Development Costs and prior to the date of receipt of the first Regulatory Approval upon [***] prior written notice to SFJ.,Termination For Convenience,Yes
"PB shall not, without SFJÕs prior written consent, enter into a Licensing Transaction unless such Licensing Transaction is an Excluded Licensing Transaction (in which case such prohibition shall not apply and no such consent of SFJ shall be required); provided that SFJ shall only be entitled to withhold such consent as to a Licensing Transaction other than an Excluded Licensing Transaction in the event SFJ reasonably determines, and provides PB with written notice of its determination within [***] of PB providing to SFJ a non-binding term sheet or comparable document summarizing the material terms of the proposed Licensing Transaction [***], that PB entering into such Licensing Transaction would [***] (""Material Impact"").",ROFR/ROFO/ROFN,Yes
"Within one hundred and twenty (120) days following the closing of a Change of Control, PB or its successor shall have the right to make a one-time payment (the ""Change of Control Buy-Out Payment"") in lieu of all (but not less than all) remaining Approval Payments for the applicable country(ies) in which Regulatory Approval has been received as of the date of closing of such Change of Control, provided that SFJ has not previously assigned the right to receive the Approval Payments to a Third Party, in which event PB or its successor shall not have such right.",Change of Control,Yes
"To exercise its right to make the Change of Control Buy-Out Payment, PB or its successor shall provide written notice to SFJ (the ""Change of Control Buy-Out Notice"") no later than [***] after the date of closing of such Change of Control, which written notice shall set forth the amount of the applicable Change of Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020Control Buy-Out Payment, the proposed date of closing of the buy-out (which shall occur within [***] after the date of closing of such Change of Control), and the calculation of the Change of Control Buy-Out Payment in reasonable detail based upon the proposed closing date of the buy-out.",Change of Control,Yes
"To exercise its right to make the Change of Control Buy-Out Payment, PB or its successor shall provide written notice to SFJ (the ""Change of Control Buy-Out Notice"") no later than [***] after the date of closing of such Change of Control, which written notice shall set forth the amount of the applicable Change of Control Buy-Out Payment, the proposed date of closing of the buy-out (which shall occur within [***] after the date of closing of such Change of Control), and the calculation of the Change of Control Buy-Out Payment in reasonable detail based upon the proposed closing date of the buy-out.",Change of Control,Yes
PB will notify SFJ in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a Change of Control of PB.,Change of Control,Yes
"FJ may, in its sole discretion, terminate this Agreement in its entirety at any time following a Change of Control of PB that occurs prior to the date of payment by PB of the final Approval Payment.",Change of Control,Yes
"Notwithstanding the foregoing, any assignment of the rights or obligations under this Agreement by a Party (i) to an Affiliate shall require such Party to guarantee the performance of such AffiliateÕs financial and performance obligations hereunder or (ii) in connection with the sale or other transfer of all or substantially all of such PartyÕs business or assets to which this Agreement relates shall require the ultimate Affiliate controlling the other party in such transaction to guarantee such PartyÕs financial and performance obligations hereunder and such Party shall remain liable for such financial and performance obligations notwithstanding such sale or other transfer of all or substantially all of such PartyÕs business or assets to which this Agreement relates.",Change of Control,Yes,Anti-assignment,Yes
"PB shall not sell, transfer or assign, directly or indirectly, in whole or in part, any rights to receive payments of royalties or license fees with respect to the Product or the PB Intellectual Property (including any Accounts with respect to such royalties or license fees), other than to a wholly owned direct or indirect subsidiary of PB (it being understood that the foregoing shall not restrict the creation of any Permitted Lien).",Anti-assignment,Yes
"Without the prior written consent of the other Party hereto, neither Party will sell, transfer, assign, pledge or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this Agreement or any of its rights or duties hereunder; provided, however, that either Party may assign, sublicense or transfer this Agreement and all of its rights and obligations hereunder, in their entirety, to any of its Affiliates or to a successor in connection with the sale or other transfer of all or substantially all of its business or assets to which this Agreement relates, whether by merger, sale of stock, sale of assets or otherwise, and",Anti-assignment,Yes
"Notwithstanding any of the foregoing, without the consent of PB, which consent may be withheld in PBÕs sole discretion, SFJ shall not sell, assign, sublicense or otherwise transfer this Agreement to an entity whose primary business is the development or commercialization of pharmaceutical or biotechnology products prior to the date of Program Transfer.",Anti-assignment,Yes
"PB shall issue to SFJ on the Effective Date a warrant (""Warrant"") exercisable for two million two hundred thousand (2,200,000) shares of PB common stock (""Stock"") at an exercise price per share (""Exercise Price"") equal to the greater of (a) five dollars ($5.00) or (b) 120% of the volume weighted average closing price of the Stock over the thirty (30) consecutive trading days ending on the last trading day immediately preceding the Effective Date and exercisable as follows: (i) one million one hundred thousand (1,100,000) Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020shares may be exercised at any time after the Effective Date provided that any such shares may be transferred by SFJ to its Affiliates but may not be resold by SFJ or its Affiliates until one (1) year after the Effective Date and (ii) one million one hundred thousand (1,100,000) shares may be exercised at any time after the date of Successful Phase 3 Interim Analysis",Revenue/Profit Sharing,Yes
"SFJ will be obligated to pay or incur up to One Hundred Twenty Million U.S. Dollars ($120,000,000.00) of Development Costs (""Maximum Development Costs"") in accordance with the funding schedule set forth in Section 4.2.",Price Restrictions,Yes
"Subject to Section 4.2.4 below, SFJ will pay or incur up to a total of $120 million of Development Costs as set forth in the table below and as detailed below, as set forth in Sections 4.2.2 and 4.2.3.",Price Restrictions,Yes
