Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
OUTSOURCING AGREEMENT,Document Name,OUTSOURCING AGREEMENT
"Photronics, Inc., ""Photronics"", Dai Nippon Printing Co., Ltd., ""DNP"", Photronics DNP Photomask Corporation, ""PDMC"", Xiamen American Japan Photronics Mask Co., Ltd., ""Company"", Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties."", ""Company"", Xiamen American Japan Photronics Mask Co., Ltd., ""PDMC"", Photronics DNP Photomask Corporation, ""DNP"", Dai Nippon Printing Co., Ltd., ""Photronics"", Photronics, Inc.",Parties,"Photronics, Inc. (""Photronics""); Dai Nippon Printing Co., Ltd. (""DNP""); Photronics DNP Photomask Corporation (""PDMC""); Xiamen American Japan Photronics Mask Co., Ltd. (""Company""); Phototronics and DNP (""Shareholder"" and collectively as ""Shareholders""); Shareholder and PDMC (""Supplier"" and collectively as the Suppliers"")"
"16t h day of May, 2017,",Agreement Date,05/16/2017
"This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.",Expiration Date,perpetual
"EXCEPT FOR LIABILITY ARISING FROM BREACHES OF A PARTYÕS CONFIDENTIALITY OBLIGATIONS CONTAINED IN THE NON-DISCLOSURE CLAUSE IN SECTION 12.17 OF THE CHINA JV OPERATING AGREEMENT, BREACHES OF LICENSE GRANTS CONTAINED HEREIN, AND EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES TO FULFILL INDEMNITY OBLIGATIONS DESCRIBED IN ARTICLE 8, (A) IN NO EVENT SHALL ANY PARTY HAVE ANY LIABILITY TO THE OTHERS, OR TO ANY PARTY CLAIMING THROUGH OR UNDER THE OTHER, FOR ANY LOST PROFITS, ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES OF ANY KIND IN ANY WAY ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES; AND (B) IN NO EVENT SHALL A PARTYÕS CUMULATIVE LIABILITY ARISING OUT OF THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY PAID, PAYABLE, RECEIVED OR RECEIVABLE BY SUCH PARTY FOR THE PRODUCTS CONCERNED THEREWITH HEREUNDER PURSUANT TO THIS AGREEMENT DURING THE TWELVE (12) MONTHS PRIOR TO THE OCCURRENCE OF THE INITIAL EVENT FOR WHICH A PARTY RECOVERS DAMAGES HEREUNDER. THESE LIMITATIONS SHALL APPLY NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY REMEDY.",Uncapped Liability,Yes
THESE LIMITATIONS SHALL APPLY NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY REMEDY.,Uncapped Liability,Yes,Cap on Liability,Yes
"Without limiting the remedies specified in Article 8 and Section 9.2, this Section 6.1 states the exclusive remedy of the Company for failure of a Product to conform to the warranty provisions set forth in this Section 6.1.",Cap on Liability,Yes
"EXCEPT FOR LIABILITY ARISING FROM BREACHES OF A PARTYÕS CONFIDENTIALITY OBLIGATIONS CONTAINED IN THE NON-DISCLOSURE CLAUSE IN SECTION 12.17 OF THE CHINA JV OPERATING AGREEMENT, BREACHES OF LICENSE GRANTS CONTAINED HEREIN, AND EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES TO FULFILL INDEMNITY OBLIGATIONS DESCRIBED IN ARTICLE 8, (A) IN NO EVENT SHALL ANY PARTY HAVE ANY LIABILITY TO THE OTHERS, OR TO ANY PARTY CLAIMING THROUGH OR UNDER THE OTHER, FOR ANY LOST PROFITS, ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES OF ANY KIND IN ANY WAY ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES; AND (B) IN NO EVENT SHALL A PARTYÕS CUMULATIVE LIABILITY ARISING OUT OF THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY PAID, PAYABLE, RECEIVED OR RECEIVABLE BY SUCH PARTY FOR THE PRODUCTS CONCERNED THEREWITH HEREUNDER PURSUANT TO THIS AGREEMENT DURING THE TWELVE (12) MONTHS PRIOR TO THE OCCURRENCE OF THE INITIAL EVENT FOR WHICH A PARTY RECOVERS DAMAGES HEREUNDER.",Cap on Liability,Yes
Each of the Suppliers warrants that the Products shall comply with the specifications and documentation agreed by the relevant Supplier and the Company in writing that is applicable to such Products for the Warranty Period.,Warranty Duration,Yes
"This warranty does not apply to any Product failures resulting from misuse, storage in or exposure to environmental conditions inconsistent with those specified in the applicable specifications or documentation, modification of the Product by anyone other than the relevant Supplier.",Warranty Duration,Yes
"If a Product fails to comply with the foregoing warranty, the relevant Supplier shall, at its option, either [***]such Product, or, in the event the foregoing options are not commercially practicable, [***]to the Company any amounts paid for the applicable Product.",Warranty Duration,Yes
"""Warranty Period"" means a period of [***]from the relevant SupplierÕs shipment of the Product.",Warranty Duration,Yes
