Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT",Document Name,"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT"
"eFashion Solutions, LLC, ""EFS"", Playboy.com,  Inc., ""Client,""Êwhich shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc., Playboy.com,  Inc., ""EFS"", eFashion Solutions, LLC",Parties,"eFashion Solutions LLC (""EFS""); Playboy.com, Inc. (""Client"",Êwhich shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc.)"
"January 15, 2008",Agreement Date,01/15/2008,Effective Date,01/15/2008
"This Agreement shall commence as of the Effective Date and, unless earlier terminated as provided under  this Agreement, shall terminate five (5) years following the date of launch of the first Website, but in no event later than February  28, 2013 (the ""Initial Term"").",Expiration Date,02/28/2013
"This Agreement shall automatically renew for an additional period of three (3) years (such renewal  and each subsequent renewal shall be defined as a ""Renewal Term"") provided that EFS achieves Net Merchandise Sales of at  least ***** during the fourth year following launch of the first Website.",Renewal Term,3 years
This Agreement shall be governed by and construed in accordance with the laws  of the Illinois without giving effect to its conflict of laws principles.,Governing Law,Illinois
"EFS agrees to at all times during the Term use its best efforts to market the Websites no less diligently  than it does other online properties managed by EFS on behalf of third parties (including without limitation, maintaining best  practice functionality, search engine optimization tactics, utilizing customer acquisition and retention campaigns, etc.).",Most Favored Nation,Yes
"At no additional cost to Client, EFS will provide preferential placement in the Catalogs  and/or on the Websites, as requested by Client, for certain Merchandise from time-to-time, e.g. apparel, magazines, books,  DVDÕs, etc. or marketing campaigns that tie to events and initiatives of Client and its affiliates, consistent with ClientÕs past  practices in the prior placement of such items in the Catalogs and/or on the Websites.",Most Favored Nation,Yes
The parties agree that Client will not be  charged a higher fee than what is being made available by EFS to its other Clients for similar services.,Most Favored Nation,Yes
"In such event, EFS shall provide Client with all best practice services and tools that are provided to EFSÕ largest clients.",Most Favored Nation,Yes
"Upon written request of Client, EFS shall discontinue or modify  any Advertisement that in the reasonable opinion of Client is not appropriate for the Client brand or is competitive with Client  business.",Non-Compete,Yes
"Subject to ClientÕs prior written approval in each case, EFS shall have the right to work  with ClientÕs manufacturers for the production of Merchandise that will be designed and offered for sale exclusively via the  Playboy Commerce Business.",Exclusivity,Yes
EFS shall be responsible for maintaining the Advertisements on the Websites. EFS shall ensure that the  Advertisements do not violate any Law or right of any third party or otherwise contain content reasonably likely to diminish the  value of ClientÕs brand or detract from the goodwill of the Client.,Non-Disparagement,Yes
"EFS and its affiliates conduct their activities, both relating to the Playboy Commerce Business and otherwise, in a way that does  not jeopardize the Playboy Marks or the reputation and image of any Playboy entity or activity.",Non-Disparagement,Yes
"EFS agrees that it shall approach Licensees regarding any planned  EFS Produced Merchandise and give such Licensees a seven (7) day right of first refusal with respect to the design and  manufacture thereof, whereby EFS may set forth commercially reasonable requirements with respect to pricing, delivery and  product specifications.",ROFR/ROFO/ROFN,Yes
"If EFS desires to use  any other domain names or Internet locators/designators in connection with the Websites, Micro Sites or otherwise utilizing  PLAYBOY- or PLAYBOY-related marks, EFS shall so notify Client, which may at its sole discretion, choose to register the  same at its expense.",ROFR/ROFO/ROFN,Yes
"Notwithstanding the foregoing, this Agreement and all  rights and duties hereunder shall not, without the prior written consent of Client, in any manner be assigned, mortgaged, licensed,  or otherwise transferred or encumbered by EFS or by operation of law; provided, however, that EFS may assign this Agreement  to an acquirer of all or substantially all of its assets without ClientÕs consent, but only in the event that in ClientÕs reasonable  determination (a) key EFS management (as defined by Client at the time of acquisition) will remain indefinitely with EFS or  replacement management is reasonably acceptable to Client and no less experienced than those in place as of the Effective Date  hereof; (b) the acquirer can demonstrate to ClientÕs reasonable satisfaction the availability of financial resources, and the ability  and intention, to   adequately invest in growing the Playboy Commerce Business (by way of example, the acquirer shall have a minimum net worth  equal to or above that of EFS as of the Effective Date hereof); (c) such assignment will not have a detrimental impact on the  Playboy Commerce Business or ClientÕs other businesses; and (d) the acquirer is otherwise able to honor all financial terms and  assume all obligations of EFS hereunder.",Anti-assignment,Yes
"Notwithstanding the foregoing, this Agreement and all  rights and duties hereunder shall not, without the prior written consent of Client, in any manner be assigned, mortgaged, licensed,  or otherwise transferred or encumbered by EFS or by operation of law; provided, however, that EFS may assign this Agreement  to an acquirer of all or substantially all of its assets without ClientÕs consent, but only in the event that in ClientÕs reasonable  determination (a) key EFS management (as defined by Client at the time of acquisition) will remain indefinitely with EFS or  replacement management is reasonably acceptable to Client and no less experienced than those in place as of the Effective Date  hereof; (b) the acquirer can demonstrate to ClientÕs reasonable satisfaction the availability of financial resources, and the ability  and intention, to   Ê  27 Source: PLAYBOY ENTERPRISES INC, 10-Q/A, 2/20/2009Ê  adequately invest in growing the Playboy Commerce Business (by way of example, the acquirer shall have a minimum net worth  equal to or above that of EFS as of the Effective Date hereof); (c) such assignment will not have a detrimental impact on the  Playboy Commerce Business or ClientÕs other businesses; and (d) the acquirer is otherwise able to honor all financial terms and  assume all obligations of EFS hereunder.",Anti-assignment,Yes
"In addition, EFS may not assign this Agreement without ClientÕs consent to a competitor  of Client or any of ClientÕs businesses.",Anti-assignment,Yes
Any purported transaction not specifically permitted under this Section 14.3 shall be null and void ab initio.,Anti-assignment,Yes
"EFS shall pay a royalty (""Royalty"") to Client to be calculated and paid as follows: (a) the Royalty shall be  determined based upon the percentage applicable to the Merchandise Gross Margin (pursuant to the chart in Exhibit 10, attached  hereto and hereby incorporated by reference); (b) multiplied by the Net Merchandise Sales (as defined below) as applicable in  each case for the applicable Calendar Quarter or Year (each as defined below).",Revenue/Profit Sharing,Yes
"In addition, Client shall be entitled to receive a royalty payment on the shipping and  handling charges paid by customers during the applicable Calendar Quarter (""Shipping Royalty"") equal to the Royalty percentage  multiplied by the shipping profit.",Revenue/Profit Sharing,Yes
"Client shall be entitled to receive an advertising fee ofÊ***** of the Net Advertising Revenue  derived by EFS from Advertisements pursuant to Section 4.4 (""Advertising Fee"").",Revenue/Profit Sharing,Yes
"EFS will commit to an annual Catalog budget equal to or greater than *****, which represents  ***** of the actual amount spent by Client on the Catalogs for 2007.",Minimum Commitment,Yes
"Accordingly, EFS agrees it will spend annually a minimum of ***** of Net  Website Sales (as defined below) on online marketing (""Online Marketing Budget"").",Minimum Commitment,Yes
"Notwithstanding revenue actually generated by EFS in connection with the Playboy Commerce  Business hereunder, it is understood and agreed that the Royalty paid to Client in each Year of the Term shall not be less than the  amounts set forth in Exhibit 10 (the ""Minimum Royalty"").",Minimum Commitment,Yes
"In the event the Minimum Royalty is not achieved in any Year based on  the Royalty payments made in such Year, EFS shall pay the shortfall between the Royalty earned and the applicable Minimum  Royalty due, if any, within sixty (60) days of the end of such Year.",Minimum Commitment,Yes
"In the event that the Minimum Royalty is met in any applicable Year, (i) EFS shall not be permitted to carry  over any overages into the next Year and (ii) EFS will not be eligible for any refund from any Minimum Royalty or Royalty  previously owed or paid to Client.",Minimum Commitment,Yes
"In the event EFS does not meet the full amount of the Minimum Royalty during the applicable  Year in which such Minimum Royalty was owed to Client, EFS will not be permitted to offset the shortfall with any overages from  any previous or subsequent Year, and a new Minimum Royalty will be due as set forth in this Section 6.2.",Minimum Commitment,Yes
"For the avoidance of  doubt, the Minimum Royalty is a minimum net sum from which no taxes or charges of any sort may be deducted.",Minimum Commitment,Yes
"In the event that this Agreement is terminated prior to the end of the Initial Term, any portion of the Year 1  Minimum Royalty that has been spread across Years 2 through 5 of the Term pursuant to Exhibit 10 and which has not yet been  paid to Client, shall immediately become due and owing.",Minimum Commitment,Yes
"In such event, the annual Minimum Royalty during the  Renewal Term, if any, shall be equal to the greater of: (a) ***** of the actual Royalty paid to Client in Year 5; and (b) *****.",Minimum Commitment,Yes
"At ClientÕs cost for materials (but excluding costs for labor or other EFS  charges), EFS agrees to include up to two (2) inserts per month in each of the Catalogs and up to two (2) onserts per month in all  outgoing Merchandise packaging, promoting Client products and services and/or those of ClientÕs affiliates, Licensees or  sponsors.",Volume Restriction,Yes
"Client shall own all content produced pursuant to Section 1.1(f) (whether or not actually used), and  EFS hereby assigns to Client all right, title and interest, including all rights in copyright, in and to the photographs and materials,  and agrees to cooperate with all reasonable requests by Client, and take all reasonable actions, to effect or perfect such  assignment.",IP Ownership Assignment,Yes
"In the event that EFS creates any modifications, alterations or other derivative works of any Playboy Content  (""Derivative Works""), EFS hereby irrevocably assigns to Client all right, title and interest in and to all of those Derivative Works,  including the copyrights and other proprietary rights therein.",IP Ownership Assignment,Yes
"EFS hereby irrevocably assigns, and Client hereby accepts, all right,  title and interest in and to each and every Authorized Modification, and EFS agrees to cooperate with all reasonable requests by  Client to effect or perfect such assignment.",IP Ownership Assignment,Yes
"To the  extent that Client is deemed to obtain any interest or ownership rights in the EFS Property, Client hereby assigns, transfers and  conveys to EFS, to the maximum extent permitted by applicable Law, all of ClientÕs right, title and interest therein used by Client  under or in connection with this Agreement so that EFS will be the sole owner of all rights therein and further agrees to cooperate  with EFS during and after the Term to effect and perfect all assignments.",IP Ownership Assignment,Yes
"To the extent that EFS is deemed to obtain any interest or ownership  rights in the Client Property, EFS hereby assigns, transfers and conveys to Client, to the maximum extent permitted by applicable  Law, all of EFSÕÊright, title and interest therein used or created by EFS under or in connection with this Agreement so that Client  will be the sole owner of all rights therein and further agrees to cooperate with Client during and after the Term to effect and  perfect all assignments.",IP Ownership Assignment,Yes
"Client and EFS shall jointly own and have rights to all User Data  collected hereunder provided, however, that EFS shall only use the User Data in strict accordance with the Privacy Policy and,  subject to the remainder of this Section 5, solely in connection with the Playboy Commerce Business.",Joint IP Ownership,Yes
"All such photographs shall be deemed  Playboy Content for purposes of this Agreement, for which EFS shall have a license to use during the Term solely in connection  with the Playboy Commerce Business and as is necessary to promote the Websites.",License Grant,Yes
"Client hereby grants  to EFS a limited and perpetual right and license to use such photographs and materials for research and forecasting purposes,  including, but not limited to, combining the same with reports and analytics concerning the performance of the Websites, providing  information to strategic partners to better define consumer purchasing habits, and for trend forecasting and planning purposes.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce   Ê  15 Source: PLAYBOY ENTERPRISES INC, 10-Q/A, 2/20/2009Ê  Business.",License Grant,Yes,Non-Transferable License,Yes
"Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce Business.",License Grant,Yes
"During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use, modify, create derivative works of, publish, reproduce, broadcast, exhibit and display the Playboy Content solely in  connection with the design, publication, distribution, operation and promotion of the Playboy Commerce Business.",License Grant,Yes,Non-Transferable License,Yes
All Derivative Works are  hereby licensed back to EFS subject to the limitations that are applicable hereunder to the Playboy Content.,License Grant,Yes
"During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use the Client trademarks and/or service marks as set forth on Part A of Exhibit 1 (the ""Playboy Marks"") solely in connection  with the design, publication, distribution, operation and promotion of the Playboy Commerce Business.",License Grant,Yes,Non-Transferable License,Yes
"During the Term and subject to the terms, conditions and limitations of this Agreement, Client  hereby grants EFS, a limited, non-transferable, non-assignable (without any right to sublicense) world-wide license to use the  Internet location or resource designators (URLs, domain names, etc.) set forth in Part B of Exhibit 1 hereto, and/or to the extent  approved in advance in writing by Client, as the case may be, modifications thereof (the ""Licensed Domain Names""), as the  domain name(s) and Internet locators/designators for the Websites during the Term.",License Grant,Yes,Non-Transferable License,Yes
"During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use the Client trademarks and/or service marks as set forth on Part A of Exhibit 1 (the ""Playboy Marks"") solely in connection  with the design, publication, distribution, operation and promotion of the Playboy Commerce Business.Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce Business.",Non-Transferable License,Yes
"During the Term of this Agreement and for two (2) years  thereafter, (a) EFS shall maintain complete and accurate books and records relating to revenue generated under this Agreement;  and (b) Client and/or its authorized representative(s) shall have the right to examine, review, copy and audit EFSÕÊbooks and  records relating to revenue generated under this Agreement to verify the accuracy of the payments and associated information  provided by EFS and to verify EFSÕÊcompliance with the terms and conditions of this Agreement.",Post-termination Services,Yes,Audit Rights,Yes
"Upon and after the termination of this Agreement (the ""Termination Date""):  Ê  (a) All accrued and unpaid amounts shall become immediately due and payable, including the pro rata amount of  the annual Minimum Royalty for the applicable Year based upon the Termination Date;  Ê  (b) All licenses granted pursuant to this Agreement shall immediately terminate;  Ê  (c) EFS shall cease the display and use of the Playboy Content, Derivative Works, Playboy Marks, Authorized  Modifications, Licensed Domain Names in any manner;  Ê  (d) EFS shall return any and all Playboy Content and Derivative Works to Client within five (5) business days of  the Termination Date;  Ê  (e) Each party will promptly, at the direction of the other party, return or destroy any and all Confidential  Information of the other party in any medium and all copies thereof;  Ê  (f) EFS shall discontinue the use of any User Data collected hereunder, and subject to applicable Laws, shall  promptly deliver and assign all User Data to Client per ClientÕs instructions; and  Ê  24 Source: PLAYBOY ENTERPRISES INC, 10-Q/A, 2/20/2009  Ê  (g) If so requested by Client in connection with a planned or potential continuation of the business, EFS shall  cooperate with Client and its affiliates in order to transfer any remaining operations to them or any other entity that Client may so  designate without interruption of the Playboy Commerce BusinessÕ availability.",Post-termination Services,Yes
"Upon and after the termination of this Agreement (the ""Termination Date""):  (g) If so requested by Client in connection with a planned or potential continuation of the business, EFS shall  cooperate with Client and its affiliates in order to transfer any remaining operations to them or any other entity that Client may so  designate without interruption of the Playboy Commerce BusinessÕ availability.",Post-termination Services,Yes
"Notwithstanding the foregoing, EFS may fulfill any outstanding orders placed through the Playboy  Commerce Business prior to the Termination Date and may continue collection activities related thereto, which shall be subject to  Section 6 hereof.",Post-termination Services,Yes
"Upon request from Client, EFS agrees to provide to Client any and all User Data  generated hereunder and such reports as reasonably requested by Client from time to time relating to User Data.",Audit Rights,Yes
"Client and its nominees, employees, agents and representatives shall have the right to enter  upon and inspect, at all reasonable hours of the day, any and all such location(s) and to take, without payment, individual  samples of any of the EFS Produced Merchandise and the Materials as Client reasonably requires for the purposes of such  inspection.",Audit Rights,Yes
"EXCEPT IN THE EVENT OF A BREACH OF SECTION 8 (CONFIDENTIALITY) OR  LIABILITY ARISING UNDER A PARTYÕS INDEMNIFICATION OBLIGATIONS UNDER SECTION 12, IN NO  EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR  CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY CONNECTED WITH THIS AGREEMENT OR  ANY MATTER RELATED HERETO, INCLUDING WITHOUT LIMITATION, LOST BUSINESS OR LOST PROFITS,  EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"EFS shall maintain at all times during the Term of this Agreement insurance as provided below and  shall name Client, its parent company, subsidiaries and affiliated entities and their respective officers, directors, shareholders,  agents and employees as additional insureds to the extent of indemnity provided herein under its liability policies as follows:  Ê  (i) Commercial general liability insurance including premises/operations, broad form property damage,  independent contractors, and contractual liability covering EFSÕ obligations hereunder for bodily injury and property damage, with  a combined single limit of not less than $1,000,000 each occurrence and $6,000,000 umbrella coverage;  Ê  (ii) WorkersÕ compensation insurance in statutory amounts covering EFS and its employees; and  Ê  (iii) Errors and omissions insurance, and employerÕs liability insurance in an amount not less than  $1,000,000 per accident/disease.",Insurance,Yes
"All insurance required above shall be carried with insurance companies licensed to do business in the  state(s) where operations are maintained with a rating   Ê  6 Source: PLAYBOY ENTERPRISES INC, 10-Q/A, 2/20/2009Ê  of no less than A-.",Insurance,Yes
All insurance required above shall be carried with insurance companies licensed to do business in the state(s) where operations are maintained with a rating of no less than A-.,Insurance,Yes
"EFS shall deliver to Client, upon execution of the Agreement, certificates of insurance as evidence of the  required coverages.",Insurance,Yes
EFS agrees that these policies shall not be canceled or materially changed without at least thirty (30) daysÕÊ prior written notice to Client.,Insurance,Yes
"Such notice shall include written confirmation and details of replacement insurance coverages and  other material revisions to the policies, which shall be effective immediately upon any cancellation or material change in EFSÕÊ policies in order that no gap in coverage results.",Insurance,Yes
