Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
NON-COMPETITION AND NON-SOLICITATION AGREEMENT,Document Name,NON-COMPETITION AND NON-SOLICITATION AGREEMENT
"Quaker Chemical Corporation, ""Buyer""), Gulf Houghton Lubricants Ltd.,, (""Gulf Houghton"", Gulf Oil International Limited,, ""Gulf International""), GOCL Corporation Limited,, ""Gulf Oil"" and, together with Gulf Houghton and Gulf International, the ""Sellers"" and each, a ""Seller""), Gulf Oil Lubricants India, Ltd, a public limited company incorporated in India (""Gulf India""), is executing this Agreement solely for purposes of Section 1(c) [Confidentiality_ Non-competition_ Non-solicitation]., ""Gulf Oil"" and, together with Gulf Houghton and Gulf International, the ""Sellers"" and each, a ""Seller""), GOCL Corporation Limited,, ""Gulf International""), Gulf Oil International Limited,, (""Gulf Houghton"", Gulf Houghton Lubricants Ltd.,, ""Buyer""), Quaker Chemical Corporation",Parties,"Quaker Chemical Corporation (""Buyer""); Gulf Houghton Lubricants Ltd. (""Gulf Houghton""); Gulf Oil International Limited (""GulfInternational""); GOCL Corporation Limited (""Gulf Oil"" and, together with Gulf Houghton andGulf International, the ""Sellers"" and each, a ""Seller""); Gulf Oil Lubricants India, Ltd (""Gulf India""), solely for purposes of Section 1(c)[Confidentiality_ Non-competition_ Non-solicitation]"
"August 1, 2019",Agreement Date,(None entered),Effective Date,(None entered)
THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE INTERNAL LAWS OF THE COMMONWEALTH OF PENNSYLVANIA WITHOUT GIVING EFFECT TO ANY CHOICE OR CONFLICT OF LAW PROVISION OR RULE (WHETHER OF THE COMMONWEALTH OF PENNSYLVANIA OR ANY OTHER JURISDICTION).,Governing Law,Pennsylvania
"Each Seller agrees that for a period commencing on the Effective Date and ending two years after the Closing Date (the ""Non- Compete Period""), it shall not, other than solely through its direct or indirect ownership of BuyerÕs capital stock or any other interests in Buyer, directly, or indirectly, including through or on behalf of a subsidiary, anywhere in the world, excluding India: (i) own, manage, operate or control any business which competes with any Combined Business or (ii) be or become a shareholder, partner, member or owner of any Person who is engaged in any Combined Business_",Non-Compete,Yes
"Gulf Oil and Gulf India each agree during the Non-Compete Period not to acquire, directly or indirectly, control of any businesses involved in, or otherwise competing with, the business of the Combined Business from any entity on Schedule 1 hereto.",Non-Compete,Yes
"Each Seller agrees that for a period commencing on the Effective Date and ending three years after the Closing Date (the ""Non-Solicit Period""), each Seller shall not, directly or indirectly: (i) induce, solicit, recruit or attempt to persuade any employee of the Combined Business to terminate his or her employment with the Buyer or any of its subsidiaries, or (ii) solicit the employment of any of the employees of the Combined Business.",No-Solicit of Employees,Yes
"Notwithstanding the above, Sellers shall not be restricted from (1) soliciting for employment or hiring former employees of Buyer or the Company (including their respective subsidiaries) whose employment was terminated by Buyer or the Company (including their respective subsidiaries) at least six months prior to such initial solicitation by such Seller or (2) soliciting employees of the Combined Business by means of a general solicitation through a public medium or general or mass mailing that is not specifically targeted at employees or former 3employees of the Combined Business_ provided, however, that this clause (2) shall not permit any Seller to hire any such employees during the Non-Solicit Period.",No-Solicit of Employees,Yes
"Notwithstanding the above, Sellers shall not be restricted from (1) soliciting for employment or hiring former employees of Buyer or the Company (including their respective subsidiaries) whose employment was terminated by Buyer or the Company (including their respective subsidiaries) at least six months prior to such initial solicitation by such Seller or (2) soliciting employees of the Combined Business by means of a general solicitation through a public medium or general or mass mailing that is not specifically targeted at employees or former employees of the Combined Business_ provided, however, that this clause (2) shall not permit any Seller to hire any such employees during the Non-Solicit Period.",No-Solicit of Employees,Yes
This Agreement shall be binding upon and inure to the benefit of the parties and their respective successors and permitted assigns_ provided that this Agreement shall not be assignable or otherwise transferable by any party without the prior written consent of the other party (which consent shall not be unreasonably withheld or delayed) and any purported assignment or transfer without such consent shall be null and void.,Anti-assignment,Yes
"Pursuant to the Purchase Agreement, Gulf Houghton shall receive cash consideration and shares of BuyerÕs capital stock in exchange for the Shares owned by Gulf Houghton and as inducement for Gulf Houghton and the other Sellers to enter into this Agreement.",Revenue/Profit Sharing,Yes
