Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-BRANDING AGREEMENT                                      (FORM),Document Name,CO-BRANDING AGREEMENT                                      (FORM)
"NETTAXI Online Communities, Inc., ""NETTAXI"", Solutions  Media,  Inc.,  dba SpinRecords.com, ""SpinRecords.com""  or  ""Client"", Solutions  Media,  Inc.,  dba SpinRecords.com, ""NETTAXI"", NETTAXI Online Communities, Inc.",Parties,"NETTAXI Online Communities, Inc. (""NETTAXI""); Solutions Media, Inc.(dba SpinRecords.com, ""SpinRecords.com"" or ""Client"")"
"Nov  5,  1999",Agreement Date,11/05/1999,Effective Date,11/05/1999
"This  Agreement  shall  be effective upon the              ------------------- Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.",Expiration Date,11/05/2000,Renewal Term,successive 1 year
"This Agreement and any action               ----------------------------------- related  thereto  shall  be governed, controlled, interpreted and defined by and under  the laws of the State of California and the United States, without regard to  the conflicts of laws provisions thereof., This Agreement and any action related  thereto  shall  be governed, controlled, interpreted and defined by and under  the laws of the State of California and the United States, without regard to  the conflicts of laws provisions thereof., This Agreement and any action               ----------------------------------- related  thereto  shall  be governed, controlled, interpreted and defined by and under  the laws of the State of California and the United States, without regard to  the conflicts of laws provisions thereof.",Governing Law,California
The      spinwares  and  spinstore  will be  modified  to include  licensed  content      purchased directly from Spinrecords.com and to eliminate products that will      compete with the Nettaxi store.,Non-Compete,Yes
"NETTAXI  may terminate this Agreement at any time for              ----------- its  convenience,  for  no  reason or for any reason, upon sixty (60) days prior written  notice  to  SpinRecords.com.",Termination For Convenience,Yes
SpinRecords.com may terminate  this  Agreement  for no reason or for any reason upon sixty (60) days prior  written  notice  to  NETTAXI.,Termination For Convenience,Yes
"In the event more that there is a change in ownership  representing  fifty  percent (50%) or more of the equity ownership of either  party, the other party may, at its option, terminate this Agreement upon written  notice.",Change of Control,Yes
"Neither  NETTAXI  or  SpinRecords.com shall assign its              ---------- respective  rights  or delegate its obligations hereunder, either in whole or in part,  whether  by  operation  of  law  or  otherwise, without the prior written consent  of  the other party. Any attempted assignment or delegation without the other  party's  written  consent  will  be  void.",Anti-assignment,Yes
Spin agrees to pay      Nettaxi a 5% commission of the gross sales price on all transactions.,Revenue/Profit Sharing,Yes
"In full consideration for the rights granted              --------------------- by  NETTAXI,  SpinRecords.com  agrees  to  pay NETTAXI fifty (50%) percent of ad revenue  at  an  average  rate  no lower then $6.50 per one thousand impressions (CPM)  payable  to  NETTAXI  which  results when the SpinRecords.com Advertising Revenue  is  multiplied by SpinRecords.com's AR Share.",Revenue/Profit Sharing,Yes
"For each User that accesses the co-branded             ------------------------ site  and  becomes  a  paying  customer  on the co-branded site, SpinRecords.com agrees  to  pay  a  fee  of  five  (5%)  percent  of  the  gross  sale.",Revenue/Profit Sharing,Yes
"The per unit  cost  shall be 50 cents or      less, unless both parties agree otherwise.",Price Restrictions,Yes
"NETTAXI hereby grants to              ----------------------------------------- SpinRecords.com  a non-exclusive, worldwide, nontransferable, revocable, royalty free  license to use the NETTAXI Brand Features as the same may be modified from time  to  time  for  the  purposes  of  this  Agreement",License Grant,Yes,Non-Transferable License,Yes
"SpinRecords.com hereby              ------------------------------------------- grants  NETTAXI  a  nonexclusive, worldwide, nontransferable, revocable, royalty free  license  to display and distribute the, and make derivative works from the SpinRecords.com  Brand  Features  and  any  enhancements,  modifications  or improvements  thereto  as  necessary  to  carry out the terms of this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Upon reasonable notice of not less than seven (7) business  days,  but in no event more than once per year (unless the immediately preceding  audit  showed a material underpayment), NETTAXI shall have the right, subject  to  suitable  confidentiality  measures,  to  cause  a certified public accountant  to  inspect those portions of the books of account and records which relate  to  the royalties owed NETTAXI, to confirm that the correct amount owing NETTAXI  under this Agreement has been paid.",Audit Rights,Yes
"Upon  reasonable  prior  notice,   NETTAXI  will  have  the  right, exercisable  not more  than  once  every  twelve  (12)  months,  to  appoint  an independent   accounting   firm  or  other  agent   reasonably   acceptable   to SpinRecords.com,  at  NETTAXI'S  expense,  to examine  such  books,  records and accounts  during  SpinRecords.com's  normal business hours to verify the amounts due by  SpinRecords.com  to  NETTAXI  herein,  subject  execution  of  NETTAXI's standard  confidentiality  agreement by the accounting firm or agent;  provided, however,  that  execution of such  agreement  will not  preclude  such firm from reporting  its  results  to  NETTAXI.",Audit Rights,Yes
"EXCEPT AS SET FORTH IN SECTION 6 AND 7.1,              ------------------------ UNDER  NO  CIRCUMSTANCES  WILL  EITHER  PARTY  BE  LIABLE TO THE OTHER UNDER ANY CONTRACT,  STRICT  LIABILITY, NEGLIGENCE OR OTHER LEGAL OR EQUITABLE THEORY, FOR ANY  INCIDENTAL  OR CONSEQUENTIAL DAMAGES OR LOST PROFITS IN CONNECTION WITH THE SUBJECT  MATTER  OF  THIS  AGREEMENT.",Uncapped Liability,Yes,Cap on Liability,Yes
"will  promptly  remit the  amounts  due to the other  party.  If any such  audit discloses a shortfall  in payment to  NETTAXI of more than five percent (5%) for any quarter, SpinRecords.com agrees to pay or reimburse NETTAXI for the expenses of such audit.",Liquidated Damages,Yes
