Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"Dassault Systemes, (""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,, PlanetCAD Inc. (formerly known as Spatial Technology Inc.), ""PlanetCAD"", (each a ""Party,"" together, the ""Parties"")., ""PlanetCAD"", PlanetCAD Inc. (formerly known as Spatial Technology Inc.), (""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,, Dassault Systemes",Parties,"Dassault Systemes (""Dassault Systemes"") and/or certain affiliates of Dassault Systems; PlanetCAD Inc. (""PlanetCAD"")(""Party,"" together, the ""Parties"")"
"November 14, 2000",Agreement Date,11/14/2000,Effective Date,11/14/2000
"This Agreement shall be effective as of the Effective Date and shall continue in force for three years from the Launch Date (the ""Initial Term"") unless earlier",Expiration Date,11/14/2003
The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.,Renewal Term,successive 1 year,Notice Period To Terminate Renewal,6 months
"This Agreement shall be governed by, and construed in accordance with, the Laws of the State of New York, applicable to contracts executed in and to be performed entirely within that Source: RAND WORLDWIDE INC, 8-K/A, 4/2/2001state., This Agreement shall be governed by, and construed in accordance with, the Laws of the State of New York, applicable to contracts executed in and to be performed entirely within that state., This Agreement shall be governed by, and construed in accordance with, the Laws of the State of New York, applicable to contracts executed in and to be performed entirely within that Source: RAND WORLDWIDE INC, 8-K/A, 4/2/2001state.",Governing Law,New York
"Except as contemplated under this Agreement, during the two year period following the Effective Date, Dassault Systemes shall not commercially offer any web service, which is (i) based upon the ACIS-based software transferred to Dassault Systemes in Source: RAND WORLDWIDE INC, 8-K/A, 4/2/2001connection with the Purchase Agreement and (ii) similar to the Co-Branded Service.",Non-Compete,Yes
"Except as contemplated under this Agreement, during the two year period following the Effective Date, Dassault Systemes shall not commercially offer any web service, which is (i) based upon the ACIS-based software transferred to Dassault Systemes in connection with the Purchase Agreement and (ii) similar to the Co-Branded Service.",Non-Compete,Yes
"During the Term of this Agreement, and for a period of one year thereafter, except as expressly provided in this Agreement, PlanetCAD shall not market any services to Customers without the prior written approval of Dassault Systemes.",No-Solicit of Customers,Yes
In connection with such license each party agrees not to use the other party's Marks in any manner that is disparaging or that otherwise portrays such party in a negative light.,Non-Disparagement,Yes
"In the event there is a change of Control of an Affiliate which terminates its status as an Affiliate of the party to this Agreement, and this Agreement has been assigned to such an Affiliate, this Agreement must be assigned back to the party within 6 months of the effective date of the change of Control.",Change of Control,Yes
"This Agreement may be assigned or otherwise transferred, by operation of law or otherwise without the express written consent of PlanetCAD and Dassault Systemes, but in such event the assigning Party shall give notice to the non-assigning Party and the non-assigning Party shall have the right to terminate this Agreement within the 30-day period following receipt of such notice.",Anti-assignment,Yes
"Either party may assign or otherwise transfer all or part of this Agreement to any of its Affiliates, and for as long as it remains an Affiliate_ provided that no such assignment shall relieve a party of any of its obligations under this Agreement.",Anti-assignment,Yes
"As financial consideration under this Agreement, Net Revenue will be shared by the parties as follows:                   (a)   For so long as PlanetCAD hosts the Co-Branded Service,                         during which time PlanetCAD shall be the Billing Party,                         all Net Revenue derived from sales of the Co-Branded                         Service to Dassault Systemes Customers shall be                         apportioned [***] percent ([***]%) to Dassault Systems                         and [***] percent ([***]%) to PlanetCAD.",Revenue/Profit Sharing,Yes
In the event that Dassault Systemes opts to host the                         Co-Branded Service pursuant to Section 4.7  [Change of Hosting] herein they                         shall become the Billing Party and all Net Revenue                         derived from sales of the Co-Branded Service shall be                         apportioned [***] percent ([***]%) to Dassault Systems                         and [***] percent ([***]%) to PlanetCAD.,Revenue/Profit Sharing,Yes
The revenue sharing obligations set forth in Section 5.4  [Share of Net Revenue] shall be subject to re-negotiation at the end of the Initial Term.,Revenue/Profit Sharing,Yes
The parties hereby acknowledge and agree that any and all rights to Know-How developed or shared under this Agreement by either party shall be jointly owned by the parties and may be used by either party in the operation of their respective businesses during and following termination of this Agreement.,Joint IP Ownership,Yes
"PlanetCAD hereby grants to Dassault Systemes a fully-paid, non-exclusive, worldwide, revocable limited license to the Server Software and Infrastructure for the sole purpose of (i) hosting the Co-Branded Service and (ii) fulfilling its                                        4    5 obligations under this Agreement.",License Grant,Yes
"PlanetCAD hereby grants to Dassault Systemes a fully-paid, non-exclusive, worldwide, revocable limited license to the Server Software and Infrastructure for the sole purpose of (i) hosting the Co-Branded Service and (ii) fulfilling its obligations under this Agreement.",License Grant,Yes
"On or before the Launch Date, each party shall grant the other party a non-exclusive, non-transferable, revocable right to use their approved Marks, for the sole purpose of advertising, marketing, promotion and sale of the Co-Branded Service.",License Grant,Yes,Non-Transferable License,Yes
"During such two-year period, and upon reasonable notice to the Billing Party, the Non-Billing Party shall have the right to have an audit conducted through a licensed independent accounting firm, of any billings, collections, and taxes on such itemized statement, and to examine the records and books of account of the Billing Party in connection therewith.",Audit Rights,Yes
Any audit conducted pursuant to this Section 5.7  [Records -] shall not be conducted in such a manner as to unreasonably interfere with the Non-Billing Party's operations and in no event shall an audit be conducted more frequently than once each year.,Audit Rights,Yes
"EXCEPT FOR LIABILITY ARISING FROM SECTION 9.3  [Intellectual Property Infringement], IN NO EVENT SHALL EITHER PARTY BE LIABLE UNDER THIS AGREEMENT FOR AN AMOUNT GREATER THAN THE AMOUNT THAT SUCH PARTY HAS EARNED PURSUANT TO THE REVENUE SHARING PROVISIONS OF SECTION 5.4  [Share of Net Revenue] IN THE TWELVE MONTH PERIOD PRECEDING THE CLAIM.",Uncapped Liability,Yes,Cap on Liability,Yes
