Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
TRANSPORTATION SERVICES AGREEMENT,Document Name,TRANSPORTATION SERVICES AGREEMENT
"PennTex North Louisiana Operating, LLC, ""Carrier"", MRD Operating LLC, ""Shipper"", Shipper and Carrier may be referred to individually as a ""Party,"" or collectively as the ""Parties."", ""Shipper"", MRD Operating LLC, ""Carrier"", PennTex North Louisiana Operating, LLC",Parties,"PennTex North Louisiana Operating, LLC (""Carrier""); MRD Operating LLC (""Shipper"")(""Party"", or collectively as the ""Parties"")"
"14t h day of April, 2015",Agreement Date,04/14/2015,Effective Date,04/14/2015
"This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar daysÕ prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").",Expiration Date,perpetual,Renewal Term,perpetual,Notice Period To Terminate Renewal,30 days
This Agreement shall be governed and construed in accordance with the laws of the state of Texas without giving effect to the conflict of law rules thereof.,Governing Law,Texas
"This Agreement may not be assigned, disposed of, alienated or otherwise transferred by either Party, in whole or in part, without the prior written consent of the other Party, which consent shall not be unreasonably withheld, conditioned or delayed, except as provided below.",Anti-assignment,Yes
"Notwithstanding anything herein to the contrary, in the event that, after the Effective Date, any Governmental Authority promulgates, issues or changes any rules, regulations or other mandates that impose any material fee, charge or cost upon Carrier in connection with the performance of the Services performed hereunder, excluding normal fees, charges or costs that are incurred by Carrier irrespective of whether Carrier provides the Services on behalf of Shipper and excluding Taxes addressed in Article XVII, then Carrier may increase the then-effective ShipperÕs Dedicated Rates by up to ten percent (10%) to account for such fees, charges or costs (to the extent such fees, charges or costs are attributable to Shipper Product)_ provided, however, the cumulative effect of all such increases pursuant to this Section 6.2 may not exceed thirty percent (30%) of the initial ShipperÕs Dedicated Rates (as the same may be adjusted pursuant to the Tariff from time to time).",Price Restrictions,Yes
"If, in CarrierÕs reasonable judgment, an increase in ShipperÕs Dedicated Rates of more than ten percent (10%) would be required to place Carrier in substantially the same economic position as it was in prior to the imposition or assessment of such fees, charges or costs, Carrier may call for a meeting among the PartiesÕ senior management to take place within thirty (30) Days of written notice to Shipper, and the Parties shall negotiate in good faith to amend the provisions of this Agreement such that the Parties are in substantially the same relative economic position as they were in prior to the imposition or assessment of such fees, charges or costs",Price Restrictions,Yes
"Products of the required specifications shall be Tendered for transportation in quantities of not less than 2,500 Barrels of the same specification, except that Carrier may, in its sole discretion, accept any quantity of Product if such quantity can be consolidated with other Product such that Carrier can make a single delivery of not less than 2,500 Barrels",Minimum Commitment,Yes
New Shippers will have access to a minimum of ten percent (10%) of the Available Capacity and Historical Shippers will have access to a maximum of ninety percent (90%) of the Available Capacity.,Volume Restriction,Yes
Carrier shall allocate up to ninety percent (90%) of the Available Capacity on a non-discriminatory historical basis to all Historical Shippers.,Volume Restriction,Yes
Carrier is not required to allocate more than two percent (2%) of the Available Capacity to any individual New Shipper.,Volume Restriction,Yes
"Shipper shall be entitled to audit CarrierÕs applicable books and records for the limited purpose of determining if the amount of any increase pursuant to this Section 6.2 is justified by the actually-incurred and reasonable amount of the aggregate costs and/or expenses relating to the System; provided, however, such audit shall not require Carrier to disclose confidential information of any Person other than Shipper who is a shipper on the System",Audit Rights,Yes
"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES, ANY SUCCESSORS IN INTEREST OR ANY BENEFICIARY OR ASSIGNEE OF THIS AGREEMENT FOR ANY CONSEQUENTIAL, MULTIPLE, INCIDENTAL, INDIRECT, SPECIAL, EXEMPLARY OR PUNITIVE DAMAGES, OR LOSS OF PROFITS OR REVENUES ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY BREACH HEREOF_ PROVIDED, HOWEVER, THE FOREGOING SHALL NOT BE CONSTRUED AS LIMITING AN OBLIGATION OF A PARTY HEREUNDER TO INDEMNIFY, DEFEND AND HOLD HARMLESS THE OTHER PARTY AGAINST CLAIMS ASSERTED BY UNAFFILIATED THIRD PARTIES, INCLUDING, BUT NOT LIMITED TO, THIRD PARTY CLAIMS FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES. THIS ARTICLE X SHALL APPLY NOTWITHSTANDING THE SOLE, JOINT OR CONCURRENT NEGLIGENCE, FAULT OR RESPONSIBILITY OF THE PARTY WHOSE LIABILITY IS WAIVED BY THIS PROVISION, OR ANY OTHER EVENT OR CONDITION, WHETHER ANTICIPATED OR UNANTICIPATED, AND REGARDLESS OF WHETHER PRE-EXISTING PRIOR TO THE DATE OF THIS AGREEMENT.",Uncapped Liability,Yes,Cap on Liability,Yes
