Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
INTELLECTUAL PROPERTY RIGHTS AGREEMENT,Document Name,INTELLECTUAL PROPERTY RIGHTS AGREEMENT
"Synchron, ""Investor"", Rare Element Resources Ltd., ""Company"", Rare Element Resources Ltd., ""Investor"", Synchron",Parties,"Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")"
"October 2, 2017",Agreement Date,10/02/2017
"""Effective Date"" has the meaning of the ""Closing Date"" set forth in the Investment Agreement.",Effective Date,(None entered)
"Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.",Expiration Date,(None entered)
This IP Agreement will be construed in accordance with the substantive laws of the state of New York and of the United States of America.,Governing Law,New York
"If the Option is exercised before the expiration of the Option Period, the license grants set forth in Articles 3.00 and 3.01 will become exclusive to Investor for a perpetual term, shall not be subject to a licensing fee, the granted licenses in favor of the Investor shall be deemed fully paid-up, and the rights granted to Investor under Articles 3.00 and 3.01 shall include the right to grant sublicenses to Third Parties.",Exclusivity,Yes,License Grant,Yes,Irrevocable or Perpetual License,Yes
"Prior to the earlier of Investor exercising the Option and the expiration of the Option Period, Company will not grant to any Third Party any rights to the Patents or to the Technical Information that extend beyond the expiration of the Option Period.",Exclusivity,Yes
"Notwithstanding the foregoing, if Company elects to abandon any patent application, to not pay maintenance fees or annuities to keep a patent in force, or to otherwise take or fail to take any action that will result in a loss of patent rights, Company shall give Investor at least sixty (60) days prior written notice and an opportunity to take over the prosecution of the patent application that would be abandoned and/or pay the fees necessary to keep the patent in force and/or take any other action necessary to avoid the loss of patent rights.",ROFR/ROFO/ROFN,Yes
Any assignment or agreement or other transaction by Company that fails to be in complete compliance with this Article 3.07 or any other provision of this IP Agreement shall be null and void.,Anti-assignment,Yes
"Investor will not assign to any Third Party any rights under this IP Agreement not specifically transferable by its terms without the prior written consent of Company, such consent not to be unreasonably withheld.",Anti-assignment,Yes
"Investor shall own all right, title and interest in any Improvement made jointly by Company and Investor (""Joint Improvements"") during the term of this IP Agreement, and Company agrees to and hereby does assign to Investor any right, title and interest it may otherwise have in any Joint Improvement.",IP Ownership Assignment,Yes
"Company grants to Investor, for the duration of the Option Period, a worldwide, royalty-free, non-exclusive, irrevocable license (with the right to grant sublicenses to Affiliates) under the Patents to practice the methods therein described and claimed and to make and have made, use, offer to sell, sell and import products made using such methods, and to make Improvements, and to engage in any activity which would give rise to a claim of infringement (direct or indirect or otherwise) of one or more of the Patents in the absence of a license.",License Grant,Yes,Affiliate License-Licensee,Yes,Irrevocable or Perpetual License,Yes
"Company further grants to Investor, during the duration of the Option Period, a worldwide, royalty-free, non-exclusive, irrevocable license (with the right to grant sublicenses to Affiliates) to use the Technical Information to practice the methods described and claimed in the Patents and to make and have made, use, offer to sell, sell and import products made using the methods, and to make Improvements, and to engage in any activity which would give rise to a claim of infringement (direct or indirect or otherwise) of one or more of the Patents in the absence of a license.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Investor hereby agrees to grant to Company a non-exclusive, irrevocable, royalty-free license under any Investor Improvement and any patent claiming such Investor Improvement, solely for use in rare earth mineral processing and rare earth separation, to make and have made, use, offer to sell, sell and import products made using the Investor Improvements.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Investor hereby agrees to grant to Company a non-exclusive, irrevocable, royalty-free license under any Joint Improvement and any patent claiming such Joint Improvement solely for use in rare earth mineral processing and rare earth separation.",License Grant,Yes,Irrevocable or Perpetual License,Yes
The non- exclusive rights granted to Investor under this Article 3.02 do not include the right to grant sublicenses to Third Parties.,Non-Transferable License,Yes
"Such reserved non-exclusive license shall be solely for use by the Company and its Affiliates and shall not be transferable to any Third Party, except in connection with a merger, consolidation, or the sale or transfer of substantially all of the Company's assets associated with the performance of this IP Agreement.",Non-Transferable License,Yes
"Such rights to Investor Improvements shall be solely for use by the Company and its Affiliates and shall not be transferable to any Third Party, except in connection with a merger, consolidation, or the sale or transfer of substantially all of Company's assets associated with performance under this IP Agreement.",Non-Transferable License,Yes,Affiliate License-Licensee,Yes
"Such rights to Joint Improvements shall be solely for use by the Company and shall not be transferable to any Third Party except in connection with a merger, consolidation, or the sale or transfer of substantially all of Company's assets associated with performance under this IP Agreement.",Non-Transferable License,Yes
