Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
RECIPE DEVELOPMENT AGREEMENT,Document Name,RECIPE DEVELOPMENT AGREEMENT
"ReedÕs, Inc., ""ReedÕs"", B C Marketing Concepts Inc., dba Full Sail Brewing Company, ""Company"", B C Marketing Concepts Inc., dba Full Sail Brewing Company, ""ReedÕs"", ReedÕs, Inc.",Parties,"Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")"
"October 11, 2019",Agreement Date,10/11/2019,Effective Date,10/11/2019
"The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").",Expiration Date,(None entered)
"This Agreement shall be governed by, and any dispute arising hereunder shall be determined in accordance with, the laws of State of New York (without giving effect to conflict of laws principles) including all matters of construction, validity and performance.",Governing Law,New York
"In exchange for CompanyÕs contributions and obligations under this Agreement, ReedÕs grants Company the exclusive right to manufacture, package, promote, sell and distribute the Products (if and to the extent approved by the Development Committee), subject to the terms and conditions of a separate Manufacturing and Distribution Agreement to be entered into by the parties concurrently with this Agreement, as it may be amended, modified, supplemented or restated from time to time (the ""Manufacturing and Distribution Agreement"").",Exclusivity,Yes
"Company may not assign or transfer its rights or obligations under this Agreement, whether by operation of law, contract or otherwise, without the prior written consent of ReedÕs, which shall not be unreasonably withheld (it being understood that a purported assignment to a ReedÕs competitor identified or referred to in Exhibit D of the Manufacturing and Distribution Agreement shall be considered to be a reasonable basis for withholding consent).",Anti-assignment,Yes
ReedÕs will exclusively own all Deliverables.,IP Ownership Assignment,Yes
"Company will and hereby does, without further consideration, irrevocably assign to ReedÕs any and all worldwide right, title or interest that Company may now or hereafter possess in or to the Deliverables in perpetuity (or the maximum period permitted by Applicable Laws and Regulations) and ReedÕs accepts such assignment",IP Ownership Assignment,Yes
"Company acknowledges and agrees that all Intellectual Property created by Company, its affiliates, representatives, or agents in connection with or resulting from any work or services related to the Products, including the Deliverables (""Work Product""), but excluding the Neutral Alcohol Beverage Base and excluding the CompanyÕs general know-how and independently developed production processes not specifically related to the Products, have been specially ordered and commissioned by ReedÕs, are works-made-for-hire from the moment of creation and that all such Work Product is and will be the sole and exclusive property of ReedÕs",IP Ownership Assignment,Yes
"To the extent not a work-for- hire, Company, its employees, subcontractors and agents hereby sell, assign and transfer to ReedÕs all right, title and interest in and to the Work Product, including without limitation, all rights to Intellectual Property therein.",IP Ownership Assignment,Yes
"EXCEPT WITH RESPECT TO THE INDEMNIFICATION OBLIGATIONS SET FORTH IN SECTION 9 WITH REGARD TO CLAIMS BY THIRD PARTIES, IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR CONSEQUENTIAL, INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR ENHANCED DAMAGES, LOST PROFITS OR REVENUES OR DIMINUTION IN VALUE ARISING OUT OF, RELATING TO, OR IN CONNECTION WITH ANY BREACH OF THIS AGREEMENT OR CLAIM HEREUNDER, REGARDLESS OF (A) WHETHER SUCH DAMAGES WERE FORESEEABLE, (B) WHETHER OR NOT IT WAS ADVISED OF THE POSSIBLITY OF SUCH DAMAGES, AND (C) THE LEGAL OR EQUITABLE THEORY (CONTRACT, TORT OR OTHERWISE) UPON WHICH THE CLAIM IS BASED.",Uncapped Liability,Yes,Cap on Liability,Yes
"Company agrees that it will not at any time contest the ownership or validity of any ReedÕs Intellectual Property or Deliverables, nor register or attempt to register any rights with respect to ReedÕs Intellectual Property, nor do anything that would jeopardize or diminish ReedÕs rights to or the value of ReedÕs Intellectual Property or Deliverables.",Covenant Not To Sue,Yes
"ReedÕs shall not at any time acquire any rights, title or interest in CompanyÕs Intellectual Property. ReedÕs agrees that it will not at any time contest the ownership or validity of any Company Intellectual Property, nor register or attempt to register any rights with respect to Company Intellectual Property, nor do anything that would jeopardize or diminish CompanyÕs rights to or the value of Company Intellectual Property.",Covenant Not To Sue,Yes
