Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"World Book, Inc., ""World Book"", HSW International, Inc., ""HSWI"", HSW International, Inc., ""World Book"", World Book, Inc.",Parties,"World Book, Inc. (""World Book""); HSW International, Inc. (""HSWI"")"
"September 17, 2008",Agreement Date,09/17/2008,Effective Date,09/17/2008
"This Agreement shall commence on the Effective Date and, except as set forth in Subsection (ii), continue in full force and effect through the Delivery Period.",Expiration Date,(None entered)
"At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.",Renewal Term,(None entered),ROFR/ROFO/ROFN,Yes
"This Agreement, the rights and obligations of the parties hereto, and any claims or disputes thereto, shall be governed by and construed in accordance with the laws of the State of New York without reference to conflict of law principles. Venue for any proceedings not subject to arbitration under this Agreement shall be in the state and federal courts located in New York, New York.",Governing Law,New York
"The term of the license for the Content delivered to HSWI as part of the Affinities, and the Affinities themselves, shall be perpetual, Exclusive, and irrevocable.",Exclusivity,Yes,Irrevocable or Perpetual License,Yes
"World Book shall have no right to allow any party other than HSWI, including World Book, to publish, distribute, duplicate, or otherwise use the Reference Content that comprises the Affinities on the Open Free Web for purposes of creating any materials that are the same or similar to the Affinities and published online or in any other free digital media.",Exclusivity,Yes
World Book shall not license to any third parties or otherwise use the Content as Affinities in any digital form during the term of the license.,Exclusivity,Yes
"In addition, such license for Translated Content shall be Exclusive for Display on the Open Free Web.",Exclusivity,Yes
"Commencing on the Effective Date and continuing for eighteen (18) months, World Book shall work exclusively with HSWI to publish Chinese language Content for the Open Free Web and shall not itself, directly or indirectly, publish Chinese language Content for the Open Free Web.",Exclusivity,Yes
"Additionally commencing on the Effective Date and continuing for eighteen (18) months, World Book shall offer HSWI a right of first refusal to create any paid-subscription Chinese language websites, which do not exist as of the date hereof, using the Content on equal or better terms as agreed to between World Book and a third party.",ROFR/ROFO/ROFN,Yes
"Except as set forth herein, the parties shall not have any right or ability to assign, transfer, or sublicense any obligations or benefit under this Agreement without the prior written consent of the other party, which shall not be unreasonably withheld, except that, upon written notice to the other party, a party (i) may assign and transfer this Agreement and its rights and obligations hereunder to any third party who succeeds to substantially all its business, stock, or assets related to this Agreement, including, without limitation, to a Competitor (as defined below) (an ""Acquisition""); and (ii) may assign or transfer any rights to receive payments hereunder.",Anti-assignment,Yes
"Notwithstanding the foregoing, attached as Attachment C is a list of companies (the ""Competitors"") to whom assignment of this Agreement outside of an Acquisition may be made only with prior written consent of the other party, which the other party may withhold at its sole discretion.",Anti-assignment,Yes
"HSWI shall pay to World Book Royalties calculated as a defined percentage of the Net Revenue received by HSWI from     [*] Confidential treatment requested; certain information omitted and filed separately with the SEC. Source: REMARK HOLDINGS, INC., 10-Q, 11/14/2008  advertising generated directly from Content by web pages containing Content or any portion of the Content provided by World Book to HSWI hereunder.",Revenue/Profit Sharing,Yes
HSWI shall pay to World Book Royalties calculated as a defined percentage of the Net Revenue received by HSWI from advertising generated directly from Content by web pages containing Content or any portion of the Content provided by World Book to HSWI hereunder.,Revenue/Profit Sharing,Yes
The Royalty rate shall be [*] percent ([*]%) on the Affinities and Reference Content; and [*] percent ([*]%) on Translated Content.,Revenue/Profit Sharing,Yes
"The total amount of material World Book makes available for all Affinities shall be no less than sixteen million (16,000,000) Chinese characters.",Minimum Commitment,Yes
"Additionally, the Affinities shall collectively contain at least sixteen thousand (16,000) Articles written in simplified Chinese characters, with an average and median number of words per Article of no less than one thousand (1,000) simplified Chinese characters.",Minimum Commitment,Yes
"Subject to the terms and conditions set forth herein, World Book hereby grants to HSWI, a perpetual, irrevocable limited license to use, copy, store, archive, distribute, transmit, modify (subject to Section 2.1(iv)), and Display the Content, Images and Affinities in whole or in part, only on the HSWI Websites or in promotions in any media for the HSWI Websites.",License Grant,Yes
"World Book further grants HSWI the right to sub-license the Content, Images and Affinities to users of the HSWI Websites to view, to store, and to make reasonable copies of the Content, Images and Affinities to use such Content, Images and Affinities for non-commercial, private purposes, provided that HSWI sets forth the limited terms of such sublicense in writing in the HSWI WebsitesÕ terms and conditions.",License Grant,Yes,Non-Transferable License,Yes
"In addition, World Book grants HSWI the right to sub-license the Content for business development purposes, with no more than [*] ([*]%) of the Content being licensed to any single third party, and in limited, non-material usage in other mediums for promotional or public relations purposes.",License Grant,Yes,Non-Transferable License,Yes
"HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the   [*] Confidential treatment requested_ certain information omitted and filed separately with the SEC. Source: REMARK HOLDINGS, INC., 10-Q, 11/14/2008  HSWI Websites).",License Grant,Yes,Non-Transferable License,Yes
"HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the HSWI Websites).",License Grant,Yes,Non-Transferable License,Yes
