Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT"
"Revolution Medicines, Inc., ""RevMed"", Aventis, Inc., ""Sanofi"", Sanofi and RevMed are referred to in this Agreement individually as a ""Party"" and collectively as the ""Parties."", ""Sanofi"", Aventis, Inc., ""RevMed"", Revolution Medicines, Inc.",Parties,"Revolution Medicines, Inc. (""Revmed""); Aventis, Inc. (""Sanofi"")(""Party"" and collectively as the ""Parties"")"
"June 8, 2018",Agreement Date,06/08/2018,Effective Date,06/08/2018
"The term of this Agreement shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article XII, shall continue in full force and effect until the expiration of SanofiÕs payment obligations under Article IX or the Profit/Loss Share Agreement, whichever is later (the ""Term"").",Expiration Date,(None entered)
"This Agreement shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws., This Letter shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws., This Agreement shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.",Governing Law,New York
"Except pursuant to or as expressly permitted by this Agreement, RevMed shall not, shall cause its Affiliates not to, conduct or agree to conduct, outside of the Collaboration, on its own or together with one or more Third Parties, the Research, Development or Commercialization of any product that contains a SHP2 Inhibitor, including any SHP1-SHP2 Dual Inhibitor that [***]. For purposes of this Section, [***].",Non-Compete,Yes
"If after [***]: (i) Sanofi or its Affiliates, alone or with or through a Third Party, develop, manufacture or commercialize a Competing Product and (ii) Sanofi or its Affiliates have not commenced a Registrational Clinical Trial for a Product prior to commencing the activities in Section 12.2(d)(i), RevMed may terminate this Agreement effective [***] after it delivers written notice to Sanofi that it is exercising its rights under this Section 12.2(d) unless Sanofi elects in writing within such [***] period to [***].",Non-Compete,Yes
"Subject to the terms and conditions of this Agreement, RevMed hereby grants to Sanofi an exclusive (even as to RevMed and its Affiliates), royalty-bearing license (which shall be sub-licensable solely as provided in Section 3.4) under the RevMed Licensed Technology, to Research, Develop, Manufacture, use, sell, offer for sale, import and otherwise Commercialize and exploit Products (including, for clarity, any Companion Diagnostics with respect to such Products) in the Field in the Licensed Territory.",Exclusivity,Yes,License Grant,Yes
"If Sanofi provides a Notice of Interest to RevMed within [***], then (i) RevMed shall, upon request of Sanofi, provide Sanofi with reasonable access to all other then-existing Know-How in RevMedÕs Control that exists in either paper or electronic form and pertains to the relevant SHP1-SHP2 Dual Inhibitor and (ii) the Parties shall negotiate exclusively in good faith and on a commercially reasonable basis the terms of a definitive agreement under which Sanofi would be granted SHP1-SHP2 Dual Inhibitor License Rights for [***] after RevMed receives such Notice of Interest (such period, the ""SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period",Exclusivity,Yes
"Sanofi may terminate this Agreement (A) in its entirety by providing [***] written notice of termination to RevMed or (B) on a country-by-country or Product-by-Product basis by providing [***] written notice of termination to RevMed; provided that if Sanofi desires to terminate this Agreement under this Section 12.2(a)(i)B only with respect to the U.S. (for all Products or one or more Products), Sanofi shall provide [***] written notice of termination to RevMed.",Termination For Convenience,Yes
"If [***] (such determination, the ""SHP1-SHP2 Dual Inhibitor Licensing Decision"" and such Third PartyÕs rights, the ""SHP1-SHP2 Dual Inhibitor License Rights""), then prior to commencing any negotiations with any Third Party with regard to any SHP1-SHP2 Dual Inhibitor License Rights, RevMed shall promptly notify Sanofi in writing of such SHP1-SHP2 Dual Inhibitor Licensing Decision and provide to Sanofi a detailed summary of the data then in RevMedÕs Control regarding the relevant SHP1-SHP2 Dual Inhibitor.",ROFR/ROFO/ROFN,Yes
"of the data then in RevMedÕs Control regarding the relevant SHP1-SHP2 Dual Inhibitor. Sanofi shall notify RevMed in writing (a ""Notice of Interest""), within [***] after SanofiÕs receipt of such notice, if Sanofi desires to enter into negotiations with RevMed of the terms under which Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights.",ROFR/ROFO/ROFN,Yes
"If Sanofi provides a Notice of Interest to RevMed within [***], then (i) RevMed shall, upon request of Sanofi, provide Sanofi with reasonable access to all other then-existing Know-How in RevMedÕs Control that exists in either paper or electronic form and pertains to the relevant SHP1-SHP2 Dual Inhibitor and (ii) the Parties shall negotiate exclusively in good faith and on a commercially reasonable basis the terms of a definitive agreement under which Sanofi would be granted SHP1-SHP2 Dual Inhibitor License Rights for [***] after RevMed receives such Notice of Interest (such period, the ""SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period"").",ROFR/ROFO/ROFN,Yes
"If Sanofi provides such Notice of Interest during [***], then RevMed shall not negotiate with any Third Party the terms under which such Third Party would obtain any development or commercialization rights with respect to a SHP1-SHP2 Dual Inhibitor during the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period.",ROFR/ROFO/ROFN,Yes
"respect to a SHP1-SHP2 Dual Inhibitor during the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period. If (x) Sanofi does not provide a Notice of Interest within [***] or (y) Sanofi does provide a Notice of Interest within [***] but Parties have not entered into an agreement under which Sanofi is granted SHP1-SHP2 Dual Inhibitor License Rights prior to the expiration of the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period, then RevMed shall have no further obligations to Sanofi with respect to such SHP1-SHP2 Dual Inhibitor Products, and RevMed shall have the right to enter into negotiations and execute an agreement with a Third Party under which such Third Party is granted the SHP1-SHP2 Dual Inhibitor License Rights [***].",ROFR/ROFO/ROFN,Yes
"Sanofi shall have the first right, but not the obligation, through counsel of its choosing, to negotiate and obtain a license with respect to such Third Party intellectual property right and shall provide RevMed with a copy of such license if it obtains such a license (to the extent permitted by the terms of such license, provided that Sanofi shall use Commercially Reasonable Efforts to obtain such permission to provide such copy).",ROFR/ROFO/ROFN,Yes
"RevMed will notify Sanofi in writing as soon as possible after RevMed announces publicly any information regarding any proposed Change of Control of RevMed (or if the Change of Control will not be publicly announced, then no later than [***] after the signing of the Change of Control).",Change of Control,Yes
Sanofi will have the option to either (A) terminate this Agreement in its entirety upon written notice to RevMed provided to RevMed within [***] of the effective date of such Change of Control; or (B) [***].,Change of Control,Yes
RevMed shall pay Sanofi such royalties until the earlier of (x) expiration of the Post-Termination Royalty Term therefor and (y) a Change of Control of Sanofi.,Change of Control,Yes,Post-termination Services,Yes
"Without limiting the foregoing, if a Party first engages a subcontractor after the Effective Date to perform any activities assigned to it under this Agreement, such Party shall require that such subcontractor be bound by written obligations of confidentiality and non-use consistent with this Agreement and shall have agreed to assign to the Party engaging such subcontractor (or, if an assignment cannot be made, grant an irrevocable, perpetual, fully-paid, exclusive, royalty-free, worldwide license to such Party, with the right to sublicense through multiple tiers, to Research, Develop, Manufacture, Commercialize and otherwise exploit SHP2 Inhibitors and Products) under all Program Inventions made by such subcontractor in the course of performing such subcontracted work that relate to any Products or their use, manufacture or sale.",Anti-assignment,Yes,Irrevocable or Perpetual License,Yes
"Neither Party may assign this Agreement or any of its rights or obligations hereunder, except as expressly permitted hereunder, or delegate any of its obligations under this Agreement, whether by operation of law or otherwise, in whole or in part, without the consent of the other Party, except as follows: (i) Sanofi may, without consent of RevMed, assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of Sanofi, and RevMed may, with the consent of Sanofi (not to be unreasonably withheld, delayed or conditioned), assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of RevMed;",Anti-assignment,Yes
"Either Party may, without consent of the other Party, assign this Agreement in whole to (i) in the case of RevMed, its successor in interest or assignee or purchaser, as applicable, in the case of a Change of Control or (ii) in the case of Sanofi, its successor in interest or assignee or purchaser, as applicable, in connection with the sale of all or substantially all of its assets to which this Agreement relates, or in connection with a merger, acquisition or similar transaction.",Anti-assignment,Yes
"In the case of RevMed, the intellectual property owned or controlled by any such Acquiror or its Acquiror Family prior to the applicable Change of Control or other similar transaction immediately prior to such acquisition (other than as a result of a license from the acquired Party) or is thereafter developed outside the scope of this Agreement in accordance with this Agreement shall be excluded from the RevMed Licensed Technology, in each case only for so long as the remainder of the conditions of this Section 15.2 are met, and the Acquiror Family shall be excluded from ""Affiliate"" solely for purposes of the applicable components of the intellectual property definitions set forth herein, in all such cases if and only if: (A) the acquired Party remains a wholly-owned subsidiary of the Acquiror_ (B) all intellectual property of the Acquired Party Family and 75 Source: REVOLUTION MEDICINES, INC., S-1, 1/17/2020all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose_ (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family.",Anti-assignment,Yes
"In the case of RevMed, the intellectual property owned or controlled by any such Acquiror or its Acquiror Family prior to the applicable Change of Control or other similar transaction immediately prior to such acquisition (other than as a result of a license from the acquired Party) or is thereafter developed outside the scope of this Agreement in accordance with this Agreement shall be excluded from the RevMed Licensed Technology, in each case only for so long as the remainder of the conditions of this Section 15.2 are met, and the Acquiror Family shall be excluded from ""Affiliate"" solely for purposes of the applicable components of the intellectual property definitions set forth herein, in all such cases if and only if: (A) the acquired Party remains a wholly-owned subsidiary of the Acquiror_ (B) all intellectual property of the Acquired Party Family and 75all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose_ (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family. Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect.",Anti-assignment,Yes
Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect.,Anti-assignment,Yes
"Subject to the other terms of this Section 9.3, during the Royalty Term, Sanofi shall make quarterly royalty payments to RevMed on aggregate Net Sales of each Product sold outside the United States during a Calendar Year at the applicable royalty rates as set forth below. For clarity, royalties shall only be payable once on any sale of Product under this Agreement. Aggregate Net Sales of each Product outside the United States during a Calendar Year Royalty Rate Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year less than or equal to $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] and less than or equal to $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] and less than $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] [***]% 45",Revenue/Profit Sharing,Yes
"In any country in which there is no Valid Claim and no Regulatory Exclusivity for such Product, at the time of sale of such Product in such country during the applicable Royalty Term, SanofiÕs obligation to pay royalties under Section 9.3(a) on Net Sales of such Product in such country shall be reduced to [***]% of the rates otherwise payable under such section.",Revenue/Profit Sharing,Yes
"If during the Royalty Term for a Product in a country, one or more Generic Products of such Product are sold in such country, and during any Calendar Quarter following the Calendar Quarter in which such Generic Product(s) are first sold in such country (the ""Launch Quarter"") Net Sales of such Product in such country during any Calendar Quarter following the Launch Quarter are less than the Designated Percentage (as defined below) of average Net Sales occurring during the [***] immediately preceding the Launch Quarter (such average Net Sales during such Calendar Quarters, the ""Base Net Sales""), then the royalty rates provided in Section 9.3(a) for such Product shall be reduced in such country by the ""Applicable Reduction Percentage"" set forth below for such Calendar Quarter and for all future Calendar Quarters, unless and until the Generic Product is no longer sold or the Net Sales increase above the Base Net Sales in a Calendar Quarter.",Revenue/Profit Sharing,Yes
