Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MASTER SUPPLY AGREEMENT,Document Name,MASTER SUPPLY AGREEMENT
"REYNOLDS CONSUMER PRODUCTS LLC, ""Seller"", PACTIV LLC, ""Buyer"", Seller and Buyer are referred to individually at times as a ""Party"" and collectively at times as the ""Parties""., ""Buyer"", PACTIV LLC, ""Seller"", REYNOLDS CONSUMER PRODUCTS LLC",Parties,"REYNOLDS CONSUMER PRODUCTS LLC (""Seller""); PACTIV LLC (""Buyer"")(""Party"" and collectively at times as the ""Parties"")"
"November 1, 2019",Agreement Date,11/01/2019,Effective Date,11/01/2019
"The ""Term"" of this Agreement will commence on the Effective Date and will end on the earlier of: (a) the first anniversary of the expiration date of the last Purchase Schedule (as defined in this next Section)_ (b) a termination date elected by a Party in a written notice delivered to the other Party any time after the expiration of the last Purchase Schedule_ or (c) a termination date elected by a Party in a written notice delivered to the other Party as provided in Subsection 11(d) of this Agreement.",Expiration Date,(None entered)
"This Agreement and all claims or causes of action arising out of or related to this Agreement shall be governed in all respects, including as to validity, interpretation and effect, by the laws of the State of Illinois and the United States of America, without giving effect to its principles or rules of conflict of laws.",Governing Law,Illinois
"A change of control shall be deemed an assignment requiring consent hereunder provided that any transfer or assignment that results in SellerÕs and BuyerÕs current common parent, Reynolds Group Holdings Limited, ceasing to control either party shall not require consent of the other party.",Change of Control,Yes,Anti-assignment,Yes
"This Agreement, its rights and obligations, is not assignable or transferable by either Party, in whole or in part, except with the prior written consent of the other Party, which consent will not be unreasonably withheld, conditioned or delayed.",Anti-assignment,Yes
"Notwithstanding the preceding sentences, this Subsection will not limit the liability of a Party for any amount or type of damages for: (1) the defense and indemnification of an Indemnified Claim on which the Party is the Indemnifying Party_ (2) infringement by the Party on the intellectual property of the other Party_ (3) the unauthorized disclosure or use by the Party of the Confidential Information of the other Party_ (4) payment or reimbursement of any amount expressly required to be paid or reimbursed by the Party under a provision of this Agreement_ or (5) the intentional misconduct of the Party in violation of Applicable Laws.",Uncapped Liability,Yes
A Party that breaches this Agreement will only be liable to the other Party for direct damages arising from the breach.,Cap on Liability,Yes
"Each Party waives any right to recover consequential, incidental, indirect, exemplary, punitive or any other types of indirect damages from the other Party for a breach of this Agreement.",Cap on Liability,Yes
"During the Term of this Agreement, each Party will maintain the following minimum types and amounts of insurance coverage during the Term of this Agreement:",Insurance,Yes
"Commercial General Liability Insurance. Occurrence based coverage with a combined single limit of at least $10,000,000 per occurrence and in the aggregate for premises and operations_ products and completed operations_ contractual liability coverage for indemnities of a Party contained within this Agreement_ broad form property damage (including completed operations)_ explosion, collapse and underground hazards_ and personal injury. Requires additional insured endorsement and waiver of subrogation endorsement.",Insurance,Yes
"Automobile Liability Insurance. Occurrence based coverage with a combined single limit of at least $10,000,000 per occurrence and in the aggregate for owned, non-owned, and hired automotive equipment of the Party. Requires additional insured endorsement and waiver of subrogation endorsement.",Insurance,Yes
"WorkersÕ Compensation Liability Insurance. Occurrence based coverage providing benefits in the minimal amount required by Applicable Law for workplace and work related injuries and illnesses to the employees of a Party, including, without limitation, Workers Compensation Acts of applicable U.S. States, the U.S. LongshoremenÕs and Harbor Workers Compensation Act and the U.S. Jones Act. Requires alternate employer endorsement and waiver of subrogation endorsement.",Insurance,Yes
"EmployersÕ Liability Insurance. Occurrence based coverage with a limit of at least $10,000,000 per occurrence or any greater limits set by Applicable Law workplace and work related injuries and illnesses to the employees of a Party. Requires waiver of alternate employer endorsement.",Insurance,Yes
"Property Insurance. Coverage providing ""all risk"" property insurance at the replacement value of the machinery, equipment, fixtures, tools, materials and other property of the Party. ""All risk"" coverage will include, by way of example and not limitation, loss or damage resulting from earthquakes, floods, wind, fire or other natural or weather-related phenomenon. Requires waiver of subrogation endorsement.",Insurance,Yes
"All insurers of a Party on such policies must have at all times an A.M. Best financial rating of at least ""A-Minus VII"".",Insurance,Yes
"All insurance of an insuring Party must be ""primary and non-contributory"" with respect to any insurance that the other Party may maintain, but only with respect to the negligence or other legal liability of the insuring Party.",Insurance,Yes
"An insuring Party must deliver the following written evidence of the required insurance coverage to the other Party (Attention: Risk Management), or its designated insurance monitoring service, within ten (10) of written request and at least thirty (30) days in advance of the expiration of a then current policy term (if a declaration or endorsement is not available from an insurer at the time requested or required, an insuring Party will provide them as soon as the declaration or endorsement is available from the insurer): i. Certificate of insurance confirming that the required insurance coverage and minimal limits are met for the extended, renewed or replacement policy term. ii. Declaration pages of insurance policy (or a copy of the binder until the declaration pages are available) confirming that the required insurance coverage and minimal limits are met for the extended, renewed or replacement policy term. iii. Copies of additional insured endorsements required for applicable policies in the name and for the benefit of: ""[NAME OF OTHER PARTY], its parent, subsidiaries and affiliates_ any lessors of the foregoing and any mortgagees, deed of trust beneficiaries and secured creditors of such lessors_ and any successors and assignees of all of the foregoing."" iv. Copies of alternate employer endorsements and waiver of subrogation endorsements required for applicable policies in the name and for the benefit of: """"[NAME OF OTHER PARTY], its parent, subsidiaries and affiliates_ any lessors of the foregoing and any mortgagees, deed of trust beneficiaries and secured creditors of such lessors_ and any successors and assignees of all of the foregoing.""",Insurance,Yes
