Clause,Label 1,Label 1-Answer
TRANSITION SERVICES AGREEMENT,Document Name,TRANSITION SERVICES AGREEMENT
"Reynolds Group Holdings Inc., ""RGHI"", Reynolds Consumer Products Inc., (the ""Company"" or ""RCP""), Each Party or any of its Affiliates providing services hereunder shall be a ""Provider,"" and each Party or any of its Affiliates receiving services hereunder shall be a ""Recipient."", (the ""Company"" or ""RCP""), Reynolds Consumer Products Inc., ""RGHI"", Reynolds Group Holdings Inc.",Parties,"Reynolds Group Holdings Inc. (""RGHI""); Reynolds Consumer Products Inc. (""Company"" or ""RCP""); Each Party or any of its Affiliates providing services hereunder  (""Provider""); each Party or any of its Affiliates receiving services hereunder (""Recipient"")"
"[¥], 2020",Agreement Date,[]/[]/2020
"With respect to each of the Services, the term thereof will be for a period commencing as of the date hereof, unless a different date is specified as the commencement date for any applicable Service on Exhibit A or Exhibit B (either, a ""Commencement Date""), and shall continue until 12 months following the Commencement Date unless (i) such other date as is specified as the termination date for any applicable Service in this Agreement or on Exhibit A or Exhibit B, as applicable (the ""Term"") or (ii) earlier terminated pursuant to this Agreement (a ""Termination Date"").",Expiration Date,[]/[]/2021
"This Agreement shall be governed in all respects, including as to validity, interpretation and effect, by the Laws of the State of Illinois, without giving effect to its principles or rules of conflict of laws, to the extent such principles or rules are not mandatorily applicable by statute and would permit or require the application of the Laws of another jurisdiction.",Governing Law,Illinois
"Except as agreed by the Parties in writing or as otherwise stated in the Exhibits, Company may terminate for convenience any Transition Service, and RGHI may terminate for convenience any Reverse Transition Service, upon 30 daysÕ prior written notice of such termination; provided, (a) that, with respect to the Services described in Section G1 of Exhibit A, unless otherwise indicated therein, those Services may not be terminated independently except in accordance with an agreed Migration Plan and, (b) any unamortized costs associated with ProviderÕs purchase of any license or other costs incurred specifically for the purpose of providing the Services hereunder will be passed through to the Terminating Party.",Termination For Convenience,Yes
"No Party may assign this Agreement, or any of its rights or obligations under this Agreement (whether by operation of Law or otherwise), without the prior written consent of the other Party; provided, that notwithstanding the foregoing, any Party may assign any or all of its rights or obligations under this Agreement without the consent of the other Party to: (a) its Affiliates, (b) a purchaser of: (i) one or more of its Affiliates that is a Provider or Recipient under this Agreement; (ii) all or substantially all of the business or assets of one or more of its Affiliates that is a Provider or Recipient under this Agreement; or (iii) all or substantially all of such PartyÕs business or assets, or (c) its financing sources solely for collateral purposes, in each case so long as the assignee agrees to be bound by the terms of this Agreement.",Anti-assignment,Yes
"Any attempted assignment of this Agreement, or the rights or obligations herein, not in accordance with the terms of this Section 10.10 shall be void.",Anti-assignment,Yes
"Each Party grants, and shall cause its Affiliates to grant, to the other Party and its Affiliates, a royalty-free, non-exclusive, non- transferable, worldwide license, during the Term, to use the intellectual property owned by such Party or its Affiliates (but excluding any trademarks) only to the extent necessary for the other Party and its Affiliates to provide or receive the Services, as applicable.",License Grant,Yes
"Company shall have the right, in a manner to avoid unreasonable interruption to RGHIÕs or its AffiliatesÕ business, to (1) evaluate the effectiveness of the key controls; and (2) upon at least thirty (30) daysÕ written notice to RGHI, perform (through its external auditor) audit procedures over RGHIÕs internal controls and procedures for the Services provided under this Agreement; provided that such right to audit shall exist solely to the extent reasonably required by CompanyÕs external auditors to ensure CompanyÕs compliance with the Sarbanes-Oxley Act of 2002.",Audit Rights,Yes
"At the request of Recipient, Provider shall provide to Recipient and its Affiliates reasonable access to ProviderÕs applicable Personnel and records with respect to the amount charged in connection with any Service so that Recipient may confirm that the pass through costs incurred by Provider or, to the extent such Service is provided on an hourly basis, information related to hours worked in connection with such Service, are commensurate with the amount charged to Recipient for such Service.",Audit Rights,Yes
"Each Party shall make the TSA Records it maintains available to the other Party and its Affiliates and their respective auditors or other representatives, and in any event to any Governmental Authority, during normal business hours on reasonable prior notice (it being understood that TSA Records that are not stored on a PartyÕs regular business premises will require additional time to retrieve), for review, inspection, examination and, at the reviewing PartyÕs reasonable expense, reproduction.",Audit Rights,Yes
Access to such TSA Records shall be exercised by a Party and its Affiliates and their authorized representatives in a manner that shall not interfere unreasonably with the normal operations of the Party maintaining the TSA Records.,Audit Rights,Yes
"In connection with such review of TSA Records, and upon reasonable prior notice, a reviewing Party and its Affiliates shall have the right to discuss matters relating to the TSA Records with the employees of the Party or its Affiliates who are maintaining the relevant TSA Records and providing the Services, as applicable, during regular business hours and without undue disruption of the normal operations of such maintaining and providing Party or its Affiliates.",Audit Rights,Yes
"On and after the Commencement Date, RGHI shall, and shall cause its Affiliates to, until the 6th anniversary of the Commencement Date, afford to RCP and its employees and authorized representatives during normal business hours reasonable access to their books of account, financial and other records (including accountantÕs work papers), information, employees and auditors at the CompanyÕs expense to the extent necessary or useful for the Company in connection with any audit, investigation, or dispute or Litigation (other than any Litigation involving a dispute between the Parties) or any other reasonable business purpose relating to the Business; provided that any such access by RCP shall not unreasonably interfere with the conduct of the business of RGHI and its Affiliates.",Audit Rights,Yes
"After the Commencement Date, RCP shall, and shall cause its Affiliates to, until the 7th anniversary of the date on which RGHL or its Affiliates owns less than 10% of the capital stock in RCP, afford to RGHI and its employees and authorized representatives reasonable access to RCPÕs employees and auditors, retain all books, records (including accountantÕs work papers), and other information and documents pertaining to the Business in existence on the Commencement Date and make available for inspection and copying by RGHI (at RGHIÕs expense) during normal business hours, in each case so as not to unreasonably interfere with the conduct of the business of RCP and its Affiliates, such information (A) as may be required by any Governmental Authority, including pursuant to any applicable Law or regulatory request or to prepare or file any Tax related documentation, (B) as may be necessary for RGHI or its Affiliates in connection with their ongoing financial reporting, accounting or other purpose related to RGHI and CompanyÕs affiliation immediately prior to the Commencement Date, or (C) as may be necessary for RGHI or its Affiliates to perform their respective obligations pursuant to this Agreement or in connection with any Litigation (other than any Litigation involving a dispute between the parties), in each case subject to compliance with all applicable privacy Laws.",Audit Rights,Yes
"IN NO EVENT SHALL ANY PARTY BE LIABLE TO THE OTHER PARTY FOR ANY INDIRECT, SPECIAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES, OR LOST PROFITS OR LOST REVENUES THAT THE OTHER PARTY MAY INCUR BY REASON OF ITS HAVING ENTERED INTO OR RELIED UPON THIS AGREEMENT, OR IN CONNECTION WITH ANY OF THE SERVICES PROVIDED HEREUNDER OR THE FAILURE THEREOF, REGARDLESS OF THE FORM OF ACTION IN WHICH SUCH DAMAGES ARE ASSERTED, WHETHER IN CONTRACT OR TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY OF THE SAME OTHER THAN TO THE EXTENT AWARDED IN A THIRD PARTY CLAIM.",Cap on Liability,Yes
"EXCEPT WITH RESPECT TO A MATERIAL BREACH CONSTITUTING WILLFUL MISCONDUCT BY A PROVIDER, REPEAT PERFORMANCE OF A SERVICE BY THE PROVIDER OR REFUND OF THE FEES PAID FOR A SERVICE SHALL BE THE SOLE AND EXCLUSIVE REMEDY FOR BREACH OF THE SERVICES STANDARD FOR SUCH SERVICE.",Cap on Liability,Yes
IN NO EVENT SHALL A PARTYÕS LIABILITY IN RELATION TO SERVICES PROVIDED UNDER THIS AGREEMENT EXCEED THE FEES PAID TO IT UNDER THIS AGREEMENT FOR THE SPECIFIC SERVICE THAT RESULTED IN THE LOSS.,Cap on Liability,Yes
