Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
DISTRIBUTION AND DEVELOPMENT AGREEMENT,Document Name,DISTRIBUTION AND DEVELOPMENT AGREEMENT
"Sekisui Diagnostics, LLC and its Affiliates, ""Sekisui"", Qualigen, Inc. and its Affiliates, ""Qualigen"", Qualigen, Inc. and its Affiliates, ""Sekisui"", Sekisui Diagnostics, LLC and its Affiliates",Parties,"Sekisui Diagnostics, LLC and its Affiliates (""Sekisui""); Qualigen, Inc. and its Affiliates (""Qualigen"")"
"May 1, 2016",Agreement Date,05/01/2016
"The initial term of this Agreement shall commence on the Effective Date and shall continue for a period of five (5) years unless earlier terminated pursuant to Section 14 hereof (the ""Term"").",Expiration Date,05/01/2021
The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement.,Renewal Term,Successive 1 year
The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement,Notice Period To Terminate Renewal,6 months
"This Agreement shall be governed by, and construed and interpreted in accordance with, the laws of the State of Delaware, without reference to its conflicts of laws principles.",Governing Law,Delaware
"Qualigen hereby appoints Sekisui, and Sekisui accepts the appointment to act on an exclusive basis pursuant to the terms and conditions of this Agreement, as a distributor for the sale of the Products in the Territory.",Exclusivity,Yes
"Sekisui shall purchase the Products exclusively from Qualigen, and Qualigen shall supply the Products exclusively to Sekisui, in each case for the Territory.",Exclusivity,Yes
"However, Qualigen shall not engage any distributors (whether exclusive or non-exclusive) other than Sekisui for the Qualigen Retained Customers.",Exclusivity,Yes
"Sekisui shall not, and shall cause its subdistributors not to, market, rent or sell any Products to the Qualigen Retained Customers.",Exclusivity,Yes
Qualigen shall supply Sekisui with all of SekisuiÕs commercial requirements for the Product in the Applicable Markets.,Exclusivity,Yes
"However, Qualigen shall not engage any distributors (whether exclusive or non-exclusive) other than Sekisui for the Qualigen Retained Customers",No-Solicit of Customers,Yes
"Sekisui shall not, and shall cause its subdistributors not to, market, rent or sell any Products to the Qualigen Retained Customers. 3. Supply;",No-Solicit of Customers,Yes
"Sekisui may terminate this Agreement upon prior written notice (i) in the event of any failure of Qualigen to meet a milestone set forth in the Development Plan (as it may be amended by the Parties from time to time), or (ii) at any other time upon ninety (90) daysÕ prior written notice of impending termination.",Termination For Convenience,Yes
"In the event that Qualigen nonetheless receives an unsolicited offer to engage in a Sale Transaction during such Exclusivity Period, Qualigen may engage with such party to the extent legally required to comply with its fiduciary duties, so long as Qualigen (i) promptly communicates to Sekisui the material terms of any proposal or offer or request for information which it may receive in respect of any such proposed Sale Transaction, including the purchase price, form and timing of consideration and the identity of the acquirer, and (ii) complies with SekisuiÕs Right of First Refusal (as defined below).",ROFR/ROFO/ROFN,Yes
"If the parties do not mutually agree to the terms of such potential acquisition within the Negotiation Period then the Exclusivity Period shall end and, subject to SekisuiÕs Right of First Refusal, Qualigen shall be free to negotiate the terms of a Sale Transaction with any Third Party.",ROFR/ROFO/ROFN,Yes
"During the Term, Sekisui shall have a right of first refusal to match the terms of any arms length, bona fide proposed Sale Transaction with a Third Party (""SekisuiÕs Right of First Refusal"").",ROFR/ROFO/ROFN,Yes
"Qualigen shall provide Sekisui with at least 30 days prior written notice and access to all due diligence materials provided to any potential acquirer, such 30 day period to commence upon the notification to Sekisui that QualigenÕs board of directors has approved such Proposed Sale Transaction (as set forth in a term sheet or draft definitive agreement provided to Sekisui), subject to SekisuiÕs Right of First Refusal.",ROFR/ROFO/ROFN,Yes
"The Agreement shall not be assigned and is not assignable or delegable by either Party without the written consent of the other, which consent shall not be unreasonably withheld; provided, that Sekisui and Qualigen each may assign this Agreement without the consent of the other to a successor in connection with the merger, consolidation or sale of such Party or of all or substantially all of its assets or the portion of its business to which this Agreement relates.",Anti-assignment,Yes
"The price that Sekisui shall pay for the Reagent Kits Products shall be based upon a formula intended to ensure that Sekisui will receive 90% of the total Available Margin for all Products during the first 12 months of this Agreement, 70% of the total Available Margin for all Products during months 13-24 of this Agreement, and 65% of the total Available Margin for all Products thereafter.",Revenue/Profit Sharing,Yes
"Accordingly, the prices (established separately for the Reagent Kits and for the products other than Reagent Kits) to be paid by Sekisui for the Products shall be fixed (subject to a later lookback true up) for each respective prospective six month period in the manner set forth in Exhibit D",Price Restrictions,Yes
"The initial prices Sekisui agrees to pay for the respective Products for the first such prospective ""six month period"" (in this instance actually a five month period: May-September 2016) shall be fixed (subject to a later lookback true up) in the manner set forth in Exhibit D.",Price Restrictions,Yes
"Thereafter such prices shall be revisited and recalculated (prospectively) every six months in the manner set forth in Exhibit D (i.e., for purposes of such calculations for establishing the new prospective prices for the reagent products, the applicable Net Revenue, COGS and Available Margin shall be the Net Revenue, COGS and Available Margin for the applicable historical 6-month period as defined in Exhibit D). I",Price Restrictions,Yes
"n addition, on a semi-annual basis, such amount shall be reviewed based on the actual Net Revenue, COGS and Available Margin for the 6 months then ended. I",Price Restrictions,Yes
"In the event that Qualigen elects not to prosecute or maintain in a particular Applicable Market country any Patent Rights in the jointly developed Development IP (the ""Abandoned Joint IP""), Sekisui may elect to prosecute such Abandoned Joint IP in such particular Applicable Market country, in which case the Patent Rights for such Abandoned Joint IP in such particular in Applicable Market country shall be owned solely by Sekisui.",IP Ownership Assignment,Yes,Joint IP Ownership,Yes
"In the event that any Development IP is jointly invented by the Parties in accordance with applicable intellectual property laws, then the ownership of such Development IP that has been jointly invented shall be co-owned by the Parties in accordance with such applicable intellectual property laws; provided, however, that neither Party shall have any duty or obligation to account to the other for any use or exploitation of such jointly invented Development IP and as between the Parties, each Party shall be entitled to retain any and all benefit, financial or otherwise, derived by such Party from such jointly invented Development IP.",Joint IP Ownership,Yes
"During the Term, Sekisui is hereby permitted to use the Qualigen name and any Qualigen content (including the content of any existing sales collateral and marketing materials) in any sales collateral, marketing materials or other communications used in connection with the marketing and sales of the Product with the prior written consent of Qualigen, which consent shall not be reasonably withheld or delayed.",License Grant,Yes
". Upon the expiration or termination of the Term (other than in connection with a Sale Transaction in which Sekisui acquires Qualigen), Sekisui shall cooperate in permitting Qualigen to offer to rehire any Sekisui sales representatives who are primarily responsible for selling the Products.",Post-termination Services,Yes
Qualigen shall provide Sekisui with copies of any Product test records requested or Sekisui may audit Qualigen to review the Product test records.,Audit Rights,Yes
"Any new facility proposed to be used by Qualigen in manufacturing any Product shall be subject to a new and separate audit by Sekisui personnel in accordance with Quality Systems Regulations (QSR), as well as ISO 13485.",Audit Rights,Yes
