Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,Document Name,NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT
"ScanSource, Inc., ""Distributor"", Cisco Systems, Inc., ""Cisco"", Cisco Systems, Inc., ""Distributor"", ScanSource, Inc.",Parties,"ScanSource, Inc. (""Distributor""); Cisco Systems, Inc. (""Cisco"")"
"January 22, 2007",Agreement Date,01/22/2007
"the date last written below (""the Effective Date""), January 22, 2007, the date last written below (""the Effective Date"")",Effective Date,01/22/2007
"This Agreement shall commence on the Effective Date and continue thereafter for a period of two (2) years, unless extended by written agreement of both parties or sooner terminated as set forth below.",Expiration Date,01/22/2009
"Without prejudice to either party's right to terminate this Agreement as set forth in sub_ sections 18.2 to 18.5 below, Cisco may, by written notice to Distributor, given at least thirty (30) days prior to the end of the then-current term of the Agreement, extend the term of the Agreement for the period set forth in such notice, up to a maximum of one (1) year beyond the then- current expiration date.",Renewal Term,1 year
"The validity, interpretation, and performance of this Agreement shall be controlled by and construed under the laws of the State of New York, United States of America, as if performed wholly within the state and without giving effect to the principles of conflicts of law, and the state and federal courts of California shall have jurisdiction over any claim arising under this Agreement.",Governing Law,New York
"In the event Cisco puts into effect a general price decrease for any Product from the Value Added Distributor Price List, Cisco will provide to Distributor a price credit on any such Product on order, In Transit or in Distributor's inventory as of the effective date of the price decrease, provided that the price credit for such Product in inventory or In Transit shall not exceed the dollar value of shipments of that Product (measured by the appropriate Cisco product number) to Distributor over the preceding [*****].",Most Favored Nation,Yes
"Distributor will not purchase Products for resale to any Reseller from any person or entity other than Cisco, provided that Distributor may accept returned Product from Resellers if Distributor initially sold the Product to be returned to such Reseller. [*****]",Exclusivity,Yes
"Either party may terminate this Agreement, without cause, by giving the other party [*****] days prior written notice.",Termination For Convenience,Yes
"Distributor may not assign or delegate its rights or obligations under this Agreement (other than (i) the right to receive any amount due, which shall be freely assignable, or (ii) to Distributor's parent or majority-owned subsidiary company of sufficient net worth to meet any potential liability under this Agreement) without the prior written consent of Cisco, such consent not to be unreasonably withheld or delayed, provided that any such assignment shall not relieve Distributor of any obligation to pay monies that were owed Cisco prior to the date of the assignment.",Anti-assignment,Yes
"By this Agreement, Cisco makes, and Distributor accepts, the appointment of Distributor as an authorized, non-exclusive distributor of Products and Services to Resellers located in the Territory.",License Grant,Yes
"Cisco grants to Distributor the right to use the name, logo, trademarks, and other marks of Cisco (collectively, the ""Marks"") for all proper purposes in the sale of Cisco Products and Services to End Users and the performance of Distributor's duties hereunder only so long as this Agreement is in effect.",License Grant,Yes
"Cisco's policy is that Software, whether Standalone or Embedded, is not transferable, except where a listed exception below applies, and except, of course, where Cisco's contract expressly allows it.",Non-Transferable License,Yes
An entity may transfer its right to use a certain piece of Software to its Affiliate.,Affiliate License-Licensee,Yes
