Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
PROMOTION AGREEMENT,Document Name,PROMOTION AGREEMENT
"SIGA TECHNOLOGIES, INC., ""SIGA"", MERIDIAN MEDICAL TECHNOLOGIES, INC., ""MMT"", SIGA and MMT are sometimes referred to individually as a ""Party"" and collectively as the ""Parties"". RECITALS, ""MMT"", MERIDIAN MEDICAL TECHNOLOGIES, INC., ""SIGA"", SIGA TECHNOLOGIES, INC.",Parties,"SIGA TECHNOLOGIES, INC. (""SIGA""); MERIDIAN MEDICAL TECHNOLOGIES, INC. (""MMT"")(""Party"" and collectively as the ""Parties"")"
"May 31, 2019",Agreement Date,05/31/2019,Effective Date,05/31/2019
"This Agreement becomes effective on the Effective Date and, unless earlier terminated as provided in this ARTICLE 11, shall continue until the five (5) year anniversary of the Effective Date (the ""Initial Term"").",Expiration Date,05/31/2024
"This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.",Renewal Term,successive 3 years,Notice Period To Terminate Renewal,90 days
"This Agreement and all disputes arising out of or related to this Agreement or any breach hereof are governed by and construed under the Laws of the State of New York, without giving effect to any choice of law principles that would require the application of the Laws of a different state.",Governing Law,New York
"During the Term, MMT shall not Commercialize in any manner any Competing Product in the Field in any country in the Territory; provided, however, the Parties hereby acknowledge that the restrictions set forth in this Section 2.3 shall not apply to any Affiliates of MMT (including Pfizer).",Non-Compete,Yes
"Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.",Exclusivity,Yes,License Grant,Yes
"The license granted by SIGA to MMT under this Section 2.1(a) will be exclusive even as to SIGA with respect to rights to Promote the Product in the Field in the Territory, except as set forth in Section 2.4 below.",Exclusivity,Yes
"As of the Effective Date, there are no rights with respect to the Product or the SIGA Trademarks in the Territory granted by SIGA, in each case, to any Person or entity other than MMT;",Exclusivity,Yes
"Notwithstanding any other provision of this Agreement, MMT may at any time terminate this Agreement on country-by-country basis, or in its entirety, upon [***] monthsÕ prior written notice to SIGA.",Termination For Convenience,Yes
"Notwithstanding the aforementioned requirement, before Promoter destroys any Safety Reports and associated source documents, or training records, it will notify SIGA of its intention to do so and afford SIGA the opportunity to retain such records if it so wishes.",ROFR/ROFO/ROFN,Yes
