Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MASTER FRANCHISE AGREEMENT,Document Name,MASTER FRANCHISE AGREEMENT
"Smaaash Entertainment Private Limited, ""Franchisor"", I-AM Capital Acquisition Company, ""Franchisee"", I-AM Capital Acquisition Company, ""Franchisor"", Smaaash Entertainment Private Limited",Parties,"Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")"
"20t h day of November, 2018",Agreement Date,11/20/2018,Effective Date,11/20/2018
"The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the ""Term"").",Expiration Date,perpetual
"The parties hereto have expressly agreed that this Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, applicable to contracts executed and fully to be performed therein, to the exclusion of any other applicable body of governing law.",Governing Law,New York
"Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.",Exclusivity,Yes,License Grant,Yes
"Except as provided in the next sentence, the license granted herein shall be exclusiv",Exclusivity,Yes
"""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement_ provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of FranchisorÕs entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.",Exclusivity,Yes
"Franchisee shall not do anything or suffer anything to be done which may adversely affect any rights of Franchisor in and to any Franchisor Property, or any registrations thereof or which, directly or indirectly, may reduce or dilute the value or distinctiveness of such Franchisor Property, in particular the Trademarks, or disparage or detract from FranchisorÕs reputation.",Non-Disparagement,Yes
"The Franchisee shall not be entitled to assign, transfer, encumber or dispose of any of its rights and or obligations under this Agreement, including to an affiliate, without the prior written consent of the Franchisor.",Anti-assignment,Yes
"Franchisee or the third party franchisee, as the case may be, shall be entitled to receive the revenue generated from each of the Smaaash Centres.",Revenue/Profit Sharing,Yes
"If third party franchisees are operating the Smaaash Centres, then the Franchisee shall be entitled to receive, (i) 5% (five percent) of the capital expenditure as agreed among the parties for the particular Smaaash Centre as sign -on fees or upfront advance, and (ii) 5% (five percent) fee or commission of the revenue generated by such third party franchisees from the Smaash Centres on an annual basis.",Revenue/Profit Sharing,Yes
Franchisee or third party sub Ðfranchisees shall be under an obligation to set up at least 6 (six) Smaaash Centres during the first Contract Year or any other time period as may be provided by Franchisor.,Minimum Commitment,Yes
"If Franchisee has obtained or obtains in the future, in any country, any right, title or interest in any Franchisor Property notwithstanding the previous sentence (including any colorable imitations, translations, or transliterations thereof), Franchisee will be deemed to have so acted as an agent and for the benefit of Franchisor for the limited purpose of obtaining such registrations and assigning them to Franchisor.",IP Ownership Assignment,Yes
"The rights granted herein include the limited license to use the Trademarks of the Franchisor (the details of which are morefully set out in Exhibit A), as set out in Section 3 of this Agreement, for the purposes of establishing and operating the Smaaash Centres in the Territory.",License Grant,Yes
"Subject to the terms of this Agreement (including all obligations to first obtain FranchisorÕs written approval), Franchisor hereby grants to Franchisee the right to use the Trademarks (the details of which are set out in Exhibit A to this Agreement) (including sub-licensing this right to third party franchisees with the approval of Franchisor), on a royalty-free basis, for the purpose of operating and promoting the Smaaash Centres in the Territory.",License Grant,Yes
"During the Term, Franchisor shall have the right to conduct audits of Franchisee with respect to the Smaaash Centres, and inspect the Smaaash Centres, after providing a written notice of 5 (five) days.",Audit Rights,Yes
"Franchisee shall be under an obligation to provide any information as may be requested by Franchisor with respect to the Smaaash Centres, including the books of accounts and other relevant documents or records maintained in relation to the Smaaash Centres.",Audit Rights,Yes
"During the Term, Franchisee shall maintain policies of insurance as may be requested by Franchisor, subject to applicable law, in relation to the Smaaash Centres.",Insurance,Yes
"Franchisee shall not challenge, directly or indirectly, FranchisorÕs interest in, or the validity of, any Franchisor Property, or any application for registration or trademark registration thereof or any rights of Franchisor therein.",Covenant Not To Sue,Yes
