Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MASTER FRANCHISE AGREEMENT,Document Name,MASTER FRANCHISE AGREEMENT
"Kiosk Concepts, Inc., ""we"", ""us"", ""our"", The Grilled Cheese Truck, Inc., ""you"", ""your"", ""Master Franchisee"", ""your"", ""you"", The Grilled Cheese Truck, Inc., ""our"", ""us"", ""we"", Kiosk Concepts, Inc.",Parties,"Kiosk Concepts Inc. (""we"", ""us"", ""our""); The Grilled Cheese Truck, Inc (""you"", ""your"", ""Master Franchisee"")"
"_____ day of __________________, 2015",Agreement Date,[]/[]/2015,Effective Date,[]/[]/2015
"The initial term of this Agreement shall commence upon the Effective Date and shall expire ten (10) years from the Effective Date, unless sooner terminated under the terms of this Agreement.",Expiration Date,[]/[]/2025
"You shall have the option to renew the term of this Agreement, on the terms and conditions set forth in this Agreement, for four (4) additional ten (10) year terms, upon written notice given by you to us not less than six (6) months nor more than twelve (12) months prior to the scheduled expiration date of the term then in effect, provided that each of the following conditions are satisfied:",Renewal Term,successive 10 years,Notice Period To Terminate Renewal,6-12 months
This Agreement shall be interpreted and construed under the laws of the State of New York.,Governing Law,New York
"In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation:   7.1.1 Divert or attempt to divert any business or customer of the Franchised Business or any Unit Franchisee anywhere, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with our Proprietary Marks or the System.   7.1.2 Employ or seek to employ any person who is at that time employed by us or by any other master franchisee or unit franchisee in the System, or otherwise directly or indirectly induce such person to leave his or her employment without our written consent.   7.1.3 Own, maintain, operate, engage in, or have any interest in any business which is the same as or similar to the Franchised Business, or any other business which performs any type of child tutoring services, anywhere.",Non-Compete,Yes,No-Solicit of Customers,Yes,No-Solicit of Employees,Yes
"We grant to you, upon the terms and conditions contained in this Agreement, the exclusive right to establish and operate a Franchised Business and a license to use the methods, procedures and products developed by us in the business of selling and servicing Unit Franchises in the territory described on Attachment A attached to this Agreement and incorporated into this Agreement by reference (the ""Master Territory"").",Exclusivity,Yes,License Grant,Yes
We will not grant other franchises nor establish our own Unit Franchises within the Master Territory during the term of this Agreement unless you do not meet the Minimum Development Quota.,Exclusivity,Yes
"You shall also purchase all computer-related services (including, without limitation, e-mail services) from suppliers (which may include us or our affiliate) that we may require and designate from time to time.",Exclusivity,Yes
"You shall require your Unit Franchisees in the Master Territory to purchase supplies and equipment used in the operation of its Unit Franchise business from only designated and approved suppliers to insure quality and uniformity and to take advantage of quantity purchasing discounts, if any.",Exclusivity,Yes
"In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation: Employ or seek to employ any person who is at that time employed by us or by any other master franchisee or unit franchisee in the System, or otherwise directly or indirectly induce such person to leave his or her employment without our written consent.",No-Solicit of Employees,Yes
"If, for any reason, this Agreement is not terminated pursuant to Section 10.1 and this Agreement is assumed, or assignment of the same to any person or entity who has made a bona fide offer to accept an assignment of this Agreement is contemplated pursuant to the United States Bankruptcy Code, then notice of such proposed assignment or assumption setting forth: (a) the name and address of the proposed assignee, and (b) all of the terms and conditions of the proposed assignment and assumption shall be given to us within twenty (20) days after receipt of such proposed assigneeÕs offer to accept assignment of this Agreement, and, in any event, within ten (10) days prior to the date application is made to a court of competent jurisdiction for authority and approval to enter into such assignment and assumption, and we shall thereupon have the prior right and option, to be exercised by notice given at any time prior to the effective date of such proposed assignment and assumption, to accept an assignment of this Agreement to us upon the same terms and conditions and for the same consideration, if any, as in the bona fide offer made by the proposed assignee, less any brokerage commissions which may be payable by you out of the consideration to be paid by such assignee for the assignment of this Agreement.",ROFR/ROFO/ROFN,Yes
"We reserve the right to deny the change, modification, adjustment or amendment and/or may recommend additional changes or modifications.",ROFR/ROFO/ROFN,Yes
"Accordingly, neither you nor any immediate or remote successor to any part of your interest in this Agreement, nor any individual, partnership, corporation, or other legal entity which directly or indirectly owns any interest in you shall not sell, encumber, assign, transfer, convey, pledge, merge, or give away any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business.",Change of Control,Yes
Any change in the control of you shall be deemed a transfer for purposes of this Agreement.,Change of Control,Yes
"If you are a partnership you shall: (a) furnish us with your partnership agreement as well as such other documents as we may reasonably request, and any amendments thereto; and (b) prepare and furnish to us a Schedule of Principals with a current list of all general and limited partners in you.",Change of Control,Yes
"You acknowledge and agree that the franchise granted to you hereunder is non-exclusive and is only for one (1) Master Territory; that you are not granted any area, market, or protected territorial rights other than as expressly provided in Section 1.1 of this Agreement; and that you shall not have the right to sublicense, sublease, subcontract or enter into any management agreement providing for the right to operate the Franchised Business or to use the System granted pursuant to this Agreement, except in the manner expressly provided for in Section 5.1 of this Agreement.",Anti-assignment,Yes
The rights granted to you hereunder do not include the right to sub-franchise others to sell franchises.,Anti-assignment,Yes
"You may not grant any such right to a Unit Franchisee, and Unit Franchisees shall not have the right to sub-franchise or sell Unit Franchises.",Anti-assignment,Yes
"If any purported assignment or transfer of any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business is made to any third party without our prior written consent, contrary to the terms of Section 12 of this Agreement.",Anti-assignment,Yes
"Accordingly, neither you nor any immediate or remote successor to any part of your interest in this Agreement, nor any individual, partnership, corporation, or other legal entity which directly or indirectly owns any interest in you shall not sell, encumber, assign, transfer, convey, pledge, merge, or give away any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business. Any change in the control of you shall be deemed a transfer for purposes of this Agreement.",Anti-assignment,Yes
"Any purported assignment or transfer shall be null and void and shall constitute a material breach of this Agreement, for which we may immediately terminate without opportunity to cure pursuant to Section 10.2.3 of this Agreement.",Anti-assignment,Yes
"Upon the death or permanent disability (mental or physical) of any person with an interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business, the executor, administrator, or personal representative of such person shall transfer such interest to a third party approved by us within twelve (12) months after such death or disability.",Anti-assignment,Yes
"In the case of transfer by devise or inheritance, however, if the heirs or beneficiaries of any such person are unable to meet the conditions of this Section 12, the executor, administrator, or personal representative of the decedent shall transfer the decedentÕs interest to another party approved by us within twelve (12) months, which disposition shall be subject to all the terms and conditions for transfers contained in this Agreement.",Anti-assignment,Yes
"You shall pay to us a royalty fee based on revenue generated by Unit Franchisees (the ""Unit Franchise Performance Royalty Fee"") equal to twenty-five percent (25%) of aggregate royalty fees paid to you by Unit Franchisees in the Master Territory pursuant to their Unit Franchise Agreements.",Revenue/Profit Sharing,Yes
"You shall pay to us a franchise sales royalty fee (the ""Franchise Sales Royalty Fee"") for each Unit Franchise you sell in the Master Territory as follows: twenty-five percent (25%) of the initial franchise fee collected from each Unit Franchisee upon execution of the Unit FranchiseeÕs Franchise Agreement (a ""Unit Franchise Agreement""); provided, however, that if you elect to discount or reduce an initial franchise fee for any reason, the Franchise Sales Royalty Fee shall be payable to us as if the full initial franchise fee had been paid.",Revenue/Profit Sharing,Yes
"Once you have units open and operating in the trade area where a National Account is located, we will remit to you 25% of the profits derived from the sales in that specific trade area.",Revenue/Profit Sharing,Yes
"In order to keep your exclusivity, you agree to purchase a minimum of the following:   $170,000.00 of soup from us in 2015 $1,600,00.00 of soup from us in 2016 $3,200,000.00 of soup from us in 2017 $5,000,000.00 of soup from us in 2018 and shall increase 10% each year thereafter.",Minimum Commitment,Yes
"In addition to The Original Soupman business you must own and continuously operate, you must sell and have open the minimum number of The Original Soupman businesses as set forth on Attachment E hereto (the ""Minimum Development Quota"") by the dates set forth on such Attachment.",Minimum Commitment,Yes
"If you do not meet the Minimum Development Quota, we may cancel your exclusive right to market and sell Unit Franchises in your Master Territory and may sell additional Master Franchises within your Master Territory, or we may begin operations of our own in your Master Territory, or we may terminate this Agreement.",Minimum Commitment,Yes
"You shall expend not less than $5,000 each month on such Solicitation Advertising.",Minimum Commitment,Yes
"You shall be in default under this Agreement, and we may, at our option, terminate this Agreement and all rights granted under this Agreement, without affording you any opportunity to cure the default, effective immediately upon receipt of notice by you upon the occurrence of any of the following events: If you fail to comply with the Minimum Development Quota.",Minimum Commitment,Yes
We will provide you or one of your principals and up to five (5) additional persons with a comprehensive initial training program and additional training programs from time to time.,Volume Restriction,Yes
"You acknowledge and agree that, in consideration for the right to use the System and our expertise in the field, if you, any of your employees or any Unit Franchisees in the Master Territory develop any new concept, process or improvement in the operation or promotion of the Franchised Business, you will promptly notify us and provide us with all necessary information concerning same, without any compensation to you, your employee or Unit Franchisee.",IP Ownership Assignment,Yes
"You acknowledge and agree that any such concept, process or improvement shall become our property and we may utilize or disclose such information to other master franchisees and unit franchisees as we determine to be appropriate.",IP Ownership Assignment,Yes
"You further acknowledge that the Intranet facility and all communications that are posted to it will become our property, free of any claims of privacy or privilege that you or any other person may assert.",IP Ownership Assignment,Yes
"You shall, at our option and request, and without any additional consideration, assign to us all rights to all e-mail addresses, URLs, domain names, Internet listings, and Internet accounts related to the Franchised Business following demand by us upon your misuse of the same and/or the termination or expiration of this Agreement.",IP Ownership Assignment,Yes
"If we establish an Intranet, you shall have the privilege to use the Intranet, subject to your strict compliance with the standards and specifications, protocols and restrictions that we may establish from time to time.",License Grant,Yes
"You further acknowledge and agree that we may inspect your Franchised Business and any Unit Franchise in the Master Territory to verify that your Franchised Business and/or such Unit Franchise is operating in compliance with our System, as it may be modified from time to time.",Audit Rights,Yes
"You shall, at your sole cost and expense, prepare and submit to us within one hundred twenty (120) days after each fiscal year end, a complete, audited financial statement for the preceding fiscal year prepared by an independent certified public accountant in accordance with generally accepted accounting principles.",Audit Rights,Yes
"Notwithstanding the foregoing, we reserve the right to inspect or examine your accounts, books, records and tax returns, at any reasonable time, with or without prior notice to you.",Audit Rights,Yes
"We shall have the right, at all reasonable times, to inspect the products and services on which the Proprietary Marks shall be used as we consider necessary to carry out the purposes of inspection as part of appropriate quality control.",Audit Rights,Yes
"Any and all claims and actions arising out of or relating to this Agreement, the relationship of you and us, or your operation of the Franchised Business, brought by any party hereto against the other, shall be commenced within two (2) years from the occurrence of the facts giving rise to such claim or action, or such claim or action shall be barred.",Cap on Liability,Yes
