Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
Affiliate Program / Premium Affiliate Management General Terms and Conditions,Document Name,Affiliate Program / Premium Affiliate Management General Terms and Conditions
(None identified),Parties,(None entered)
The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement.,Effective Date,(None entered)
"The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement., This Agreement is entered into for an unlimited period of time., The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement.",Expiration Date,perpetual
"Either party may cancel this Agreement at any time, with or without supplying a reason, through written notification or by making suitable settings in the respective Control Panel.",Notice Period To Terminate Renewal,(None entered),Termination For Convenience,Yes
"Even in case of agreements with foreign (non-German) Software Publishers and Affiliates, the law of the Federal Republic of Germany applies.",Governing Law,Germany
The Software Publisher and element 5 are authorized to revoke the license granted to the Affiliate at any time by written notice.,Termination For Convenience,Yes
"Instead of fixed compensation, the Affiliate receives result- dependent Advertising Cost Compensation (also known in the element 5 Control Panel as ""Commission"") in exchange for publishing the advertisements.",Revenue/Profit Sharing,Yes
The Advertising Cost Compensation depends on the actual sales generated by end users referred via the electronic advertisement (the Affiliate's link).,Revenue/Profit Sharing,Yes
"For each sale administered by element 5 of the Software under this Agreement, element 5 shall receive an additional service fee of 2% of the gross sales price (including taxes, shipping and handling, etc.) as well as the Advertising Cost Compensation defined in II. ¤ 6 (4) and in addition to VAT or sales tax (where applicable).",Revenue/Profit Sharing,Yes
"The percentage of the respective Advertising Cost Compensation shall be stipulated by the Software Publisher, but shall not exceed 50% of the effective gross sales price of the software.",Price Restrictions,Yes
"Upon activation of the Affiliate, the Software Publisher grants the Affiliate a non-exclusive, revocable right to use provided advertising material, notices and all further presentations (insofar as available - also known hereafter as ""Material"") only for the purpose of designating its Web site as a ""partner Web site"" and presenting the designated advertising Material.",License Grant,Yes
