Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
DISTRIBUTORSHIP AGREEMENT,Document Name,DISTRIBUTORSHIP AGREEMENT
"STAAR SURGICAL AG, ""STAAR"", ""Distributor"", ""STAAR"", STAAR SURGICAL AG",Parties,"STARAR SURGICAL AG (""STAAR""); Distributor (""Distributor"")"
____________,Agreement Date,(None entered),Effective Date,(None entered)
"The term of this Agreement shall commence on the Effective Date and terminate in _____________, on _____________, unless terminated earlier pursuant to the terms of this Agreement_ provided, however, that this Agreement may be renewed for successive one (1) year periods if STAAR and Distributor expressly agree in writing and in their sole discretion to renew this Agreement prior to the foregoing termination date or any successive renewal term.",Expiration Date,(None entered)
"The term of this Agreement shall commence on the Effective Date and terminate in _____________, on _____________, unless terminated earlier pursuant to the terms of this Agreement; provided, however, that this Agreement may be renewed for successive one (1) year periods if STAAR and Distributor expressly agree in writing and in their sole discretion to renew this Agreement prior to the foregoing termination date or any successive renewal term.",Renewal Term,successive 1 year
"This Agreement, which is in English, shall be governed by and construed in accordance with the laws of the State of California without regard to the conflicts of laws principles thereof.",Governing Law,California
"Distributor shall (a) procure the Products solely from STAAR (or its affiliates) and not (b) procure, manufacture, market or sell in the Territory any implantable medical devices that compete directly or indirectly with the Products, during the term of this Agreement.",Non-Compete,Yes
"In the event that Distributor terminates this Agreement, then for one year thereafter, Distributor shall not sell, promote, advertise or market in the Territory products which are competitive with the Products.",Non-Compete,Yes
"Subject to Section 8.3, DistributorÕs right to market, distribute and sell the Products in the Territory shall be exclusive.",Exclusivity,Yes
Refrain from making any claims or representations concerning the Products other than as set forth in the applicable specifications or labeling therefor and never disparage either STAAR or the Products.,Non-Disparagement,Yes
"Notwithstanding the provisions of Section 3 above, either party shall have the right to terminate this Agreement, without cause, upon no less than ninety (90) daysÕ prior written notice to the other party.",Termination For Convenience,Yes
"Distributor shall not have the right to appoint any subdistributors, subcontractors or other third parties to market, distribute or sell the Products.",Anti-assignment,Yes
"Neither party may, directly or indirectly (including in connection with a change of control transaction), transfer or assign this Agreement or any of the rights or obligations hereunder without the prior written consent of the other; provided that STAAR may assign any of its rights and delegate any of its obligations hereunder to its subsidiaries and affiliated companies or in connection with a sale or transfer of all or substantially all of its business to which this Agreement relates, whether by merger, sale of assets or otherwise, without DistributorÕs prior written consent.",Anti-assignment,Yes
Company may change the prices of the Products from time to time with thirty (30) days prior written notice to Distributor.,Price Restrictions,Yes
"During each Contract Year, as defined below, Distributor shall purchase from STAAR the minimum quantity of each Product that shall be mutually agreed between the parties in advance of the applicable Contract Year (""Minimum Product Quantities""). The Minimum Purchase Quantities for the Contract Year are as set forth on Exhibit B attached hereto.",Minimum Commitment,Yes
The Minimum Purchase Quantities for the Contract Year are as set forth on Exhibit B attached hereto.,Minimum Commitment,Yes
