Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT,Document Name,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT
"iShip.com, Inc., ""Company"", Mail                                                         ------- Boxes Etc. USA, Inc., ""MBE"", MAILBOXES ETC. USA, INC., ""MBE"", Mail                                                         ------- Boxes Etc. USA, Inc., ""Company"", iShip.com, Inc.",Parties,"iShip.com, Inc. (""Company""); Mail Boxes Etc. USA, Inc. (""MBE"")"
"April 27, 1999",Agreement Date,04/27/1999,Effective Date,04/27/1999
The initial term of this Agreement shall          ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.,Expiration Date,4/27/2004
"MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period., If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect., MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.",Renewal Term,successive 2 years
"This Agreement and all acts and transactions pursuant          ------------- hereto and the rights and obligations of the parties hereto shall be governed, construed and interpreted in accordance with the laws of the State of California, without giving effect to principles of conflicts of law.",Governing Law,California
"The Company shall not enter into any agreement or arrangement,      including without limitation any sale, license, service agreement,      co-branding agreement, co-marketing agreement or linking agreement with any      provider of manifesting or shipping services through non-carrier retail      shipping locations_ provided, however, that:                (A) the Company may provide listings of carrier drop-boxes or      carrier-owned counter drop-off locations specific to a particular carrier      (including, without limitation, locations within retail establishments) on      the Company Site, provided that such listings do not include retail      shipping locations, including UPS authorized shipping outlets, FedEx      authorized shipping centers and other commercial mail receiving agencies_      and                (B) the Company may enter into any such agreement or arrangement      so long as MBE is given advance written notice of such agreement or      arrangement and such agreement or arrangement prohibits the use of the      Manifest or any Company Technology to manifest or ship packages for retail      customers and provided further that Company terminates service to any such      entity that uses the Manifest or any Company Technology to serve retail      customers.",Exclusivity,Yes
MBE shall not enter into any agreement or arrangement with any      provider of an online or Internet-based manifest system other than the      Company.,Exclusivity,Yes
"The Company may, at its option, terminate the exclusivity      provisions set forth in this Section 3(d)  [Exclusivity] upon the occurrence of any of the      following events: (A) MBE ----------      *  Confidential treatment has been requested for the bracketed portion. The confidential redacted portion has been omitted and filed separately with the Securities and Exchange Commission.                                       -5-      and all MBE Centers together fail to ship at least [***]* packages                                                          ---      manifested by the Service in any period of three (3) full months commencing      on the earlier of (x) March 1, 2000, and (y) the use of the Service to      manifest packages by at least [***]* MBE Centers (other than any such                                     ---      failure which is directly caused by an event of force majeure (as set forth      in Section 18(e)  [Force Majeure] or by the failure of the Service to operate in accordance      with the Specifications or by the Company's breach of any of its      obligations hereunder), or (B) MBE ceases to own at least [***]* shares of Source: STAMPS.COM INC, 10-Q, 11/14/2000                                                                ---      common stock of the Company (calculated on an as-converted basis and as      adjusted for any stock split, stock dividend, recapitalization or similar      transaction).",Change of Control,Yes
"The Company may, at its option, terminate the exclusivity provisions set forth in this Section 3(d)  [Exclusivity] upon the occurrence of any of the following events: (B) MBE ceases to own at least [***]* shares of common stock of the Company (calculated on an as-converted basis and as adjusted for any stock split, stock dividend, recapitalization or similar transaction).",Change of Control,Yes
"Each party shall have the right to assign its rights,          ---------- obligations and privileges hereunder to an assignee in connection with any merger, acquisition or sale of all or substantially all of the business to which this Agreement relates.",Anti-assignment,Yes
