Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MARKETING AFFILIATE AGREEMENT,Document Name,MARKETING AFFILIATE AGREEMENT
"Equidata, Inc., ""Equidata"", National Credit Report.com, LLC, ""Marketing Affiliate"", National Credit Report.com, LLC, ""Equidata"", Equidata, Inc.",Parties,"Equidata, Inc. (""Equidata""); National Credit Report.com, LLC (""Marketing Affiliate"")"
1s t day of October 2008,Agreement Date,10/01/2008,Effective Date,10/01/2008
"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.",Expiration Date,10/01/2009,Renewal Term,Successive 1 year
This Agreement is governed by and construed in accordance with the laws of the State of Virginia.,Governing Law,Virginia
Marketing Affiliate shall not directly or indirectly solicit an existing business customer of  Equidata during the term and condition of this Agreement other than for joint marketing purposes.,No-Solicit of Customers,Yes
"Further, Marketing  Affiliate shall not market similar products from competing companies on any Web Site Landing Page containing the Equidata or Marketing Affiliate Web link as long as this Agreement is in effect.",No-Solicit of Customers,Yes
Notice will be given to Marketing Affiliate in writing  no less than 30 days prior to such increase taking affect.,Price Restrictions,Yes
"Equidata may audit, at EquidataÕs expense, the Marketing AffiliateÕs marketing, practices and activities for the  purpose of assuring compliance with this Agreement.",Audit Rights,Yes
Equidata reserves the right to site inspect Marketing AffiliateÕs  physical location of business at any time.,Audit Rights,Yes
"IN NO EVENT WILL  EQUIDATA BE LIABLE FOR ANY INDIRECT, EXEMPLARY, PUNITIVE, SPECIAL, OR CONSEQUENTIAL DAMAGES  INCLUDING WITHOUT LIMITATION LOST PROFITS OR OTHER ECONOMIC LOSS, LOST REIMBURSEMENTS, AND  LOST DATA, OR FOR ANY CLAIM BY ANY THIRD PARTY.",Cap on Liability,Yes
