Clause,Label 1,Label 1-Answer
JOINT VENTURE AGREEMENT,Document Name,JOINT VENTURE AGREEMENT
"Aizu Fujitsu Semiconductor Limited, ""AFSL"", Japan, Fujitsu Semiconductor Limited, ""FSL"", Transphorm, Inc., ""TPH"", collectively referred to as the ""Parties"" and individually, a ""Party"", ""TPH"", Transphorm, Inc., ""FSL"", Japan, Fujitsu Semiconductor Limited, ""AFSL"", Aizu Fujitsu Semiconductor Limited",Parties,"AizuFujitsu Semiconductor Limited (""AFSL""); Fujitsu Semiconductor Limited (""FSL""); Transphorm, Inc. (""TPH"")(""Parties"" and individually, a ""Party"")"
"this 23rd day of May, 2017",Agreement Date,05/23/2017
"""Effective Date"" means the date that the Initial Closing occurs.",Effective Date,(None entered)
"The English text of this Agreement shall control any interpretation of its provisions, and this Agreement and the legal relations among the Parties and the Company shall in all respects be interpreted, construed and governed by and in accordance with the laws of Japan.",Governing Law,Japan
"At TPHÕs sole option, TPH or TPH-A may purchase the GaN Equipment by completion of payment of the purchase price or depreciation cost for such equipment as set forth in Appendix 2.",ROFR/ROFO/ROFN,Yes
"If, after the Effective Date, TPH or TPH-A shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after written notice thereof (the ""Default Notice"") has been given by AFSL to TPH/TPH-A, then AFSL shall have the option of purchasing from TPH-A, and TPH-A shall be obligated to sell, all of the Shares then owned by TPH-A at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (´1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. AFSL shall provide written notice of its election (the ""Election Notice"") to purchase the Shares owned by TPH-A within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by TPH-A - 17-Confidential Execution Version shall take place within thirty (30) Business Days following the date of the Election Notice, or at such other time as the Parties may mutually agree. At such closing, AFSL shall deliver to TPH-A, by wire transfer, the full amount of the purchase price in Japanese Yen for such Shares as provided in this Section 7.5.1 against delivery by TPH-A of the following: (a) a sale agreement in form reasonably satisfactory to AFSL containing among other things, a representation and warranty of TPH-A that it is, and AFSL shall be, the beneficial owner of such Shares, with good title thereto, free and clear of all liens and other encumbrances_ (b) documentary evidence reasonably satisfactory to AFSL of the transfer to it of all of TPH-AÕs Shares and (c) resignations of all Directors, if any, on the Board appointed by TPH-A. Notwithstanding the remedies provided in this Section 7.5.1, AFSL/FSL shall be entitled to all other remedies against TPH/TPH-A available at law or equity or under this Agreement.",ROFR/ROFO/ROFN,Yes
"If, after the Effective Date, TPH or TPH-A shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after written notice thereof (the ""Default Notice"") has been given by AFSL to TPH/TPH-A, then AFSL shall have the option of purchasing from TPH-A, and TPH-A shall be obligated to sell, all of the Shares then owned by TPH-A at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (´1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. AFSL shall provide written notice of its election (the ""Election Notice"") to purchase the Shares owned by TPH-A within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by TPH-A shall take place within thirty (30) Business Days following the date of the Election Notice, or at such other time as the Parties may mutually agree. At such closing, AFSL shall deliver to TPH-A, by wire transfer, the full amount of the purchase price in Japanese Yen for such Shares as provided in this Section 7.5.1 against delivery by TPH-A of the following: (a) a sale agreement in form reasonably satisfactory to AFSL containing among other things, a representation and warranty of TPH-A that it is, and AFSL shall be, the beneficial owner of such Shares, with good title thereto, free and clear of all liens and other encumbrances_ (b) documentary evidence reasonably satisfactory to AFSL of the transfer to it of all of TPH-AÕs Shares and (c) resignations of all Directors, if any, on the Board appointed by TPH-A. Notwithstanding the remedies provided in this Section 7.5.1, AFSL/FSL shall be entitled to all other remedies against TPH/TPH-A available at law or equity or under this Agreement.",ROFR/ROFO/ROFN,Yes
"If, after the Effective Date, FSL or AFSL shall have materially breached any of its representations or warranties contained in this Agreement or shall have failed to comply in any material respect with any of the other covenants or agreements contained in this Agreement, which breach or failure shall not have been remedied within thirty (30) days after the Default Notice has been given by TPH-A to FSL/AFSL, then TPH-A shall have the option of purchasing from AFSL, and AFSL shall be obligated to sell, all of the Shares then owned by AFSL at a purchase price per Share equal to the lesser of: (i) the Net Book Value as of the most recent month end (provided that, if the Net Book Value is a negative amount, the product of the Net Book Value multiplied by such Sale Shares shall be deemed to be one Japanese Yen (´1)), or (ii) the Shares Purchase Price, divided by the number of Sale Shares. TPH-A shall provide the Election Notice to purchase the Shares owned by AFSL within ten (10) Business Days following the expiration of the thirty (30) day cure period set forth in the Default Notice. The closing of the purchase of the Shares owned by AFSL shall take place within thirty (30) Business Days following the date of the Election Notice, or at such other time as the Parties may mutually agree. At such closing, TPH-A shall deliver to AFSL, by wire transfer, the full amount of the purchase price in Japanese Yen for such Shares as provided in this Section 7.5.2 against delivery by AFSL of the following: (a) a sale agreement in form reasonably satisfactory to TPH-A containing among other things, a representation and warranty of AFSL that it is, and TPH-A shall be, the beneficial owner of such Shares, with good title thereto, free and clear of all liens and other encumbrances_ (b) documentary evidence reasonably satisfactory to TPH-A of the transfer to it of all of AFSLÕs Shares and (c) resignations of all Directors, if any, on the Board appointed by AFSL. Notwithstanding the remedies provided in this Section 7.5.2, TPH/TPH-A shall be entitled to all other remedies against FSL/AFSL available at law or equity or under this Agreement.",ROFR/ROFO/ROFN,Yes
"As longs as AFSL and FSL are not in material and continuing breach of this Agreement or the Ancillary Agreements, FSL or AFSL may trigger the option to sell the Put Shares to TPH-A or its designee (the ""Put Option"") by providing a written notice of the exercise of the Put Option (the ""Put Exercise Notice"") simultaneously to the Company, TPH and TPH-A, which notice states (i) such PartyÕs bona fide intention to exercise the Put Option, and (ii) the date on which such Party intends that the Put Closing Date occur.",ROFR/ROFO/ROFN,Yes
"FSL or AFSL may not exercise the Put Option for less than one hundred percent (100%) of the Shares held by both FSL and AFSL or any Affiliate of FSL or AFSL, as the case may be.",ROFR/ROFO/ROFN,Yes
FSL and AFSL may not exercise the Put Option prior to the Option Starting Date nor more than one hundred eighty (180) days after the Option Starting Date.,ROFR/ROFO/ROFN,Yes
"The purchase price for the Put Shares (the ""Put Option Price"") shall be the greater of (x) the amount in Japanese Yen equal to the Net Book Value as of the most recently completed month end prior to the Put Closing Date, minus the Net Book Value as of the most recently completed month end prior to the Effective Date, multiplied by the number of Put Shares, or (y) one Japanese Yen (´1).",ROFR/ROFO/ROFN,Yes
"Upon FSLÕs or AFSLÕs exercise of the Put Option, TPH-A shall be obliged to purchase or cause TPH-AÕs designees to purchase, and TPH shall be obliged to cause TPH-A or TPH-AÕs designees to purchase, the Put Shares in accordance with this Section 9.1. For the avoidance of doubt, the Put Option is the right of AFSL/FSL, and AFSL/FSL is not obliged to exercise the Put Option.",ROFR/ROFO/ROFN,Yes
"Completion of the sale and purchase of the Put Shares pursuant to the exercise of the Put Option by AFSL/FSL shall take place on the date specified in the Put Exercise Notice (which shall be a date after at least sixty (60) days from the date of the Put Exercise Notice) (the ""Put Closing Date"") and on which date: (i) TPH-A shall, or shall cause its designees to, and TPH shall cause TPH-A or TPH-AÕs designees to, pay to AFSL the Put Option Price for the Put Shares by way of a bank transfer to the bank account as separately designated by AFSL_ and (ii) in exchange for which, AFSL shall deliver to TPH-A or its designees duly executed a letter of request to enter in the shareholder register of the Company the information that is required to be registered with regard to the Put Shares_ and",ROFR/ROFO/ROFN,Yes
AFSL and TPH-A shall cause the Board to approve the share transfer of the Put Shares on or prior to the Put Closing Date.,ROFR/ROFO/ROFN,Yes
"As longs as TPH-A and TPH are not in material and continuing breach of this Agreement or the Ancillary Agreements, TPH-A or TPH may trigger the option to purchase the Call Shares (the ""Call Option"") by providing a written notice of the exercise of the Call Option (the ""Call Exercise Notice"") simultaneously to the Company, FSL and AFSL, which notice states (i) such PartyÕs bona fide intention to exercise the Call Option, and (ii) the date on which such Party intends that the Call Closing Date occur.",ROFR/ROFO/ROFN,Yes
"TPH or TPH-A may not exercise the Call Option for less than one hundred percent (100%) of the Shares held by both FSL and AFSL or any Affiliate of FSL or AFSL, as the case may be.",ROFR/ROFO/ROFN,Yes
TPH-A and TPH may not exercise the Call Option prior to the Option Starting Date nor more than one hundred eighty (180) days after the Option Starting Date.,ROFR/ROFO/ROFN,Yes
