Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING Agreement,Document Name,CO-BRANDING Agreement
"theglobe.com, Inc., ""theglobe"", The Boxlot Company, ""Boxlot"", The Boxlot Company, ""theglobe"", theglobe.com, Inc.",Parties,"theglobe.com, Inc. (""theglobe""); The Boxlot Company (""Boxlot"")"
"March ___, 1999",Agreement Date,03/[]/1999,Effective Date,03/[]/1999
"This Agreement will become effective on the Effective Date and will continue in effect for 2 years following the Launch Date.""Launch Date"" means the first date on which the Service is made publicly available.",Expiration Date,(None entered)
"This Agreement will be governed and construed in accordance with the laws of the State of New York without giving effect to conflict of laws principles. Both parties submit to personal jurisdiction in New York and further agree that any cause of action arising under this Agreement shall be brought in a court in New York City, NY.",Governing Law,New York
"All Users shall be treated at least as favorable in all respects (including without limitation with respect to pricing, quality of service, and customer support responsiveness) as Boxlot treats users of the Boxlot Site.",Most Favored Nation,Yes
"By providing written notice, theglobe may terminate this Agreement in its sole discretion if one of the following companies (or their subsidiaries) does an ""Ownership Change Event"": Lycos, Yahoo (including GeoCities, which shall be included even if their proposed merger does not occur), Xoom, Fortune City, Excite, Go Network (including Disney and Infoseek), Snap! (including NBC) and AOL.",Change of Control,Yes
"An ""Ownership Change Event"" means: (x) the acquisition of 50% or more of Boxlot's equity or voting interests; (y) a merger or consolidation of Boxlot; or (z) the sale, exchange or transfer of all or substantially all of Boxlot's assets related to the Service.",Change of Control,Yes
"Neither party may assign its rights or delegate its duties hereunder (except to an affiliated company, or to a successor in interest in the event of a merger, sale of assets of the business to which this Agreement is related, or consolidation) without the other party's prior written consent, and any purported attempt to do so is null and void.",Anti-assignment,Yes
theglobe shall pay Boxlot *** of Net Revenues.,Revenue/Profit Sharing,Yes
Boxlot shall retain *** of the transaction revenues      it generates from operation of the Service.,Revenue/Profit Sharing,Yes
theglobe shall provide a minimum of *** impressions per month of promotion for auctions on the Co-Branded Pages (including without limitation any of the foregoing).,Minimum Commitment,Yes
"theglobe may place up to 100 listings a month on the Boxlot Site (and all co-branded versions thereof) promoting products being sold by theglobe or its affiliates without having to pay any listing fee, closing value fee, transaction fee or other fee.",Volume Restriction,Yes
"If the Domain Name is deemed a combination mark, neither party shall use the Domain Name for any purpose except as expressly provided herein or attempt to register the Domain Name, and the parties will jointly cooperate on any enforcement action of infringement of the Domain Name.",Joint IP Ownership,Yes
theglobe hereby grants to Boxlot a nonexclusive license to use such code solely to permit theglobe or its designee to serve ads in connection with the Co-Branded Pages.,License Grant,Yes
"Boxlot hereby grants to theglobe a non-exclusive, worldwide license to use, reproduce, create derivative works of (only as necessary to build pages in a manner consistent with this Agreement), publicly display, publicly perform and digitally perform Boxlot Banners, and those elements of the Boxlot Content served from theglobe's servers (as denoted in Exhibit A), on theglobe Site or otherwise as reasonably appropriate to advertise and promote the Service and the Co-Branded Pages.",License Grant,Yes
"Subject to the approval process in Section 2, theglobe hereby grants to Boxlot a non-exclusive, worldwide license to use, reproduce, create derivative works of (only as necessary to build Co- Branded Pages), publicly display, publicly perform and digitally perform the Page Templates on Co-Branded Pages.",License Grant,Yes
"Boxlot hereby grants to theglobe a non-exclusive license to use the Boxlot Marks (including the Domain Name if applicable) to advertise Source: THEGLOBE COM INC, S-1/A, 5/3/1999and promote the Service.",License Grant,Yes
Boxlot hereby grants to theglobe a non-exclusive license to use the Boxlot Marks (including the Domain Name if applicable) to advertise and promote the Service.,License Grant,Yes
theglobe hereby grants to Boxlot a non-exclusive license to use theglobe Marks (including the Domain Name if applicable) on the Co-Branded Pages.,License Grant,Yes
"Once every 12 months, the party receiving payment or its designee may inspect such records to verify reports.",Audit Rights,Yes
"EXCEPT IN THE EVENT OF A CLAIM UNDER SECTION 10 OR FAILURE TO PAY UNDER SECTION 6, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.",Uncapped Liability,Yes
"EXCEPT IN THE EVENT OF A CLAIM UNDER SECTION 10 OR FAILURE TO PAY UNDER SECTION 6, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE                                         8   OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.",Uncapped Liability,Yes,Cap on Liability,Yes
"NEITHER PARTY SHALL BE LIABLE FOR LOST PROFITS OR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (HOWEVER ARISING, INCLUDING Source: THEGLOBE COM INC, S-1/A, 5/3/1999NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"NEITHER PARTY SHALL BE LIABLE FOR LOST PROFITS OR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"EXCEPT IN THE EVENT OF A CLAIM UNDER SECTION 10 OR FAILURE TO PAY UNDER SECTION 6, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE  OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.",Cap on Liability,Yes
