Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CHARTER AFFILIATE AFFILIATION AGREEMENT,Document Name,CHARTER AFFILIATE AFFILIATION AGREEMENT
"The TUBE Music Network, Inc., ""Network"", Tribune Broadcasting Company, ""Affiliate"", Tribune Broadcasting Company, ""Network"", The TUBE Music Network, Inc.",Parties,"The TUBE Music Network, Inc. (""Network""); Tribune Broadcasting Company (""Affiliate"")"
"6t h day of March, 2006",Agreement Date,03/06/2006,Effective Date,03/06/2006
"The ""Initial Term"" shall commence upon the Effective Date and shall expire on March 31, 2011.",Expiration Date,03/31/2011
"If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"")., If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions_ provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term., If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").",Renewal Term,"4 years, 6 months"
"If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").",Notice Period To Terminate Renewal,6 months
"The obligations of Affiliate and Network under this Agreement are subject to all applicable federal, state and local laws, rules and regulations, and this Agreement and all matters or issues collateral thereto shall be governed by the laws of the State of New York applicable to contracts to be entirely performed therein.",Governing Law,New York
"Affiliate agrees not to sell commercial time to or for the benefit of direct competitors of the Service (e.g., music video networks carried by MVPDs such as MTV, VH1 and Fuse)",Non-Compete,Yes
"If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions_ provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term.",Exclusivity,Yes
"Network hereby grants to Affiliate the exclusive right via Broadcast Television, and Affiliate hereby accepts such exclusive right and the obligation during the Term to broadcast the Service via Broadcast Television (i) over the transmission facilities of each Station identified on Exhibit A, which is licensed by the FCC to serve the community for each such Station (the ""Licensed Community""), for receipt by TV Households in the DMA in which the Licensed Community is located, as such DMA is identified on Exhibit A, and (ii) over the transmission facilities of any Acquired Station, except to the extent that, as of the date Affiliate notifies Network in writing of its binding agreement to acquire such Acquired Station, (A) another Broadcast Television station in the same DMA as the Acquired Station has exclusive rights to broadcast the Service, or (B) the Acquired Station is obligated to broadcast other material that precludes it from also carrying the Service",Exclusivity,Yes
Any existing agreement between or among Network and any one or more third parties applicable to such Station for the transmission of the Service shall terminate and cease to be effective upon its acquisition by Affiliate.,Exclusivity,Yes
"If condition (A) or (B) applies, the Acquired Station shall have no obligations hereunder, and Network shall have the right to license the transmission of the Service to another Broadcast Television station in such DMA, including on an exclusive basis.",Exclusivity,Yes
"Network retains the right at all times during the Term to discontinue its distribution of the Service in its entirety and to terminate this Agreement and all other affiliatesÕ agreements on at least ninety (90) daysÕ prior notice without any liability therefor to Affiliate, other than amounts payable hereunder which accrued prior to such termination, including amounts payable pursuant to Section 6(b) and Exhibit D.",Termination For Convenience,Yes
"In the event Network decides to offer any new television programming channels (the ""New Channels""), then Affiliate shall have ninety (90) calendar days from AffiliateÕs receipt of NetworkÕs comprehensive business plan for such New Channels to determine whether Affiliate desires to enter into an agreement with respect to the New Channels.",ROFR/ROFO/ROFN,Yes
"This Agreement shall be binding on the respective transferees and successors of the parties hereto, except that neither this Agreement nor either partyÕs rights or obligations hereunder shall be assigned or transferred by either party without the prior written consent of the other party.",Anti-assignment,Yes
"Except for the Local Advertising and advertising broadcast in Local Programming, Network shall have the exclusive right and authority to sell all of the advertising on the Service and shall share a portion of NetworkÕs Advertising Revenue generated from such sales with Affiliate in accordance with the terms of this Agreement.",Revenue/Profit Sharing,Yes
"In consideration of the terms and conditions set forth herein, Network shall pay Affiliate (i) the Affiliate Advertising Share, and (ii) the Affiliate Transactional Share, each as provided in Exhibit D.",Revenue/Profit Sharing,Yes
"Commencing with the calendar quarter beginning on April 1, 2006 and for each calendar quarter thereafter during the Term, Network shall pay to Affiliate the Affiliate Advertising Share.",Revenue/Profit Sharing,Yes
"For purposes hereof, the ""Affiliate Advertising Share"" shall be determined by multiplying fifteen percent (15%) of NetworkÕs Advertising Revenue for such calendar quarter by a fraction, the numerator of which is the total number of Digital Cable Subscriber Households in the DMA(s) of the Station(s) transmitting the Service pursuant to this Agreement, and the denominator of which is the total number of Digital Cable Subscriber Households in all of the DMAs in which Network has a broadcast television station affiliate that is transmitting the Service.",Revenue/Profit Sharing,Yes
"Commencing with the calendar quarter beginning on April 1, 2006 and for each calendar quarter thereafter during the Term, Network shall pay to Affiliate the Affiliate Transactional Share.",Revenue/Profit Sharing,Yes
"For purposes hereof, the ""Affiliate Transactional Share"" means fifteen percent (15%) of NetworkÕs Transactional Revenue for the pertinent calendar quarter.",Revenue/Profit Sharing,Yes
"Affiliate shall actively promote the Service consistent with its business judgment, including the broadcast by each Station transmitting the Service of an average of at least ten (10) thirty (30)-second promotional announcements per week for the Service (""Promotional Spots"") on the StationÕs Primary Feed, including the StationÕs analog signal for so long as the Station broadcasts an analog signal, on a run-of- station basis, commencing no later than the first air date of the Service on the applicable Station.",Minimum Commitment,Yes
"Each Station will provide Network with up to 5.0 mbps, but, at all times, not less than 2.0 mbps, for this purpose, except as required in infrequent and exceptional circumstances resulting from a StationÕs carriage of the primary television network with which such Station is affiliated with regard to its Primary Feed (e.g., ABC, CBS, NBC and Fox).",Volume Restriction,Yes
"Network hereby grants to Affiliate the exclusive right via Broadcast Television, and Affiliate hereby accepts such exclusive right and the obligation during the Term to broadcast the Service via Broadcast Television (i) over the transmission facilities of each Station identified on Exhibit A, which is licensed by the FCC to serve the community for each such Station (the ""Licensed Community""), for receipt by TV Households in the DMA in which the Licensed Community is located, as such DMA is identified on Exhibit A, and (ii) over the transmission facilities of any Acquired Station, except to the extent that, as of the date Affiliate notifies Network in writing of its binding agreement to acquire such Acquired Station, (A) another Broadcast Television station in the same DMA as the Acquired Station has exclusive rights to broadcast the Service, or (B) the Acquired Station is obligated to broadcast other material that precludes it from also carrying the Service.",License Grant,Yes,Affiliate License-Licensee,Yes
"Network hereby grants Affiliate during the Term a royalty-free, fully paid up, non-transferable, non-exclusive license to use the Marks (as defined in Section 8(e)) in any advertising and promotional materials undertaken in connection with AffiliateÕs transmission of the Service, provided that such use complies with the terms and conditions of Section 8(e).",License Grant,Yes,Non-Transferable License,Yes
"Except as expressly provided in Section 3(a), Affiliate shall not have the right (i) to subdistribute or otherwise sublicense the Service, or (ii) to transmit or otherwise distribute the Service by any technology (other than Broadcast Television), or on an interactive, time- delayed, ""video-on-demand"" or similar basis.",Non-Transferable License,Yes
"Except as expressly provided in Sections 3(a) and 3(b) and this Section 3(d), Network shall not have the right to distribute or otherwise license the Service for reception in a StationÕs DMA, including distributing the Service directly through an MVPD in a StationÕs DMA, other than through this license to Affiliate.",Non-Transferable License,Yes
"Upon not less than thirty (30) daysÕ prior written notice and not more than once in any calendar year, Affiliate shall have the right, at its sole cost and expense, during the Term and for one (1) year thereafter, to examine during normal business hours the books and records of Network for up to the prior calendar year and the then-current calendar year solely to the extent reasonably necessary to verify the Revenue Share Records.",Audit Rights,Yes
"NOTWITHSTANDING ANY OTHER PROVISION IN THIS AGREEMENT TO THE CONTRARY, NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES (INCLUDING LOSS OF PROFITS OF REVENUES, OR DAMAGES TO OR LOSS OF PERSONAL PROPERTY) IN ANY CAUSE OF ACTION ARISING OUT OF, RELATED TO, OR IN CONNECTION WITH A DEFAULT UNDER OR A BREACH OF THIS AGREEMENT.",Cap on Liability,Yes
"Network has procured, and shall maintain during the Term, at its sole expense, Commercial General Liability insurance at liability limits of not less than $1,000,000 each occurrence and $2,000,000 in the aggregate",Insurance,Yes
"Additionally, Network will procure on or before the Affiliate Launch Date, and shall maintain during the Term, at its sole expense, Errors and Omissions insurance that covers NetworkÕs media activities at a liability limit of $1,000,000 in any one (1) policy period.",Insurance,Yes
"Affiliate shall be named as an additional insured on the policies, and, prior to the Affiliate Launch Date, shall receive certificates evidencing such insurance, providing that such coverage will not be cancelled or materially changed except upon 30 daysÕ prior written notice to Affiliate.",Insurance,Yes
"Provided they do not infringe the marks of Affiliate or an affiliate of Affiliate, Affiliate shall not directly or indirectly question, attack, contest or in any other manner impugn the validity of the Marks or NetworkÕs rights in and to the Marks and shall reasonably cooperate with NetworkÕs quality control, monitoring and inspection of the use of the Marks.",Covenant Not To Sue,Yes
