Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
MANUFACTURING AND SUPPLY AGREEMENT,Document Name,MANUFACTURING AND SUPPLY AGREEMENT
"Pfizer Inc., ""Manufacturer"", Upjohn Inc., ""Customer"", Manufacturer and Customer may be referred to herein individually as a ""Party"" or collectively as the ""Parties""., ""Customer"", Upjohn Inc., ""Manufacturer"", Pfizer Inc.",Parties,"Pifzer Inc. (""Manufacturer""); Upjohn Inc. (""Customer"")(""Party"" or collectively as the ""Parties"")"
[_],Agreement Date,[]/[]/[][],Effective Date,[]/[]/[][]
"Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be., Unless otherwise provided in the applicable Facility Addendum, each Facility Addendum shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of the Facility Addendum), unless extended or terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7., Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be.",Expiration Date,(None entered)
"Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be., A Facility Addendum may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be, Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be.",Renewal Term,3 successive 1 year
"This Agreement and all Actions (whether in contract or tort) that may be based upon, arise out of or relate to this Agreement or the negotiation, execution or performance hereof or thereof shall be governed by and construed in accordance with the Law of the State of Delaware, without regard to any Laws or principles thereof that would result in the application of the Laws of any other jurisdiction.",Governing Law,Delaware
"""Exclusive Purchase Requirement"" means, on a Product SKU-by-Product SKU and country-by country basis within the applicable Territory, (a) in the first two (2) years of the Initial Term, one hundred percent (100%) of CustomerÕs total requirements for such Product SKU and (b) in the third (3rd) year of the Initial Term, fifty percent (50%) of CustomerÕs total requirements for such Product SKU; provided, however, that (x) such quantities of Product reasonably procured by Customer to qualify a back-up supplier for such Product shall be excluded from the Exclusive Purchase Requirement, and (y) for the avoidance of doubt, Customer may commercialize such quantities of Product procured under (x) above without violating the applicable Exclusive Purchase Requirement or related provisions in Section 2.1(e).",Exclusivity,Yes
"During the Exclusivity Period, on a Product SKU-by-Product SKU and country-by-country basis within the applicable Territory, Customer shall purchase from Manufacturer, in accordance with the terms and conditions of this Agreement, at least the Exclusive Purchase Requirement of its requirements for such Product SKU in such country; provided, however, that In-Flight or Shared Volume Products shall be excluded from the exclusivity requirements set forth in this Section 2.1(e)(i).",Exclusivity,Yes,Minimum Commitment,Yes
"Following the Exclusivity Period (and during the Exclusivity Period, with respect to Product SKU quantities in excess of the Exclusive Purchase Requirement in accordance with the preceding sentence), nothing in this Agreement shall prevent Customer or any of its Affiliates from manufacturing Product for itself, or having Product manufactured by a Third Party, including in amounts in addition to the Purchase Orders for Product issued to Manufacturer in accordance with this Agreement.",Exclusivity,Yes
"For clarity and notwithstanding anything contained herein, nothing in this Section 2.1(e)(i) (A) is intended to be inconsistent with Section 2.4(e)(i) or to otherwise indicate that Customer is subject to any requirement to purchase Product under this Agreement or (B) is intended to prevent Customer from qualifying a back-up supplier for any Product during the Exclusivity Period.",Exclusivity,Yes
"In the event of a Triggering Event, CustomerÕs Exclusive Purchase Requirement with respect to each and every Product that is the subject of the Triggering Event shall be temporarily suspended until such time as Manufacturer notifies Customer that Manufacturer is able to resume the manufacture and supply of the subject Product(s) on the terms and conditions of this Agreement (such period referred to as the ""Exclusive Purchase Requirement Suspension Period""); provided that, (i) during such Exclusive Purchase Requirement Suspension Period, Customer shall use commercially reasonable efforts to limit its orders for the subject Product(s) to the quantities specified in the last Forecast that preceded the Triggering Event for the applicable period(s) and promptly notify Manufacturer in the event and to the extent that CustomerÕs orders exceed such quantities specified in such Forecast and (ii) Customer shall be entitled to take delivery of Product(s) ordered during the Exclusive Purchase Requirement Suspension Period even if such delivery is scheduled for or actually occurs subsequent to the Exclusive Purchase Requirement Suspension Period.",Exclusivity,Yes
"In addition, Customer understands that, to ensure an orderly supply of the Product Materials, Manufacturer may elect to purchase the Product Materials in sufficient volumes to meet the production requirements for Products during part or all of the forecasted periods; provided, however, that Customer shall not have any liability with respect to any purchase by Manufacturer or any of its Affiliates of labeling or packaging materials (including labels, cartons and leaflets) in excess of the amount required to meet the Firm Order applicable at such time plus the amount of applicable Product forecasted to be ordered in months four (4) through six (6) of the Forecast applicable at such time.",Exclusivity,Yes
Manufacturer may terminate its obligation to provide any Technical Support with respect to the applicable Product under this Agreement if Customer or any of its Affiliates hires any Manufacturer Personnel involved in providing Technical Support to Customer hereunder (without limiting any applicable non-solicitation obligations of Customer pursuant to the Business Combination Agreement).,No-Solicit of Employees,Yes
"In the event that Manufacturer or any of its Affiliates, directly or indirectly, sells, assigns, leases, conveys, transfers or otherwise disposes of any Facility (a ""Facility Disposition""), then Manufacturer shall immediately notify Customer of such event and Customer shall be entitled for a period of six (6) months after the receipt of such notice to terminate any Facility Addendum with respect to such Facility for cause immediately upon written notice to Manufacturer and, in the event Customer decides not to terminate the Facility Addendum for cause, Customer shall be entitled for a period of two (2) years (or such longer period in order to obtain approval for manufacture from all applicable Governmental Authorities) after -50- Source: UPJOHN INC, 10-12G, 1/21/2020receipt of such notice to receive Technical Support at ManufacturerÕs sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.",Anti-assignment,Yes,Post-termination Services,Yes
"In the event that Manufacturer or any of its Affiliates, directly or indirectly, sells, assigns, leases, conveys, transfers or otherwise disposes of any Facility (a ""Facility Disposition""), then Manufacturer shall immediately notify Customer of such event and Customer shall be entitled for a period of six (6) months after the receipt of such notice to terminate any Facility Addendum with respect to such Facility for cause immediately upon written notice to Manufacturer and, in the event Customer decides not to terminate the Facility Addendum for cause, Customer shall be entitled for a period of two (2) years (or such longer period in order to obtain approval for manufacture from all applicable Governmental Authorities) receipt of such notice to receive Technical Support at ManufacturerÕs sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.",Anti-assignment,Yes
"Except as otherwise provided in this Section 17.5, neither Party shall assign this Agreement or any rights, benefits or obligations under or relating to this Agreement, in each case whether by operation of law or otherwise, without the other PartyÕs prior written consent (not to be unreasonably withheld, conditioned or delayed).",Anti-assignment,Yes
"Customer may, without ManufacturerÕs consent, assign the rights and obligations of this Agreement (i) on a Product-by-Product basis, to a Third Party in connection with a bona fide transfer, sale or divestiture of all or substantially all of its business to which such Product relates or in the event of such businessÕs spin-off, merger or consolidation with another company or business entity or (ii) to any Third Party which acquires or succeeds to all or substantially all of the assets of the business of Customer to which this Agreement and the Facility Addenda relate (including in connection with such businessÕs spin-off, merger or consolidation with another company or business entity).",Anti-assignment,Yes
"Subject to Section 7.4, Manufacturer may, without CustomerÕs consent, assign the rights and obligations of this Agreement (i) on a Facility-by-Facility basis, to a Third Party in connection with a bona fide transfer, sale or divestiture of such Facility or (ii) to any Third Party which acquires or succeeds to all or substantially all of the assets of the business of Manufacturer to which this Agreement and the Facility Addendum relates (including in connection with such businessÕs spin-off, merger or consolidation with another company or business entity).",Anti-assignment,Yes
"Notwithstanding anything to the contrary in this Agreement, neither Party may assign this Agreement in whole or in part to a Restricted Party.",Anti-assignment,Yes
Any attempted assignment that contravenes the terms of this Agreement shall be void ab initio and of no force or effect.,Anti-assignment,Yes
"Following the Initial Price Term, the Price of such Product may be adjusted only as set forth in Section 3.1(b) and Section 3.2.",Price Restrictions,Yes
"In the event that Customer elects to extend the Initial Term of the Agreement or of a Facility Addendum, the Price for each applicable Product in any Extension Period shall be one hundred percent (100%) of ManufacturerÕs Standard Product Materials Cost plus one hundred and ten percent (110%) of ManufacturerÕs Standard Conversion Cost of such Product, each for the initial Fiscal Year of the first Extension Period with respect to such Product.",Price Restrictions,Yes
"If such Standard Cost methodology change results in an increase of Facility Conversion Cost for Products manufactured for Customer of more than two percent (2%), then Manufacturer shall revert to the former methodology for purposes of the calculation of Price during such Fiscal Year.",Price Restrictions,Yes
"Subject to the remainder of this Section 3.2(b), on a Facility-by-Facility basis, if the Facility Conversion Costs of a Facility during any Fiscal Year following the first full Fiscal Year of the Term of the applicable Facility Addendum (such Fiscal Year, a ""Facility Conversion Cost Adjustment Fiscal Year"") are estimated to be (a) less than seventy-five percent (75%) of the Facility Conversion Costs for the Facility Conversion Cost Baseline Fiscal Year (as defined below) or (b) greater than one hundred and twenty-five percent (125%) of the Facility Conversion Costs for the Facility Conversion Cost Baseline Fiscal Year (clauses (a) and (b) referred to collectively as the ""Facility Conversion Cost Threshold""), when adjusted to reflect a constant volume between the Facility Conversion Cost Adjustment Fiscal Year and the Facility Conversion Cost Baseline Fiscal Year, then the Price for such Product will be updated beginning with such Facility Conversion Cost Adjustment Fiscal Year to reflect one hundred and ten percent (110%) of the increase or decrease in Facility Conversion Costs.",Price Restrictions,Yes
"In the event that Price is adjusted as a result of a change to Facility Conversion Cost under Section 3.2(b)(i), the Facility Conversion Cost Threshold for all remaining Fiscal Years in the Initial Term (or Extension Periods as appropriate) will be reduced such that if Facility Conversion Costs of a Facility during any Facility Conversion Cost Adjustment Fiscal Year are estimated to be (a) less -28- Source: UPJOHN INC, 10-12G, 1/21/2020than eighty percent (80%) of the Facility Conversion Costs for the Facility Conversion Cost Baseline Fiscal Year or (b) greater than one hundred and twenty percent (120%) of the Facility Conversion Costs for the Facility Conversion Cost Baseline Fiscal Year, then the Price for such Product will be updated beginning with such Facility Conversion Cost Adjustment Fiscal Year to reflect the full estimated amount of the increase or decrease in Conversion Cost",Price Restrictions,Yes
"Customer may not change the price of Buy-Sell -29- Source: UPJOHN INC, 10-12G, 1/21/2020materials during any Fiscal Year.",Price Restrictions,Yes
Customer may not change the price of Buy-Sell materials during any Fiscal Year.,Price Restrictions,Yes
"Notwithstanding Section 2.4(e)(i), Customer acknowledges and agrees that (A) each Purchase Order Customer places hereunder for Product that is either API or Bulk Drug Product shall be equal to, or a whole multiple of, the Batch Size for such applicable Product as set forth in the applicable Facility Addendum and (B) each Purchase Order that Customer places hereunder for Product that is Finished Product shall be equal to or greater than the Minimum Order Quantity for such applicable Product as set forth in the applicable Facility Addendum; provided that, where Customer places Purchase Orders under (B) above that exceed the applicable Minimum Order Quantity, Customer shall -17- Source: UPJOHN INC, 10-12G, 1/21/2020place such Purchase Orders for such excess quantities in Increments above the Minimum Order Quantity as specified in the applicable Facility Addendum.",Minimum Commitment,Yes
"Notwithstanding Section 2.4(e)(i), Customer acknowledges and agrees that (A) each Purchase Order Customer places hereunder for Product that is either API or Bulk Drug Product shall be equal to, or a whole multiple of, the Batch Size for such applicable Product as set forth in the applicable Facility Addendum and (B) each Purchase Order that Customer places hereunder for Product that is Finished Product shall be equal to or greater than the Minimum Order Quantity for such applicable Product as set forth in the applicable Facility Addendum_ provided that, where Customer places Purchase Orders under (B) above that exceed the applicable Minimum Order Quantity, Customer shall place such Purchase Orders for such excess quantities in Increments above the Minimum Order Quantity as specified in the applicable Facility Addendum.",Minimum Commitment,Yes
Customer shall be required to order pursuant to a Purchase Order at least the amount of Product set forth in the Firm Order for such Product in the applicable calendar month.,Minimum Commitment,Yes
Nothing in this Agreement shall require Manufacturer to provide more than 75 hours per calendar year per Product in connection with any Technical Support.,Volume Restriction,Yes
"Customer hereby grants to Manufacturer a non-exclusive license during the Term to use any Customer Property and Customer-Owned Improvements and Developments solely in connection with Manufacturer performing its obligations under this Agreement or the Facility Addendum in accordance with the terms hereof or thereof, as applicable.",License Grant,Yes
"""Customer Property"" means all Intellectual Property, together with all materials, data, writings and other property in any form whatsoever, which is (a) owned or controlled by Customer or its Affiliates as of and following the Effective Date and (b) provided to Manufacturer by or on behalf of Customer or its Personnel under this Agreement.",Affiliate License-Licensor,Yes
"Customer hereby grants to Manufacturer a non-exclusive license during the Term to use any Customer Property and Customer-Owned Improvements and Developments solely in connection with Manufacturer performing its obligations under this Agreement or the Facility Addendum in accordance with the terms hereof or thereof, as applicable",Affiliate License-Licensor,Yes
"Upon termination of this Agreement by Customer in whole or in part or upon the termination of any Facility Addendum, in each case, pursuant to Section 7.3, 7.4, 7.5 or 7.6, and on a terminated-Product-by-terminated-Product basis, at CustomerÕs option and pursuant to CustomerÕs instructions, Manufacturer shall provide Customer with sufficient inventory of such terminated Product to ensure business continuity according to then-current terms and pricing (subject to Section 3) until the earlier of: (i) CustomerÕs identification of, and securing of Regulatory Approval for, another supplier of such terminated Product or (ii) unless otherwise set forth in the applicable Facility Addendum as the ""Inventory Tail Period"" for such Product, a time period that reflects CustomerÕs reasonable needs of such Product as mutually agreed upon by the Parties in good faith.",Post-termination Services,Yes
"Upon termination or expiration of this Agreement in whole or in part or any Facility Addendum, if requested by Customer within ninety (90) days immediately following the effective date of such expiration or termination of this Agreement and pursuant to CustomerÕs reasonable request and instructions, Manufacturer shall use commercially reasonable efforts to, as applicable, make assignments or partial assignments of such material contracts, licenses, permits, and other material documents, as applicable, in each case subject to any restrictions on assignment, or as may otherwise be set forth in any Contract relating thereto.",Post-termination Services,Yes
"In the event of the expiration of this Agreement or termination of this Agreement in whole or in part (including the termination of any Facility Addendum) by Customer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer may, at its option within ninety (90) days immediately following the effective date of the expiration or termination of this Agreement, purchase any work in process and/or Product Materials that Manufacturer has purchased exclusively for Customer in accordance with this Agreement for the production of any terminated Product.",Post-termination Services,Yes
"In the event of the termination of this Agreement by Customer in accordance with Section 7.7 or the termination of this Agreement by Manufacturer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer shall purchase at cost all Product Materials purchased in accordance with CustomerÕs Purchase Orders and on reasonable reliance upon CustomerÕs Forecast; provided that Manufacturer uses its reasonable commercial efforts to exhaust existing stocks of such Product Materials prior to the date of -53- Source: UPJOHN INC, 10-12G, 1/21/2020termination.",Post-termination Services,Yes
"In the event of the termination of this Agreement by Customer in accordance with Section 7.7 or the termination of this Agreement by Manufacturer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer shall purchase at cost all Product Materials purchased in accordance with CustomerÕs Purchase Orders and on reasonable reliance upon CustomerÕs Forecast; provided that Manufacturer uses its reasonable commercial efforts to exhaust existing stocks of such Product Materials prior to the date of termination.",Post-termination Services,Yes
"In the event that Manufacturer or any of its Affiliates, directly or indirectly, sells, assigns, leases, conveys, transfers or otherwise disposes of any Facility (a ""Facility Disposition""), then Manufacturer shall immediately notify Customer of such event and Customer shall be entitled for a period of six (6) months after the receipt of such notice to terminate any Facility Addendum with respect to such Facility for cause immediately upon written notice to Manufacturer and, in the event Customer decides not to terminate the Facility Addendum for cause, Customer shall be entitled for a period of two (2) years (or such longer period in order to obtain approval for manufacture from all applicable Governmental Authorities) after receipt of such notice to receive Technical Support at ManufacturerÕs sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.",Post-termination Services,Yes
"Customer shall be entitled to review, upon reasonable prior written notice, all manufacturing Records relating to such samples, including all analytical procedures and cleaning validation relating to the equipment used in connection with the manufacture of the samples",Audit Rights,Yes
"Manufacturer shall obtain the right for Customer to audit, at CustomerÕs expense, any such Third-Party warehouse upon reasonable prior advance written notice and during normal business hours",Audit Rights,Yes
"Subject to the remainder of this Section 4.12, no more than once per calendar year, upon thirty (30) daysÕ advance written notice to Manufacturer, Customer may physically inspect or audit (consistent with Section 15.2) the Facilities under this Section 4.12; provided that Customer will use good faith efforts to choose dates of inspection or audit that do not unreasonably interfere with the operation of ManufacturerÕs business; provided, further, that Customer shall consider in good faith any alternative dates of inspection or audit proposed by Manufacturer within five (5) days of ManufacturerÕs receipt of such notice (it being understood that nothing in this Section 4.12 shall require Customer to accept any such proposed alternative dates of inspection or audit)",Audit Rights,Yes
"Notwithstanding the limits set forth in the -41- Source: UPJOHN INC, 10-12G, 1/21/2020foregoing sentence, Customer may more frequently conduct ""for cause"" physical inspections or audits of a Facility with five (5) daysÕ advance written notice to Manufacturer if Customer has reasonable cause to believe that an inspection or audit of such Facility is warranted because ManufacturerÕs activities with respect to such Facility are in breach of this Agreement, applicable Laws, the Quality Agreement or the applicable Facility Addendum.",Audit Rights,Yes
"Notwithstanding the limits set forth in the foregoing sentence, Customer may more frequently conduct ""for cause"" physical inspections or audits of a Facility with five (5) daysÕ advance written notice to Manufacturer if Customer has reasonable cause to believe that an inspection or audit of such Facility is warranted because ManufacturerÕs activities with respect to such Facility are in breach of this Agreement, applicable Laws, the Quality Agreement or the applicable Facility Addendum.",Audit Rights,Yes
"Any such inspection or audit shall include access to relevant Records (subject to the terms of Section 15.2) and Personnel and being present during, as applicable, start-up manufacturing operations, validation, cleaning, sampling, laboratory testing, warehouse receiving and storage, pack out and shipping.",Audit Rights,Yes
"Subject to the terms and conditions set forth herein, Customer may conduct, at its own expense, periodic quality audits, to ensure ManufacturerÕs compliance with the terms of this Agreement.",Audit Rights,Yes
Any Records or information accessed or otherwise obtained by Customer or its representatives during any such inspection or audit or any visit at any Facility shall be deemed ManufacturerÕs confidential and proprietary Information and each representative of Customer will be subject to non-use and other confidentiality obligations substantially comparable to those set forth herein for Customer.,Audit Rights,Yes
"Manufacturer will provide Customer with periodic access, upon reasonable notice, to any of its Facilities where it is performing under this Agreement, to its employees and Records and to any associated dormitories or lodging that Manufacturer provides to its employees, to permit Customer to determine ManufacturerÕs compliance with this Section 5.3.",Audit Rights,Yes
Customer may exercise its inspection rights under this Section 5.3(d) upon receipt of any information that would suggest to a reasonable Person that Manufacturer is not fulfilling its obligations under this Section 5.3.,Audit Rights,Yes
Manufacturer shall permit Customer (at CustomerÕs expense) to conduct reasonable annual reviews of the environmental and health and safety practices and performance of the Facilities with respect to the Products where ManufacturerÕs performance under this Agreement is occurring; provided that such review shall not include any invasive sampling at such Facilities and shall not unreasonably interfere with ManufacturerÕs operation of such Facilities.,Audit Rights,Yes
"In connection with such reviews, Manufacturer shall reasonably assist in the completion of an environmental health and safety survey of Manufacturer or the scheduling of an environmental health and safety audit of the Facility, as applicable, in each case with respect to the Products.",Audit Rights,Yes
"In addition, Customer may audit ManufacturerÕs Records and Facilities for the purpose of verifying that ManufacturerÕs procedures are in accordance with the C-TPAT security criteria, and Manufacturer shall provide Customer with access to ManufacturerÕs Records and Facilities reasonably necessary for the purpose of conducting such audit.",Audit Rights,Yes
"Customer or its representatives, including its external auditors, may audit such Records of Manufacturer, including all Records related to ManufacturerÕs compliance with applicable Laws, at any time during the Term of this Agreement or applicable Facility Addendum or the Record Retention Period, during normal business hours and upon reasonable advance written notice to Manufacturer (but in no event more than one (1) time per year except ""for cause"").",Audit Rights,Yes
Manufacturer shall make such Records readily available for such audit.,Audit Rights,Yes
Any Records or information accessed or otherwise obtained by Customer or its representatives in connection with any audit (including any audit pursuant to Section 3.4) shall be deemed ManufacturerÕs confidential and proprietary Information and each representative of Customer will be subject to non-use and other confidentiality obligations substantially comparable to those set forth herein for Customer.,Audit Rights,Yes
"Except in the event of (i) Third Party Claims subject to a PartyÕs indemnification obligations pursuant to Section 10.1, (ii) Third Party Claims subject to a PartyÕs indemnification obligations pursuant to Section 10.2, (iii) the gross negligence, fraud or willful misconduct of a Party or its Personnel, (iv) a PartyÕs willful breach of this Agreement, (v) a breach of Section 13 or (vi) customer liabilities pursuant to, and subject to the limitations set forth in, Section 2.5(e), neither PartyÕs aggregate liability to the other Party (or its Personnel that are indemnitees under Section 10.1 or Section 10.2, as applicable) under this Agreement for the initial twelve (12) month period immediately following the Effective Date, and for any twelve (12) month period thereafter during the Term, shall exceed, on a cumulative basis, the amount that is one and one half (11_2) times the aggregate amounts paid or payable pursuant to this Agreement in the preceding twelve (12) month period preceding the loss date by Customer to Manufacturer but solely with respect to the supply hereunder of Product (or Products) for which such corresponding liability arose (the ""Affected Products"") and not any other Products (or if, as of the time the liability arises, this Agreement has not been in effect for twelve (12) months, then the amounts paid or payable by Customer to Manufacturer hereunder during the period from the Effective Date until such time the liability arises, shall be annualized to a full twelve (12) months but solely with respect to the supply hereunder of the Affected Product(s) and not any other Products).",Uncapped Liability,Yes,Cap on Liability,Yes
