Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
AFFILIATE OFFICE AGREEMENT,Document Name,AFFILIATE OFFICE AGREEMENT
"NETWORK  1 FINANCIAL, INC., ""NETWORK  1"", Payment Data  Systems,  Inc., ""AFFILIATE"", Payment Data  Systems,  Inc., ""NETWORK  1"", NETWORK  1 FINANCIAL, INC.",Parties,"NETWORK  1 FINANCIAL, INC. (""NETWORK  1""); Payment Data  Systems,  Inc. (""AFFILIATE"")"
"________ day of ______________________, in the year ____________",Agreement Date,(None entered)
"The  term  (""Term"")  of  this Agreement shall be for one hundred eighty  days  (180)  from  the  date set forth below unless Network 1 or Visa or MasterCard  or Harris Bank doesn't approve Affiliate's ISO application, in which case,  the  Term  will  be  3 years.",Expiration Date,(None entered)
This Agreement will automatically renew for successive  one-year  terms  unless  terminated by either party by providing the other  with  30  days  written notice that this Agreement will not be renewed or Affiliate  enters  into  a  Processing  agreement  with  Network  1  and  an ISO Sponsorship  agreement  with  Harris  Bank  in  which  case  this Agreement will automatically  terminate  concurrent  with  the  execution  of  such agreements.,Renewal Term,successive 1 year,Notice Period To Terminate Renewal,30 days
"All  disputes  or  claims  by  Payment  Data  Systems hereunder  shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association., All disputes or claims by NETWORK 1  hereunder shall be resolved by arbitration in San Antonio, Texas, pursuant to the  rules  of  the  American  Arbitration  Association., All  disputes  or  claims  by  Payment  Data  Systems hereunder  shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association.",Governing Law,"Virginia, Texas"
"Affiliate shall not, without the express written consent of  Network  1: i.           Contact  or  otherwise  deal directly with, VISA, MasterCard or the Member  Bank_  or ii.     Make  any representations with respect to Network 1, VISA, MasterCard or the  Member  Bank_  or",Non-Compete,Yes
"Agreement  may  be  terminated prior to the conclusion of the  Term  by  giving  written  notice  of  termination: A.     By  either  party  as  a  result of default by the other party under this Agreement  and failure to cure said default within thirty (30) days after notice of  said  default  is  given. B.     By  either  party  in the event of insolvency, receivership, voluntary or involuntary  bankruptcy  or  an assignment for the benefit of creditors of or by the Affiliate other than in the ordinary course of business.  However, Affiliate may  pledge  or  otherwise  collateralize  assets  for  the  purpose of securing commercial  loans or lines of credit in the ordinary course of business provided that  such  pledge  is  subordinate  to an security interest associated with the Merchant  accounts  and/or  losses  from  such  accounts. C.     By  Affiliate  in  the event of any changes in the Affiliate's Fee (other than  direct  pass through increases related to Visa and MasterCard interchange, fees,  assessments  and  dues,  processor  communication costs, and other direct increases  including  terminal  hardware). D.     By Network 1, for cause. For purpose hereof_ ""cause"" shall consist of (i) fraud,  intentional  misrepresentation  or  negligence  by  Affiliate  or  any Contractor  located  by  Affiliate  in  compiling  or  providing any information submitted  to  or relied on by Network 1 to Network 1, whether or not such fraud or  misrepresentation  is based on a misstatement, omission, a substantive fact, or  data_  (ii)  intentional  violations  by  the Affiliate or any Contractor(s) located by Affiliate of any of the rules or regulations of VISA, MasterCard, the Member Bank or Network 1_ and (iii) the providing of vendor services or merchant services  by  Affiliate  or  Contractor(s)  located  by  Affiliate  which  are competitive  with  Network  1 or without the prior written consent of Network 1, contrary  to Section 1.01  [CONTRACTORS] and IV, violation of any clause of Network 1 Affiliate Office  Agreement  and  failure  to  cure  such  violation  within  30  days  of notification",Non-Compete,Yes
"Agreement  may  be  terminated prior to the conclusion of the  Term  by  giving  written  notice  of  termination: D.     By Network 1, for cause. For purpose hereof_ ""cause"" shall consist of (iii) the providing of vendor services or merchant services  by  Affiliate  or  Contractor(s)  located  by  Affiliate  which  are competitive  with  Network  1 or without the prior written consent of Network 1, contrary  to Section 1.01  [CONTRACTORS]",Non-Compete,Yes
All  such Contractors must process Merchant applications and transactions exclusively through Network 1.,Exclusivity,Yes
"Affiliate shall not, without the express written consent of  Network  1: i.           Contact  or  otherwise  deal directly with, VISA, MasterCard or the Member  Bank_  or ii.     Make  any representations with respect to Network 1, VISA, MasterCard or the  Member  Bank_  or iii.     Make  contact  with  or  contract  with  any vendor of Network 1 or its subsidiaries  including other Affiliate's, direct sponsored ISO/MSP's of Network 1/Member  Bank,  or  any merchants currently processing with Network 1 or Member Bank.",No-Solicit of Customers,Yes
"Additionally, upon termination of this contract for any  reason, all merchants recruited by Affiliate on behalf of Network 1 for any product  offered  through  Network  1,  Affiliate  shall  not approach, rewrite, pursue,  or  contract  with any current client for the purpose of obtaining said client as a new customer for Affiliate or any competing entity the Affiliate may be  in  contract  with.",No-Solicit of Customers,Yes
"If during the term of this Agreement for any renewal of this Agreement (the ""Right of First Refusal Period""), Affiliate shall receive (i) any Bona Fide Offer to purchase the revenue due Affiliate under this Agreement  or  Affiliate's company through an asset purchase or merger (in which case  Network  1  shall be subordinate to the Checkfree first refusal right), or (ii) a Bona Fide Offer to acquire or merge with or into Affiliate (in which case Network  1 shall be subordinate to the Checkfree first refusal right), Affiliate shall  immediately  give written notice (the ""Offer Notice"") to Network 1 of the terms  and  conditions  of the Bona Fide Offer, including without limitation the price.",ROFR/ROFO/ROFN,Yes
Network  1  shall  have the exclusive right of first refusal to purchase all  or  any part of the revenue due Affiliate or acquire Affiliate (as the case may  be)  on the same terms and conditions as the Bona Fide Offer.,ROFR/ROFO/ROFN,Yes
This  agreement  may  not  be assigned or delegated by Affiliate without  prior  written  consent  from  Network  1.,Anti-assignment,Yes
"In  the  event  that this contract between Network 1 and Affiliate is terminated for any reason, the Contractors located by Affiliate  shall  remain  Contractors  of  Network  1.",Post-termination Services,Yes
Network  1  shall  have  the right to inspect the Local Offices  during  normal business hours to insure compliance by Affiliate with is obligations  pursuant  to  Section  1.02  [LOCAL OFFICE (AFFILIATE OFFICE)].,Audit Rights,Yes
"The amount of the Exit Fee during and following the termination of this Agreement shall be defined as  the  following:  (1)  the aggregate sum, per transferring merchant, equal to eighteen  (18) months net recurring revenue normally paid to Affiliate under the compensation  terms  of  this  Agreement  to  a  maximum  of  $250,000.",Liquidated Damages,Yes
