Clause,Label 1,Label 1-Answer
"TRANSFER AND SERVICING AGREEMENT, d",Document Name,"TRANSFER AND SERVICING AGREEMENT, d"
"VERIZON OWNER TRUST 2020-A, ""Issuer"", VERIZON ABS LLC, ""Depositor"", Cellco Partnership d/b/a Verizon Wireless, ""Cellco"", ""Servicer"", ""Marketing Agent"", ""Custodian"", ""Marketing Agent"", ""Servicer"", ""Cellco"", Cellco Partnership d/b/a Verizon Wireless, ""Depositor"", VERIZON ABS LLC, ""Issuer"", VERIZON OWNER TRUST 2020-A",Parties,"VERIZON OWNER TRUST (""Issuer""); VERIZON ABS LLC (""Depositor""); Cellco Partnership d/b/a Verizon Wireless (""Cellco"", ""Servicer"", ""Marketing Agent"", ""Custodian"")"
"January 29, 2020",Agreement Date,01/29/2020
"CellcoÕs appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f)., This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement., CellcoÕs appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).",Expiration Date,(None entered)
"THIS AGREEMENT, INCLUDING THE RIGHTS AND DUTIES OF THE PARTIES HERETO, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE INTERNAL LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, BUT WITHOUT REGARD TO ANY OTHERWISE APPLICABLE CONFLICTS OF LAW PRINCIPLES).",Governing Law,New York
"Within fifteen (15) Business Days after the merger, consolidation, succession or assignment, such Person will (i) execute an agreement to assume the DepositorÕs obligations under this Agreement and each Transaction Document to which the Depositor is a party (unless the assumption happens by operation of Law), (ii) deliver to the Issuer, the Owner Trustee and the Indenture Trustee an OfficerÕs Certificate and an Opinion of Counsel each stating that the merger, consolidation, succession or assignment and the assumption agreement comply with this Section 5.3, (iii) deliver to the Issuer, the Owner Trustee and the Indenture Trustee an Opinion of Counsel stating that the security interest in favor of the Issuer in the Depositor Transferred Property and the Indenture Trustee in the Collateral is or will be perfected and (iv) notify the Rating Agencies of the merger, consolidation, succession or assignment.",Change of Control,Yes
"Within fifteen (15) Business Days after the merger, consolidation, succession or assignment, such Person will (i) execute an agreement to assume the ServicerÕs obligations under this Agreement and each Transaction Document to which the Servicer is a party (unless the assumption happens by operation of Law), (ii) deliver to the Issuer, the Owner Trustee and the Indenture Trustee an OfficerÕs Certificate and an Opinion of Counsel each stating that the merger, consolidation, succession or assignment and the assumption agreement comply with this Section 7.6 and (iii) notify the Rating Agencies of the merger, consolidation, succession or assignment.",Change of Control,Yes
"Except as stated in Sections 5.3, 7.4 and 7.6, this Agreement may not be assigned by the Depositor or the Servicer without the consent of the Owner Trustee, the Indenture Trustee, the Certificateholders and the Noteholders of at least 66-2/3% of the Note Balance of the Controlling Class.",Anti-assignment,Yes
"As compensation for performing its obligations under this Agreement, the Servicer will be paid the Servicing Fee.",Revenue/Profit Sharing,Yes
"""Servicing Fee"" means, for a Collection Period, the fee payable to the Servicer in an amount equal to the product of: (a) one-twelfth of the Servicing Fee Rate_ times (b) the Adjusted Pool Balance at the beginning of the full calendar month immediately preceding such Payment Date_ provided, that the Servicing Fee for the initial Payment Date will equal the product of (i) a fraction, the numerator of which is the number of days from and including the Closing Date to and including the last day of the first Collection Period and the denominator of which is 360, and (ii) the Servicing Fee Rate times the Adjusted Pool Balance as of the Closing Date.",Revenue/Profit Sharing,Yes
"Except for the transfer and assignment under this Agreement, the Depositor will not transfer or assign any Depositor Transferred Property to another Person or Grant or allow a Lien, other than a Permitted Lien, on an interest in any Depositor Transferred Property.",Non-Transferable License,Yes
"If the Servicer resigns under Section 7.1, it will continue to perform its obligations as Servicer under this Agreement until the earlier to occur of (a) a Successor Servicer accepting its engagement as Servicer under Section 7.4 or (b) the date the Servicer is legally unable to act as Servicer.",Post-termination Services,Yes
"On its resignation or termination, the Servicer will cooperate with the Issuer, the Owner Trustee, the Indenture Trustee and the Successor Servicer in effecting (i) the termination of its rights and obligations under this Agreement and (ii) an orderly transition of such rights and obligations to the Successor Servicer.",Post-termination Services,Yes
"Upon reasonable request not more than once during any calendar year, and with reasonable notice, the Servicer will give the Issuer, the Depositor, the Parent Support Provider, the Administrator, the Owner Trustee and the Indenture Trustee (or their representatives) access to the records and documents to conduct a review of the ServicerÕs performance under this Agreement.",Audit Rights,Yes
"The Custodian will give the Servicer access to the Receivable Files and, on request of the Servicer, the Custodian will promptly release any document in the Receivable Files to the Servicer for purposes of servicing the Receivables.",Audit Rights,Yes
"The Custodian will give the Depositor, the Issuer and the Indenture Trustee access to the Receivable Files and the receivables systems to conduct a review of the Receivables.",Audit Rights,Yes
