Clause,Label 1,Label 1-Answer
Mobile Application Development Agreement,Document Name,Mobile Application Development Agreement
"VGrab Asia Ltd., ""VAL"", Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie, ""VAL"", VGrab Asia Ltd.",Parties,"VGrab Asia Ltd. (""VAL""); Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie (""Developer"")"
"5th Day of March, 2019",Agreement Date,03/05/2019
This Agreement shall commence on 5th March 2019,Effective Date,03/05/2019
"This Agreement will be for the maximum period of six (6) months beginning for the commencement date, renewable in accordance with the terms hereof, unless earlier terminated pursuant to this Agreement., This Agreement commences on the date it is executed and shall continue until full performance by both parties, or until earlier terminated by one party under the terms of this Agreement., This Agreement will be for the maximum period of six (6) months beginning for the commencement date, renewable in accordance with the terms hereof, unless earlier terminated pursuant to this Agreement.",Expiration Date,09/05/2019; perpetual
"This agreement shall be construed, interpreted and governed by and in accordance with the laws of Hong Kong.",Governing Law,Hong Kong
Developer may also terminate this Agreement by giving two (2) weeksÕ notice in writing to VAL.,Termination For Convenience,Yes
"All Intellectual Property during the project is owned by VAL, and will be turned over to VAL at the conclusion of the project by Developer and after the fulfillment of all commercial obligations by the VAL.",IP Ownership Assignment,Yes
All rights and title to Duesey Coffee Intellectual Property created pursuant to the Project shall belong to VAL and shall be subject to the terms and conditions of this Agreement.,IP Ownership Assignment,Yes
"Change Orders do not however cover any bug or glitch fixing produced out of the code written by Developer as any ""bug"" will be fixed by Developer for free up to 3 months after final delivery (Bug Fixing Warranty).",Warranty Duration,Yes
