Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,Document Name,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES
"The Johns Hopkins University, ""JHU"", Virtuoso Surgical, Inc., ""Company"", Virtuoso Surgical, Inc., ""JHU"", The Johns Hopkins University",Parties,"The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")"
"May 3, 2016",Agreement Date,05/03/2016
"EFFECTIVE DATE"" of this Agreement shall mean the date the last party hereto has executed this Agreement., 5/11/2016, EFFECTIVE DATE"" of this Agreement shall mean the date the last party hereto has executed this Agreement.",Effective Date,05/11/2016
"This term of this Agreement shall commence on the EFFECTIVE DATE and shall continue, in each country, until the date of expiration of the last to expire patent within PATENT RIGHT(S) in that country.",Expiration Date,(None entered)
"This Agreement shall be construed, and legal relations between the parties hereto shall be determined, in accordance with the laws of the State of Maryland applicable to contracts solely executed and wholly to be performed within the State of Maryland without giving effect to the principles of conflicts of laws.",Governing Law,Maryland
"Non-Arms Length Transactions: In order to insure JHU the full royalty payments contemplated hereunder, the Company agrees that in the event any LICENSED PRODUCT(S) shall be sold to an affiliated company or to a corporation, firm or association with which Company shall have any agreement, understanding or arrangement with respect to consideration (such as, among other things, an option to purchase stock or actual stock ownership, or an arrangement involving division of profits or special rebates or allowances) the royalties to be paid hereunder for such LICENSED PRODUCT(S) shall be based upon the greater of: 1) the net selling price at which the purchaser of LICENSED PRODUCT(S) resells such product to the end user, 2) the NET SERVICE REVENUE received from using the LICENSED PRODUCT(S) in providing a service, 3) the fair market value of the LICENSED PRODUCT(S) or 4) the net selling price of LICENSED PRODUCT(S) paid by the purchaser.",Most Favored Nation,Yes
"Company may terminate this Agreement and the license granted herein, for any reason, upon giving JHU sixty (60) days written notice under Paragraph 8.1.",Termination For Convenience,Yes
"COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event.",Change of Control,Yes,Liquidated Damages,Yes
"uch fee shall be paid after only the first to occur of either a Liquidation Event or an Initial Public Offering. The respective fees, when and if payable, shall be paid upon closing; except that if there are additional contingent amounts (""Trailing Consideration"") payable upon the occurrence of subsequent events, then the Trailing Consideration shall be due and payable to JHU within thirty (30) days after receipt thereof by COMPANY.",Change of Control,Yes
"For a Liquidity Event, the fee required under Section 4.1 of this Exhibit A above shall be payable to JHU by COMPANY in the same form as the proceeds paid or payable to either COMPANY or its security holders, whether in cash, securities or other property, and in the same proportion as such form of consideration is paid or payable to COMPANY or its security holders.",Change of Control,Yes
