Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
SERVICES AND HOSTING AGREEMENT,Document Name,SERVICES AND HOSTING AGREEMENT
"VITALIBIS INC, -Licensee"", VOTOCAST, Inc., ""VOTOCAST, VOTOCAST, Inc., -Licensee"", VITALIBIS INC",Parties,"VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")"
3-14-18,Agreement Date,03/14/2018
The Effective Date of this Agreement shall be the later of the dates shown by the signatures below.,Effective Date,03/14/2018
"This Agreement shall commence as of the Effective Date and shall continue in effect for one (I) year, unless earlier terminated as expressly provided in Sections 1.3. 10.1. or 10.2 of this Agreement (the *Initial Term"")",Expiration Date,03/14/2019
"This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.",Renewal Term,Successive 1 year,Notice Period To Terminate Renewal,180 days
This Agreement shall be governed by the laws of the State of California without giving effect to conflict or choice of law principles.,Governing Law,California
"Each Party agrees that during the term of this Agreement and for a period of twelve (12) consecutive months thereafter they shall not, directly, solicit, engage, compensate, induce in any way or hire for employment or other representation, any officer, employee, consultant or other representative employed or retained by the other Party or assist any other person or entity to do any of the foregoing.",No-Solicit of Employees,Yes
"Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation.",Termination For Convenience,Yes
Neither Party may assign this Agreement or otherwise transfer in any way any of the rights and obligations arising out of this Agreement without the prior written consent of the other Party.,Anti-assignment,Yes
"Any attempted assignment or delegation without such prior written consent, except as expressly set forth herein, will be void, or at the non-assigning Party's sole discretion, may be treated as fully binding upon and in force and effect against any such successor or assign.",Anti-assignment,Yes
VOTOCAST expressly reserves the right to change its rates charged hereunder for the Services during any Renewal Term (as detined herein) but agrees that rates may not increase by more than ten percent (10%) during any Renewal Term.,Price Restrictions,Yes
"If circumstances require VOTOCAST to raise its rates more than ten percent (10%) during any Renewal Term, VOTOCAST will provide Licensee cost related supporting documentation to justify the rate increase.",Price Restrictions,Yes
VOTOCAST will give Licensee at least thirty (30) days prior written notice of any rate changes during any Renewal Term.,Price Restrictions,Yes
"To the extent, if any, that ownership of the VOTOCAST Materials does not automatically vest in VOTOCAST by virtue of this Agreement or otherwise, Licensee hereby transfers and assigns to VOTOCAST all rights, title and interest which Licensee may have in and to the VOTOCAST Materials.",IP Ownership Assignment,Yes
"Under the terms and conditions of this Agreement, VOTOCAST hereby grants to Licensee a nonexclusive, nontransferable license, to access the Services and provide Licensee's users (""Licensee Users"") with access to the Services",License Grant,Yes
