Clause,Label 1,Label 1-Answer
NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER,Document Name,NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER
"GLAMIS GOLD LTD., ""Glam is"", WESTERN COPPER CORPORATION, ""Western Copper"", Bach of the parties hereto agree that all of their covenants, agreements and obligations hereunder shall extend to and be binding upon and may be enforced against any and  all of their respective subsidiaries and other Affiliates, as well as against the parties themselves,  as the case may be, and that the names of Glamis and Western Copper will herein be deemed to  refer collectively to Glamis and all of its subsidiaries and other Affiliates and to Western Copper  and all of its subsidiaries and other Affiliates, respectively., ""Western Copper"", WESTERN COPPER CORPORATION, ""Glam is"", GLAMIS GOLD LTD.",Parties,"Glamis Gold Ltd. (""Glamis""); Western Copper Corporation (""Western Copper""); names of Glamis and Western Copper will herein be deemed to  refer collectively to Glamis and all of its subsidiaries and other Affiliates and to Western Copper  and all of its subsidiaries and other Affiliates, respectively"
"May 3,2006",Agreement Date,05/03/2006
"Effective Date means May 3, 200ri or such later date as determined under the  Arrangement Agreement,",Effective Date,05/03/2006
"4.8 This Agreement will be governed exclusively by and construed in accordance  with the laws of the Province of British Columbia, and the parties attorn to the exclusive  jurisdiction of the Courts of British Columbia.",Governing Law,British Columbia
"Western Copper covenants and agrees with Glamis that, for a period of 2 years after the Effective Date, it will not, directly or indirectly, either individually or in partnership or  jointly or in conjunction with any Person, which will include being a principal, agent,  shareholder, or advisor of such Person or in any other manner whatsoever, (a) carry on or be engaged in Mining Activities, or i 162967.3-4- (b) advise, lend money to, guarantee the debts or obligations of or permit its name to  be used by any Person who carries on or is engaged in Mining Activities, in the Area of Non-Competition.",Non-Compete,Yes
"Western Copper covenants and agrees with Glamis that, for a period of 2 years after the Effective Date, it will not, directly or indirectly, either individually or in partnership or  jointly or in conjunction with any Person, which will include being a principal, agent,  shareholder, or advisor of such Person or in any other manner whatsoever, (a) carry on or be engaged in Mining Activities, or (b) advise, lend money to, guarantee the debts or obligations of or permit its name to  be used by any Person who carries on or is engaged in Mining Activities, in the Area of Non-Competition.",Non-Compete,Yes
"Glamis covenants and agrees with Western Copper that if at any time it intends to dispose of a Designated Mineral Property for cash consideration or by abandonment, it will give  Western Copper notice (the Ô Disposition Notice"") of the intended disposition.",ROFR/ROFO/ROFN,Yes
"For a period of  30 days from the time of delivery of the Disposition Notice Glamis will, if requested by Western  Silver, entertain an offer from Western Copper to acquire the Designated Mineral Property. In  the ease of a Designated Mineral Property that Glamis intends to dispose of for cash  consideration, the parties will negotiate in good faith to reach a mutually agreeable agreement for  the sale to Western Copper of the [Designated Mineral Property.",ROFR/ROFO/ROFN,Yes
"If Glamis and Western Copper  are unable to negotiate an acceptable agreement with respect to the Designated Mineral Property  within the 30 day period, Glamis may thereafter dispose of the Designated Mineral Property as it  sees til in its absolute discretion.",ROFR/ROFO/ROFN,Yes
"If Glamis does not dispose of the Designated Mineral Property  within a period of 3 months from the first to occur of the date that Glamis and Western Copper  acknowledge failure to negotiate an acceptable agreement with respect to the Designated Mineral  Property and the end of the 30 day period, the provisions of this section 2.2 will once again apply  to any intended disposition of the Designated Mineral Property by Glamis.",ROFR/ROFO/ROFN,Yes
"In the case of a  Designated Mineral Property that Glamis intends to abandon, Glamis wall, if requested by  Western Copper, transfer such Designated Mineral Property to Western Copper at no cost save  and except for the reasonable costs of transfer incurred by Glamis.",ROFR/ROFO/ROFN,Yes
