Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,EXCLUSIVE DISTRIBUTOR AGREEMENT
"WATER NOW, INC., ""Water Now"", Hydraspin USA, Inc., the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin""), BESTEV MANAGEMENT, LLC, ""Distributor"", Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties."", ""Distributor"", BESTEV MANAGEMENT, LLC, the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin""), Hydraspin USA, Inc., ""Water Now"", WATER NOW, INC.",Parties,"WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (""Party"" and collectively as the ""Parties."")"
"12th day of November, 2019",Agreement Date,11/12/2019,Effective Date,11/12/2019
"The initial term of this Agreement shall commence on the Effective Date and end on the five (5) year anniversary of the Effective Date (the ""Initial Term""), unless sooner terminated pursuant to the terms hereo",Expiration Date,11/12/2024
"Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.",Renewal Term,successive 5 year,Notice Period To Terminate Renewal,120 days
"THIS AGREEMENT, AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES, SHALL BE GOVERNED BY AND CONSTRUED AND ENFORCED IN ACCORDANCE WITH THE SUBSTANTIVE LAWS OF THE STATE OF TEXAS, U.S.A. WITHOUT REGARD TO ITS PRINCIPLES OF CONFLICTS OF LAWS.",Governing Law,Texas
"Hydraspin hereby appoints Distributor, and Distributor hereby accepts appointment, as HydraspinÕs exclusive distributor of the Products in the Territory during the term of this Agreement, subject to the terms and conditions of this Agreement, including, but not limited to, the satisfaction of the Performance Benchmarks.",Exclusivity,Yes
"In the event the Distributor loses exclusivity on a territory due to not meeting Performance Benchmarks, the Distributor shall maintain exclusivity on any and all existing Products that are in the field and operating at them time exclusivity if forfeited.",Exclusivity,Yes
"Distributor shall be entitled to advertise, promote, market or 3 Source: WATER NOW, INC., 10-Q, 11/20/2019solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.",Exclusivity,Yes
"Hydraspin certifies, stipulates, and agrees that the Hydraspin will deal exclusively with and through the Distributor in relation to the distribution of the Products in the Territory",Exclusivity,Yes
"Distributor shall be entitled to advertise, promote, market or solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.",Exclusivity,Yes
"If Hydraspin desires to enter a new territory in the United States, Hydraspin will offer Distributor the first opportunity to become the exclusive distributor for the new territory.",ROFR/ROFO/ROFN,Yes
