Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"Emdeon Corporation, ""Emdeon"", WebMD, Inc., ""WebMD"", WebMD, Inc., ""Emdeon"", Emdeon Corporation",Parties,"Emdeon Corporation (""Emdeon""); WebMD, Inc. (""WebMD"")"
"October 1, 2005",Agreement Date,10/01/2005,Effective Date,10/01/2005
"Expiration Date: August 31, 2006",Expiration Date,08/31/2006
"Upon mutual agreement, this Agreement may be renewed for one (1) additional one (1) year term upon the expiration of the Initial Term.",Renewal Term,1 year
"This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without application of conflict of laws principles.",Governing Law,New York
"Neither party shall have the right to sell, assign, transfer or hypothecate (all hereinafter referred to as ""assign"" or ""assignment"") this Agreement, or delegate any of its obligations hereunder, voluntarily or by operation of law, without the prior written consent of the other party.",Anti-assignment,Yes
Any such purported assignment or delegation without such prior written consent shall be null and void and have no force and effect.,Anti-assignment,Yes
"WebMD agrees to grant, and Emdeon agrees to accept, a license to use the Content (as defined below) in connection with various software products it has all right title and interest to (the ""Software"") in accordance with the terms of this Agreement.",License Grant,Yes
"Subject to EmdeonÕs compliance with the provisions of this Agreement, Emdeon is hereby authorized and licensed to use the Content by making such Content available to third parties verbatim or as source material via the Software.",License Grant,Yes
"Such license is a non-exclusive, non-transferrable and worldwide license and shall include the right to use, reproduce, copy and publish the Content solely in connection with the Software.",License Grant,Yes,Non-Transferable License,Yes
"Emdeon is hereby granted a non-exclusive and worldwide right to use WebMDÕs trademarks and logos (""Marks"") for the purpose of identifying the origin of the Content during the term of this Agreement.",License Grant,Yes
"Upon any expiration or termination of this Agreement, Emdeon shall have a reasonable period of time to remove the Content from the Software",Post-termination Services,Yes
"IN NO EVENT WILL WEBMD OR ITS SUPPLIERS OR LICENSORS BE LIABLE UNDER ANY THEORY OF LIABILITY, HOWEVER ARISING, FOR ANY COSTS OF COVER OR FOR INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES OF ANY KIND ARISING OUT OF THIS AGREEMENT, OR THE PROVISION OR USE OF CONTENT, EVEN IF WEBMD HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"WEBMDÕS AGGREGATE LIABILITY FOR ALL DAMAGES, LOSSES AND CAUSES OF ACTION IN ANY WAY RELATED TO THIS AGREEMENT OR THE CONTENT, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, EITHER JOINTLY OR SEVERALLY, SHALL NOT EXCEED FIFTY DOLLARS ($50).",Cap on Liability,Yes
