Clause,Label 1,Label 1-Answer
GLOBAL MASTER SUPPLY AGREEMENT,Document Name,GLOBAL MASTER SUPPLY AGREEMENT
"ExxonMobil Chemical Company, ""Seller"", on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""),, West Pharmaceutical Services, Inc., ""Buyer"", on behalf of itself and the Buyer affiliates listed on Attachment C (each a ""Buyer Affiliate"" or ""West/A"" or collectively, ""Buyer Affiliates"")., ""Buyer"", West Pharmaceutical Services, Inc., on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""),, ""Seller"", ExxonMobil Chemical Company",Parties,"ExxonMobil Chemical Company (""Seller""), on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""); West Pharmaceutical Services, Inc. (""Buyer""), on behalf of itself and the Buyer affiliates listed on Attachment C (each a ""Buyer Affiliate"" or ""West/A"" or collectively, ""Buyer Affiliates"")"
"January 10, 2020",Agreement Date,01/10/2020
"Effective Date: January 1, 2019",Effective Date,01/01/2019
"Termination Date: December 31, 2023",Expiration Date,12/31/2023
"This Agreement shall be governed and construed in accordance with the law set forth in the ExxonMobil Selling Affiliate's general terms and conditions, as applicable., The parties' rights and obligations hereunder shall be construed and enforced under the laws of the State of Texas, U.S.A., without regard to conflict of laws principles. Incoterms 2010 (or any subsequent revision thereof) (""Incoterms"") shall also apply; provided, however, that Incoterms shall apply only to the extent specified in the agreement hereof, and provided, further, that in the event of a conflict between Incoterms and the laws of the State of Texas, U.S.A., the latter shall govern., This Agreement shall be governed by Singapore law, without regard to its conflict of laws principles., This Agreement between EM and Buyer shall be governed by the laws of Belgium (excluding its rules on conflict of laws)., This Agreement shall be governed by Singapore law, without regard to its conflict of laws principles., The parties' rights and obligations hereunder shall be construed and enforced under the laws of the State of Texas, U.S.A., without regard to conflict of laws principles. Incoterms 2010 (or any subsequent revision thereof) (""Incoterms"") shall also apply; provided, however, that Incoterms shall apply only to the extent specified in the agreement hereof, and provided, further, that in the event of a conflict between Incoterms and the laws of the State of Texas, U.S.A., the latter shall govern., This Agreement shall be governed and construed in accordance with the law set forth in the ExxonMobil Selling Affiliate's general terms and conditions, as applicable.",Governing Law,Texas; Singapore; Belgium
"Notwithstanding anything to the contrary in Attachments A, G or H, in connection with any Change in Circumstances (as defined below), and without limiting Seller's/ExxonMobil Selling Affiliate's other rights under this Agreement or applicable law, Seller/ExxonMobil Selling Affiliates shall have the right: (i) only if required to enable Seller/ExxonMobil Selling Affiliate to comply with applicable laws and regulations, to terminate this Agreement and accelerate all amounts due from Buyer hereunder, making them immediately payable (ii) to modify the payment terms hereunder; and/or (iii) to require that Buyer/Buyer Affiliates pay in advance for shipments hereunder.",Change of Control,Yes
"Promptly after any public announcement regarding any proposed transaction that would result in a Change in Circumstances, Buyer/Buyer Affiliates shall notify Seller/ExxonMobil Selling Affiliates, in writing, of the nature of such transaction, the parties thereto and the proposed date of consummation",Change of Control,Yes
"If Seller/ExxonMobil Selling Affiliates elects to exercise any of its rights under the preceding paragraph, Seller/ExxonMobil Selling Affiliates shall so notify Buyer/Buyer Affiliates, in writing, within forty-five (45) days after receipt of Buyer's/Buyer Affiliates' notice.",Change of Control,Yes
"As used above, ""Change in Circumstances"" means any of the following: (i) any transaction, or series of transactions, that would result in the transfer of at least twenty-five percent (25%) of the equity interest in Buyer/Buyer Affiliates (or of at least twenty-five percent (25%) of the equity interest in any business entity that owns or controls, directly or indirectly, at least fifty percent (50%) of the equity interest in Buyer/Buyer Affiliates (""BuyerÕs Parent"")) to a single transferee or multiple transferees under common control; (ii) any transaction that would result in BuyerÕs /Buyer AffiliatesÕ (or BuyerÕs ParentÕs) merging with one or more other entities; or (iii) any transaction not in the ordinary course of BuyerÕs/Buyer Affiliates (or BuyerÕs ParentÕs) business that calls for the sale, purchase or other transfer of one or more significant assets, including (without limitation) manufacturing facilities and ownership interests in other business entities.",Change of Control,Yes
"In connection with any Change in Circumstances (as defined below), and without limiting SellerÕs other rights under this Agreement or applicable law, Seller shall have the right: (i) to terminate this Agreement and accelerate all amounts due from Buyer hereunder, making them immediately payable; (ii) to modify the payment terms hereunder; and/or (iii) to require Buyer to pay in advance for shipments hereunder.",Change of Control,Yes
"Promptly after any public announcement regarding any proposed transaction that would result in a Change in Circumstances, Buyer shall notify Seller, in writing, of the nature of such transaction, the parties thereto and the proposed date of consummation.",Change of Control,Yes
"If Seller elects to exercise any of its rights under the preceding paragraph, Seller shall so notify Buyer, in writing, within forty-five (45) days after receipt of BuyerÕs notice.",Change of Control,Yes
"To the extent permitted by law, in the event that a party becomes aware that it will or may undergo a Change of Control (""Affected Party"") within the following three (3) Months, the Affected Party will notify the other party without delay after it becomes so aware.",Change of Control,Yes
"Together with such notification, the Affected Party will supply the other party with sufficient information to allow that other party to reasonably assess the impact that such Change of Control may have on it and/or its Affiliates, on the Affected PartyÕs creditworthiness, and on the Affected PartyÕs ability to perform its obligations under this Agreement.",Change of Control,Yes
"In the event that the other party concludes in its sole discretion that such Change of Control, if it is implemented: (a) may result in it and/or its Affiliates being subjected to any fact, matter, event, circumstance, condition or change which materially and adversely affects, or could reasonably be expected to materially and adversely affect, individually or in aggregate, the business, operations, assets, liabilities, condition (whether financial, trading or otherwise), prospects or operating results of it and/or its Affiliates; (b) that the Affected PartyÕs creditworthiness may be reduced; and/or (c) that the Affected PartyÕs ability to perform its obligations under the Agreement may be negatively affected; then the other party may (but is not obliged to) terminate this Agreement forthwith upon notice to the Affected Party. Such termination is without prejudice to the rights and obligations of the parties that have accrued up to and including the date of termination.",Change of Control,Yes
"As used above, ""Change of Control"" means any of the following: (i) any transaction, or series of transactions, that would result in the transfer of at least fifty percent (50%) of the equity interest in a party (or of at least fifty percent (50%) of the equity interest in any business entity that owns or controls, directly or indirectly, at least fifty percent (50%) of the equity interest in a party (""PartyÕs Parent"")) to a single transferee or multiple transferees under common control; (ii) any transaction that would result in a PartyÕs (or PartyÕs Parent's) merging with one or more other entities.",Change of Control,Yes
"This Agreement shall not be assigned in whole or in part by Buyer or Seller without the written consent of the other party and any attempted assignment without such consent shall be void and of no effect, except that Seller may assign all of its rights and obligations hereunder to any entity of which Exxon Mobil Corporation owns, directly or indirectly, at least fifty percent (50%) of the shares or other indicia of equity having the right to elect such entity's board of directors or other governing body.",Anti-assignment,Yes
"This Agreement shall not be assigned, in whole or in part, by either party without the prior consent of the other party, but shall be binding upon and shall inure to the benefit of the legal successors of the respective parties hereto; except that Seller may assign this Agreement, in whole or in part, to any affiliate.",Anti-assignment,Yes
Neither party may assign this Agreement without the written consent of the other party save in the case where such assignment is to an EM Affiliate and prior written notice has been given to the Buyer.,Anti-assignment,Yes
"Should the Average Brent crude oil price at any moment during the term of this Agreement move to a different Average Brent crude oil price bracket as mentioned below, Seller may increase or decrease the Product price by $[*****] for every $[*****] change in the Average Brent crude oil price.",Price Restrictions,Yes
In no event shall the Product priceÕs increase or decrease exceed $[*****] for every $[*****] change in the Average Brent crude oil price brackets.,Price Restrictions,Yes
"Seller may change any price, freight or payment term hereof upon no less than thirty (30) days' prior written notice_ provided, however, that Seller may at any time institute or remove a temporary voluntary allowance of other similar competitive allowance without prior notice.",Price Restrictions,Yes
"Subject to this Agreement's terms and conditions, Buyer Affiliates shall purchase and ExxonMobil Selling Affiliates shall sell the yearly minimum amount of Product amounts (in the aggregate) listed above",Minimum Commitment,Yes
"Buyer or Buyer Affiliates may request to purchase amounts over the Product maximum amounts per year, however, it shall be solely within Seller or any ExxonMobil Selling AffiliateÕs discretion whether and under which conditions to accommodate Buyer's request.",Volume Restriction,Yes
"On request of Buyer, Buyer is allowed to carry out on-site manufacturing and quality audits in manufacturing units where Products are produced.",Audit Rights,Yes
The frequency of such audits shall not exceed one audit per site within three years,Audit Rights,Yes
"All claims for any cause whatsoever, whether based in contract, negligence or other tort, strict liability, breach of warranty or otherwise, shall be deemed waived unconditionally and absolutely unless Seller receives written notice of such claim not later than one hundred fifty (150) days after Buyer's receipt of Product as to which such claim is made.",Cap on Liability,Yes
"Defective or nonconforming Product shall be replaced by Seller without additional charge, or in lieu thereof, at Seller's option, Seller may refund the purchase price upon return of such Product at Seller's expense and such refund or replacement shall constitute BuyerÕs sole and exclusive remedy.",Cap on Liability,Yes
