Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY, ""CEIS"", XINHUA FINANCIAL NETWORK LIMITED, ""XFN"", XINHUA FINANCIAL NETWORK LIMITED, ""CEIS"", CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY",Parties,"CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY (""CEIS""); XINHUA FINANCIAL NETWORK LIMITED (""XFN"")"
15th day of December 2001,Agreement Date,12/15/2001
EFFECTIVE DATE     means 18 May 2000_,Effective Date,05/18/2000
"This Agreement shall take effect from the Effective Date and continue in      full force and effect for twenty (20) years thereafter, unless otherwise      terminated in accordance with Clause 8.",Expiration Date,05/18/2020
"This Agreement may be renewed for an additional term of ten (10) years by      notice in writing given by XFN to CEIS at the expiry of the Term, for a      consideration to be mutually agreed.",Renewal Term,10 years
This Agreement is governed by and shall be construed in      accordance with the laws of Hong Kong,Governing Law,Hong Kong
"CEIS hereby grants XFN and its      Affiliates an exclusive license (free of all third-party liens, claims and      encumbrances) to, and to permit others to, during the Term in the      Territory: Source: XINHUA SPORTS & ENTERTAINMENT LTD, F-1, 2/21/2007     (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates_      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content_ and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.",Exclusivity,Yes
"CEIS hereby grants XFN and its      Affiliates an exclusive license (free of all third-party liens, claims and      encumbrances) to, and to permit others to, during the Term in the      Territory:      (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates_      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content_ and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.",Exclusivity,Yes
"During the Term, CEIS agrees not to appoint any other licensees for the      distribution of the Content in the People's Republic of China.",Exclusivity,Yes
XFN may terminate this Agreement by giving thirty (30) days written notice      to the CEIS.,Termination For Convenience,Yes
"CEIS hereby grants XFN and its      Affiliates an exclusive license (free of all third-party liens, claims and      encumbrances) to, and to permit others to, during the Term in the      Territory: Source: XINHUA SPORTS & ENTERTAINMENT LTD, F-1, 2/21/2007     (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.",License Grant,Yes,Affiliate License-Licensee,Yes,Unlimited/All-You-Can-Eat-License,Yes
"CEIS hereby grants XFN and its      Affiliates an exclusive license (free of all third-party liens, claims and      encumbrances) to, and to permit others to, during the Term in the      Territory:      (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.",License Grant,Yes,Affiliate License-Licensee,Yes,Unlimited/All-You-Can-Eat-License,Yes
"CEIS hereby grants      XFN and its Affiliates a non-exclusive license (free of all third-party      liens, claims and encumbrances) to, and to permit others to, during the      Term in the People's Republic of China:      (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in                                       -2-           media now or hereafter known.",License Grant,Yes,Affiliate License-Licensee,Yes,Unlimited/All-You-Can-Eat-License,Yes
"CEIS hereby grants      XFN and its Affiliates a non-exclusive license (free of all third-party      liens, claims and encumbrances) to, and to permit others to, during the      Term in the People's Republic of China:      (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.",License Grant,Yes,Unlimited/All-You-Can-Eat-License,Yes
"CEIS hereby grants      XFN and its Affiliates a non-exclusive license (free of all third-party      liens, claims and encumbrances) to, and to permit others to, during the      Term in the People's Republic of China:      (a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;      (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and      (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in           media now or hereafter known.",Affiliate License-Licensee,Yes
