Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
PRODUCT SALE AND MARKETING AGREEMENT,Document Name,PRODUCT SALE AND MARKETING AGREEMENT
"Calm.com, Inc.,, ""Calm"", XpresSpa Group, Inc., ""XSPA"", Each of Calm and XSPA may be referred to herein individually as a ""Party"" and collectively as the ""Parties""., ""XSPA"", XpresSpa Group, Inc., ""Calm"", Calm.com, Inc.,",Parties,"Calm.com, Inc. (""Calm""); XpresSpa Group, Inc. (""XPSA"")(""Party"" and collectively as the ""Parties"")"
"12th day of November, 2018",Agreement Date,11/12/2018,Effective Date,11/12/2018
"Unless this Agreement is terminated earlier in accordance with the terms of Section _12, the term of this Agreement shall commence on the Effective Date and shall continue until July 31, 2019 (the ""Initial Term"").",Expiration Date,07/31/2019
"Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.",Renewal Term,successive 6 months,Notice Period To Terminate Renewal,30 days
"This Agreement shall be governed by, and construed in accordance with the law of the State of New York.",Governing Law,New York
"Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither XSPA nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products (other than the Products), including online or in any Store in the Territory, without the express prior written consent of Calm.",Non-Compete,Yes,Exclusivity,Yes
"Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither Calm nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products in any retail location located in an airport other than in collaboration with XSPA, without the express prior written consent of XSPA.",Non-Compete,Yes,Exclusivity,Yes
"Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, Calm shall have a right of first refusal to expand the rights and obligations described in this Agreement to any Stores outside the Territory (the ""ROFR"").",ROFR/ROFO/ROFN,Yes,Post-termination Services,Yes
"XSPA shall give prompt written notice to Calm each time it offers, proposes to offer, or has received an offer to enter into any agreement or arrangement under which XSPA or any of its affiliates would sell, offer for sale, market, promote or undertake any similar action with respect to any meditation or sleep digital products or similar products at any Store outside the Territory (each, a ""ROFR Notice"").",ROFR/ROFO/ROFN,Yes
"Calm shall have thirty (30) business days (the ""ROFR Period"") from receipt of a ROFR Notice to exercise its ROFR with respect to the region and/or Stores described in the ROFR Notice.",ROFR/ROFO/ROFN,Yes
"If Calm exercises its ROFR within the ROFR Period, the Parties shall enter into an amendment or addendum to this Agreement to include such additional region and/or Stores.",ROFR/ROFO/ROFN,Yes
"If Calm does not exercise its ROFR within the ROFR Period, XSPA may enter into such agreement or arrangement with respect to the applicable region and/or Stores set forth in the ROFR Notice with any third party_ provided that, such agreement or arrangement are on the same terms offered to Calm (it being understood that in the event XSPA modifies such terms, XSPA shall provide a new ROFR Notice to Calm in accordance with this Section _3.02).",ROFR/ROFO/ROFN,Yes
"Subject to the foregoing, this Agreement shall be binding upon and inure to the benefit of the Parties hereto and their respective permitted successors and assigns; provided, however, Calm may, without the prior written consent of XSPA, assign or otherwise transfer its rights and obligations to an affiliate of Calm or the acquirer of all or substantially all of the assets of Calm; provided, however, that the prior written consent of XSPA shall be required in connection with the assignment to an acquirer of all or substantially all of the assets of Calm if such acquirerÕs primary business is an airport-based provider of spa services.",Change of Control,Yes
"Neither Party shall assign or transfer this Agreement or its rights hereunder without first obtaining the consent of the other, in writing, which consent shall not unreasonably be withheld or delayed.",Anti-assignment,Yes
