Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
DISTRIBUTORSHIP AGREEMENT,Document Name,DISTRIBUTORSHIP AGREEMENT
"ZOGENIX, INC., ""Zogenix"", Nippon Shinyaku Company, Ltd., ""Distributor"", Zogenix and Distributor may be referred to individually as a ""Party"" and collectively as the ""Parties""., ""Distributor"", Nippon Shinyaku Company, Ltd., ""Zogenix"", ZOGENIX, INC.",Parties,"ZOGENIX, INC. (""Zogenix""); Nippon Shinyaku Company, Ltd. (""Distributor"")(""Party"" and collectively as the ""Parties"")"
"March 18, 2019",Agreement Date,03/18/2019,Effective Date,03/18/2019
"This Agreement shall commence on the Effective Date and shall remain in effect until September 1, 2045, unless earlier terminated by either Party pursuant to this Article 12 (the ""Term"").",Expiration Date,09/01/2045
"This Agreement and all questions regarding its existence, validity, interpretation, breach or performance and any dispute or claim arising out of or in connection with it (whether contractual or non-contractual in nature such as claims in tort, from breach of statute or regulation or otherwise) shall be governed by, and construed and enforced in accordance with, the laws of the State of New York, United States, without reference to its conflicts of law principles to the extent those principles would require applying another jurisdictionÕs laws.",Governing Law,New York
"During the Term, without the prior written approval of Zogenix, Distributor shall not, and shall cause its Affiliates not to, either directly or indirectly, file for Regulatory Approval of, promote, market, offer for sale, sell, import or distribute in the Territory any product containing fenfluramine or any salt, enantiomer, or polymorph of fenfluramine, or any product for [***].",Non-Compete,Yes
"Subject to the terms and conditions of this Agreement, Zogenix hereby appoints Distributor, and Distributor accepts appointment, as the exclusive distributor (even as to Zogenix) of the Product in the Field in the Territory during the Term, and grants to Distributor the exclusive rights to maintain Regulatory Approval of (while Distributor is the MAH Party), package, promote, market, offer for sale, sell, import and distribute the Product in the Field in the Territory during the Term",Exclusivity,Yes
"Zogenix shall supply (or have supplied) to Distributor, in accordance with the terms set forth on Exhibit 2.3, and Distributor shall purchase exclusively from Zogenix, DistributorÕs and its AffiliatesÕ and Sub- distributorsÕ Unlabeled Drug Product requirements of the Product for sale by Distributor or its Affiliates or Sub-distributors in the Territory in the Field, subject to and under the provisions of Section 5.2 and the Supply Agreement.",Exclusivity,Yes
"Distributor hereby grants Zogenix an irrevocable, perpetual, royalty-free, fully paid-up, exclusive license with the right to grant sublicenses to use such Data solely generated and co-owned by Distributor outside of the Territory and a co-exclusive license in the Territory upon expiration or termination of the Agreement.",Exclusivity,Yes,License Grant,Yes,Affiliate License-Licensee,Yes,Irrevocable or Perpetual License,Yes
"Distributor shall have the exclusive right to market, promote, sell, offer for sale, import, package and otherwise Commercialize the Product in the Field in the Territory, at its sole cost and expense, in accordance with Applicable Laws and the Commercialization Plan and subject to the terms and conditions of this Agreement.",Exclusivity,Yes
"Without limiting the foregoing, Distributor will have the exclusive right and responsibility in the Field in the Territory for the following: (i) designing the Commercialization strategy and tactics for the Product, subject to JSC approval of the Commercialization Plan_ (ii) undertaking all promotional activities for the Product_ 20 US-DOCS\105216871.19 Source: ZOGENIX, INC., 10-Q, 5/9/2019(iii) establishing and implementing post-marketing surveillance studies for the Product in the Territory as required or recommended by a Regulatory Authority_ (iv) receiving, accepting and filling orders for the Product from customers_ (v) warehousing and distributing the Product to customers_ (vi) controlling invoicing, order processing and collection of accounts receivable for sales of the Product_ (vii) recording sales of the Product in the Territory in its books of account for sales_ and (viii) providing results of sales of the Product in the Territory for purposes of periodic safety reports and exposure estimates",Exclusivity,Yes
"Without limiting the foregoing, Distributor will have the exclusive right and responsibility in the Field in the Territory for the following: (i) designing the Commercialization strategy and tactics for the Product, subject to JSC approval of the Commercialization Plan_ (ii) undertaking all promotional activities for the Product_ (iii) establishing and implementing post-marketing surveillance studies for the Product in the Territory as required or recommended by a Regulatory Authority_ (iv) receiving, accepting and filling orders for the Product from customers_ (v) warehousing and distributing the Product to customers_ (vi) controlling invoicing, order processing and collection of accounts receivable for sales of the Product_ (vii) recording sales of the Product in the Territory in its books of account for sales_ and (viii) providing results of sales of the Product in the Territory for purposes of periodic safety reports and",Exclusivity,Yes
"During the Term, Zogenix shall retain and have the sole and exclusive right to supply or have supplied all of DistributorsÕ and its AffiliatesÕ and Sub-distributorsÕ requirements of the Product for sale in the Field in the Territory.",Exclusivity,Yes
"Distributor shall not, and shall cause its Affiliates not to, (i) use, seek to register, or otherwise claim rights in any Trademark that is confusingly similar to, misleading or deceptive with respect to, or that materially dilutes, any of the Zogenix Trademarks, or (ii) knowingly do, cause to be done, or knowingly omit to do any act, the doing, causing or omitting of which endangers, undermines, impairs, destroys or similarly affects, in any material respect, the validity or strength of any of the Zogenix Trademarks (including any registration or pending registration application relating thereto) or the value of the goodwill pertaining to any of the Zogenix Trademarks.",Non-Disparagement,Yes,Covenant Not To Sue,Yes
"Distributor shall not, and shall cause its Affiliates not to, (i) use, seek to register, or otherwise claim rights in the Territory in any Trademark that is confusingly similar to, misleading or deceptive with respect to, or that materially dilutes, any of the Product Trademarks, or (ii) knowingly do, cause to be done, or knowingly omit to do any act, the doing, causing or omitting of which endangers, undermines, impairs, destroys or similarly affects, in any material respect, the validity or strength of any of the Product Trademarks (including any registration or pending registration application relating thereto) or the value of the goodwill pertaining to any of the Product Trademarks.",Non-Disparagement,Yes,Covenant Not To Sue,Yes
"At any time following the expiration of the Distribution Term (as defined in Section 1.17), the Distributor may terminate this Agreement at will upon [***] prior written notice to Zogenix.",Termination For Convenience,Yes
"At any time following the expiration of the Distribution Term, Zogenix may terminate this Agreement at will upon [***] prior written notice to Distributor.",Termination For Convenience,Yes
