Clause,Label 1,Label 1-Answer
Road Transportation Agreement,Document Name,Road Transportation Agreement
"Party A (Shipper): ZTO Express Co., Ltd., Party B (Carrier): Tonglu Tongze Logistics Ltd., Party A (Shipper): ZTO Express Co., Ltd.",Parties,"ZTO Express Co., Ltd. (""Party A""); Tonglu Tongze Logistics Ltd. (""Party B"")"
"December 22, 2014",Agreement Date,12/22/2014
"This Agreement takes effect upon the signatures and seals of both Parties in triplicate. December 22, 2014",Effective Date,12/22/2014
Period of transportation services: this Agreement is valid for an indefinite term.,Expiration Date,perpetual
"Without Party AÕs approval, Party B shall not transfer the carriage of goods to any third party in the designated route. Otherwise, Party A has the right to terminate this Agreement directly.",Non-Transferable License,Yes
"Unless otherwise approved by Party A, in the event of parcel transfer due to Party BÕs vehicle delay, Party B shall pay liquidated damages to Party A at the standard rate of RMB500 per trip on the first working day, RMB1,000 per trip on the second working day and RMB2,000 per trip on the third working day (based on the time records on the parcel transfer documents) and such liquidated damages will be deducted from the current monthÕs freight.",Liquidated Damages,Yes
Party B shall be responsible for all of Party AÕs economic loss and relevant liquidated damages arising out of any theft and disposal of stolen goods conducted by Party BÕs personnel.,Liquidated Damages,Yes
Party B shall pay one-month freight as liquidated damages in case of termination of the Agreement without consent.,Liquidated Damages,Yes
Party B shall purchase sufficient insurance for the transportation vehicles.,Insurance,Yes
The coverage of third-party liability insurance shall not be lower than RMB1 million.,Insurance,Yes
"In addition to vehicle personnel insurance, Party B shall at least purchase injury insurance for two persons with coverage not lower than RMB500,000 per person.",Insurance,Yes
